/////////////////////////////////////////////////////////
// Map name       Assault                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2000 1034 96 "Airplane Yard"
2055 2229 96 @
2140 2770 96 @
2914 2778 96 @
3525 2752 96 @
3537 2160 96 @
3740 1446 96 @
3477 1602 96 @
3853 823 96 @
3802 168 96 @
3789 -193 96 @
3191 -191 96 @
3153 -268 512 "Airplane Yard Overlook"
3790 -355 512 @
3723 1570 444 "Airplane Yard Terrace"
3682 1705 444 @
3664 2270 444 @
3672 2768 444 @
3746 1903 444 "Allied Command Post"
4003 819 96 "Allied Spawn"
5238 1455 96 @
3939 185 96 @
4206 -161 96 @
-3543 3581 96 "Axis Assault Way"
-3875 3497 96 @
-4124 3204 96 @
-3014 3603 96 @
-3897 1618 96 @
-3697 1302 96 @
-3954 1108 96 @
-2319 652 96 @
-2337 -124 96 @
-4339 3457 384 @
-4073 1399 384 @
-2729 1388 96 @
-3929 1363 96 "Axis Assault Way MG42"
-2388 866 480 "Axis Assault Way Tower"
-1949 879 96 "Axis Command Post"
-3029 4870 96 "Axis Garage"
-3021 5104 96 @
-3550 3710 96 @
-4285 3811 368 @
-3951 3785 96 @
-3043 3831 96 @
-4136 3454 96 "Axis Garage MG42"
-3931 3924 640 "Axis Garage Overlook"
-3831 3622 640 @
-3025 3660 640 @
-2889 4834 96 "Axis Spawn"
-2891 5099 96 @
-623 -57 96 "Barb Wire Barricade"
-592 221 96 @
-666 598 96 @
-634 856 96 @
-650 403 96 "Barb Wire Fence"
2836 3616 832 "Communications Tower"
3023 3355 832 @
3464 3203 832 "East Tower"
3284 3213 832 @
3489 3041 832 @
3275 3354 832 @
3287 3034 832 "East Tower MG42"
-1696 -101 103 "Forward Spawn Flag"
-2169 635 96 "Gate Area"
-2125 -121 96 @
-1936 674 96 @
-1698 696 96 @
-1475 854 96 @
-1229 703 96 @
-1245 108 96 @
-1425 -108 96 @
-1693 3 96 @
-1914 -124 96 @
-1696 826 110 "Gate Hatch"
-1246 -116 96 "Gate Switch"
1008 829 154 "Half Track"
-2100 891 96 "Health and Ammo Cabinets"
3770 2126 444 @
-1074 117 96 "Main Assault Way"
-770 -88 96 @
-737 139 96 @
-781 374 96 @
-796 607 96 @
-781 897 96 @
-1048 748 96 @
-496 607 96 @
-489 970 96 @
-464 231 96 @
-470 -21 96 @
725 854 96 @
1059 1069 96 @
1458 809 96 @
879 1799 122 @
1307 2034 96 @
1008 2058 96 @
-980 -85 480 "Main Assault Way Tower"
3672 2906 444 "Towers Platform"
3349 2893 444 @
2848 2878 444 @
2245 3066 444 @
1729 3050 480 @
2002 2850 444 @
2022 3281 444 @
2606 3518 464 @
2830 3301 444 @
3262 3193 444 @
3462 3020 444 @
3602 3370 444 @
2810 3717 544 @
-1693 861 -249 "Underground Warehouse"
-1107 1365 -495 @
-871 2136 -495 @
375 2387 -623 @
890 1865 -95 @
1659 2608 -495 @
1667 2367 -239 @
4167 -156 512 "Upper Allied Spawn"
3914 -355 512 @
-4284 3798 608 "Upper Axis Garage"
-4044 3924 640 @
2324 3086 96 "Warehouse"
2949 3715 96 @
2919 2885 96 @
3049 3074 112 @
3430 3111 112 @
3409 3331 112 @
2343 3714 96 @
2709 3297 96 @
1666 2692 -239 "Warehouse Entrance"
3186 3256 112 "Warehouse Radio"
1574 2902 -167 "Warehouse Stairwell"
1756 2881 -179 @
2203 3085 96 @
2112 3008 420 @
1910 3059 348 @
