/////////////////////////////////////////////////////////
// Map name       MP Forum B1                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5589 4043 80 "Axis Mobile HQ"
6032 9910 -1135 "Blue Secret Documents"
6654 8762 64 "Chavo One"
5637 8786 64 @
6136 9390 64 @
7604 10734 -191 @
7595 9744 -191 @
6935 10234 -191 @
4676 10740 -191 @
4688 9733 -191 @
5295 10235 -191 @
3066 6454 -191 "Church"
1723 6518 -538 @
715 7137 -441 @
1377 6533 -84 @
1387 7750 -91 @
3068 7849 -191 @
3766 7168 -89 @
3139 7158 -559 @
2475 3863 384 "Command Post"
9211 4804 64 "Compound"
9676 3533 64 @
9211 3395 72 @
8536 4084 72 @
6553 7646 608 "Crane Controls"
9648 5564 64 "First Aid Post"
6601 6904 448 @
2562 8758 -63 "Gerbil #1"
3569 8770 -63 @
3070 9586 49 @
3074 10910 -191 @
3251 9608 424 @
2968 9622 352 @
3369 10154 -101 @
4540 9733 -191 @
4520 10751 -191 @
9718 8757 192 "Gerbil #2"
8712 8779 192 @
9207 9757 320 @
10150 10498 -191 @
9536 10232 -191 @
7758 10756 -191 @
7753 9730 -191 @
8611 9703 -159 @
8635 9714 368 @
8739 10249 -191 @
9716 5693 64 "Gerbil #3"
8776 5824 64 @
9040 6652 64 @
8663 6624 64 @
8875 7131 64 @
7747 6657 64 @
7742 7654 64 @
9640 6753 148 @
9248 7020 192 @
9463 7313 -1301 @
9714 8650 192 @
8715 8630 192 @
8786 7653 4 @
3081 1722 67 "Graveyard"
3070 419 272 @
2862 1529 456 @
3020 1341 832 @
3075 541 576 @
3658 537 464 @
2535 508 496 @
3608 1505 320 @
2567 2492 64 "Grizzlybear #1"
3581 2486 64 @
3085 1897 64 @
5634 5676 64 "Grizzlybear #2"
6648 5726 64 @
6134 6323 64 @
5780 6817 96 @
5601 6521 240 @
5546 6881 448 @
5866 6870 448 @
6459 6890 448 @
6775 6862 448 @
6151 6682 304 @
6685 6918 304 @
6594 6537 144 @
6534 6790 80 @
6748 7156 64 @
7599 6655 64 @
7584 7685 64 @
5756 6895 576 @
6573 6891 576 @
6114 6511 576 @
6636 8618 64 @
5636 8618 64 @
6147 7838 64 @
5581 7237 64 @
6417 7626 424 @
6693 7616 424 @
4545 4596 -191 "Krishana #1"
4524 3587 -191 @
3644 4085 -175 @
3524 4415 256 @
2656 3862 384 @
2479 3717 400 @
2460 3835 64 @
2550 4581 -175 @
2575 2616 64 @
3577 2639 64 @
3063 3391 64 @
3573 5560 -191 @
2571 5552 -191 @
9703 5445 64 "Krishana #2"
8707 5552 64 @
9214 4944 64 @
8383 4091 64 @
7749 3586 64 @
7752 4607 64 @
6133 9538 64 "Laboratory"
6792 10237 -191 @
5408 10241 -191 @
6670 10788 384 @
5643 9675 384 @
5935 9640 -831 @
5890 9916 -1119 @
6173 9906 -1119 @
6035 10110 -1119 @
6499 10276 -1119 @
6682 10419 -1119 @
6532 10628 -1119 @
6334 10434 -1119 @
6865 10968 -1135 @
6663 10390 -1231 @
6541 9549 -1231 @
6901 9515 -951 @
6850 10235 -495 @
6878 10892 -463 @
5566 9705 -239 @
5464 10231 -495 @
6144 9665 -1135 @
6631 11018 -831 @
5564 11005 -319 @
8857 6868 64 "Radio Room"
8766 5697 64 "Re-supply Post"
5699 6913 448 @
6506 10412 -1135 "Red Secret Documents"
7614 4595 64 "SCDS_reyalP"
7601 3597 64 @
6799 4067 64 @
6587 4659 80 @
6614 3572 80 @
6585 4082 -191 @
4690 4593 -191 @
4701 3591 -191 @
5618 4651 -103 @
5826 4002 80 @
5643 3761 152 @
5878 3755 288 @
5761 3468 -23 @
5911 4701 96 @
6261 4488 256 @
5559 4320 96 @
6134 4953 64 @
6656 5551 64 @
5632 5540 64 @
3573 5704 -191 "SurrenderDotty"
2570 5713 -191 @
3065 6294 -191 @
3074 8026 -175 @
3585 8638 -63 @
2568 8622 -63 @
