/////////////////////////////////////////////////////////
// Map name       Silly CTF                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    07-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-22 -1836 192 "^1Allied Gold"
145 -1920 192 @
446 -1535 64 "^1Allied Gold Storage"
-28 635 192 "^1Axis Gold"
195 566 192 @
-316 256 64 "^1Axis Gold Storage"
-769 -1584 128 "^2Allied Spawn Hut"
-763 -1805 128 @
-1083 -1816 128 @
-1084 -1572 128 @
892 533 128 "^2Axis Spawn Hut"
1216 538 128 @
1017 303 128 @
907 295 128 @
129 -1515 64 "^3Allied Bunker Stairs"
258 -1914 192 @
208 -1713 152 @
-859 -1135 264 "^3Allied Catwalk"
-894 -551 256 @
-907 -939 256 @
-579 -935 256 @
-313 -933 256 @
-59 -931 256 @
74 -929 256 @
151 -1850 192 "^3Allied Gold"
1019 -829 256 "^3Allied Side Bunker"
1160 -1037 256 @
178 -927 304 "^3Allied Tower"
223 -912 96 @
-655 -1889 64 "^3Allied Yard"
-649 -1552 64 @
-780 -1466 64 @
-1204 -1480 64 @
-892 -990 64 @
-749 -1223 64 @
-585 -1101 64 @
-590 -861 64 @
-202 -873 64 @
446 -1423 64 @
-43 -1748 64 @
125 -1409 64 @
-30 -1520 64 @
717 -1446 64 @
718 -1662 72 @
70 -910 64 @
204 -1083 64 @
393 -933 64 @
462 -763 64 @
836 -742 64 @
839 -1029 64 @
-439 -1519 64 @
-324 -1373 64 @
-442 -1202 64 @
-589 -1366 64 @
1144 -1153 64 @
775 -1599 -173 "^3Allied Yard Ladder"
-328 -1163 -175 "^3Allied Yard Stairs"
-445 -1342 -31 @
-1 257 80 "^3Axis Bunker Stairs"
-136 444 176 @
-139 637 192 @
996 -158 256 "^3Axis Catwalk"
1024 -346 256 @
1029 -725 256 @
795 -363 256 @
525 -364 256 @
323 -364 256 @
43 -353 256 @
-1023 -246 256 "^3Axis Side Bunker"
-892 -446 256 @
1219 288 128 "^3Axis Spawn Hut"
910 386 128 @
-96 -360 96 "^3Axis Tower"
-53 -350 304 @
807 614 64 "^3Axis Yard"
770 396 116 @
811 201 64 @
1006 174 116 @
1213 202 64 @
1322 204 64 @
313 587 128 @
183 469 64 @
1018 -319 64 @
1016 -96 64 @
732 -61 64 @
716 -419 64 @
447 -430 64 @
215 -357 72 @
49 -397 64 @
57 -194 64 @
-79 -194 64 @
-260 -315 64 @
-707 -540 64 @
-698 -239 64 @
-323 141 64 @
166 239 64 @
-71 132 64 @
-3 132 64 @
-1 164 64 @
-1 154 64 @
-312 -545 64 @
-295 -436 64 @
434 83 64 @
573 -74 64 @
710 70 64 @
-1024 -133 64 @
-592 398 72 @
-760 164 64 @
-647 321 -109 "^3Axis Yard Ladder"
585 -33 -127 "^3Axis Yard Stairs"
449 -121 -175 @
-1132 -1885 64 "^3Behind Allied Hut"
-766 -1888 64 @
-1195 -1557 64 @
1320 296 64 "^3Behind Axis Hut"
1304 608 64 @
901 614 64 @
-666 233 -255 "^3Bunkers"
-337 -125 -255 @
-185 -377 -255 @
34 -881 -255 @
55 -424 -255 @
340 -132 -255 @
324 -888 -255 @
320 -1154 -255 @
-158 -1157 -255 @
592 -1404 -255 @
803 -1478 -255 @
-213 -775 96 "^3Middle Hut"
-217 -485 104 @
340 -512 96 @
350 -792 104 @
62 -499 96 @
61 -795 96 @
320 -759 -116 "^3Middle Hut Ladder"
-182 -520 -138 @
-196 -721 389 "^3Middle Hut Roof"
334 -734 378 @
45 -754 362 @
-196 -514 353 @
327 -511 350 @
93 -520 357 @
-734 -1074 -63 "^3Trenches"
-718 -696 -63 @
-325 -707 -63 @
-141 -698 -91 @
63 -712 -95 @
72 -581 -95 @
312 -578 -81 @
451 -573 -63 @
862 -564 -63 @
864 -223 -63 @
