/////////////////////////////////////////////////////////
// Map name       Das Boot                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
988 589 384 "Allied Command Post"
2013 -345 552 "Allied Spawn"
2027 -10 552 @
2244 -664 552 @
436 2626 544 "Axis CP Hallway"
251 2627 544 @
-34 2622 544 @
-236 2619 544 @
-232 1992 544 @
298 1986 544 @
-117 2237 544 @
291 2234 388 "Axis CP Stairs"
9 2236 532 @
79 2615 544 "Axis Command Post"
-365 2616 544 "Axis Spawn"
-356 1983 544 @
-428 2295 544 @
961 2336 382 "Axis Submarine"
957 2882 368 @
959 1561 382 @
972 2632 382 @
1721 581 384 "Central Access Area"
1191 255 384 @
1734 191 241 @
-524 734 384 "Filtration Area"
-28 638 384 @
271 1739 384 @
-743 508 384 "Filtration Door"
441 571 384 "Forward Spawn"
961 91 552 "Forward Spawn Area"
1023 266 552 @
948 399 552 @
586 217 552 @
671 573 384 @
978 355 384 @
720 -2 384 @
304 181 384 @
327 371 456 "Forward Spawn Stairs"
471 205 540 @
343 200 492 @
1970 -1356 416 "South Corridor"
969 -1372 384 @
1661 -845 492 "South East Storage"
2502 -825 384 @
1969 -1211 384 @
2238 -832 552 @
958 -1182 384 "South Storage"
925 -382 384 @
321 -637 384 @
426 -1151 384 @
960 -386 552 @
1204 -378 552 @
960 -199 552 "Storage Door"
363 -906 384 "Storage Office"
1345 1094 384 "Submarine Area"
1344 958 384 @
559 825 384 @
576 1727 384 @
454 2237 384 @
576 1970 384 @
582 2583 384 @
579 3402 384 @
1335 3385 384 @
1349 2874 384 @
1467 1988 384 @
1339 2624 384 @
967 830 384 @
1334 3382 544 "Submarine Area Catwalks"
587 3377 544 @
584 2620 544 @
1258 2628 544 @
445 1992 544 @
903 2627 544 @
1471 1983 544 @
1507 962 384 "Submarine Area Hallway"
1726 1948 544 @
1406 2624 540 @
1729 721 384 @
959 511 552 "Submarine Area Window"
957 727 552 @
882 483 720 "Ventilation Shaft"
1179 479 584 @
1151 255 584 @
1218 -138 584 @
1342 -382 584 @
1173 4 384 @
1717 -12 240 @
150 -644 384 "West Storage"
142 -932 384 @
-734 -49 552 @
-462 414 384 @
-752 303 384 @
