/////////////////////////////////////////////////////////
// Map name       Nachteinbruch                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2271 -310 448 "Allies Command Post"
-1353 -4248 312 "Ammo Storage"
-1421 -3849 313 @
-1777 -4116 304 @
-2291 -4264 304 @
-2176 -4474 304 @
-1793 -3669 312 @
-2106 -4252 304 "Ammo Storage Gate"
-1788 -4307 304 @
-2180 -2892 248 "Axis Main Bunker"
-1116 -2037 320 @
-1530 -2171 320 @
-871 -3008 368 @
-1406 -3692 320 @
-1793 -3540 320 @
-2173 -2948 528 @
-2434 -2162 470 @
-1973 -2176 470 @
-1415 -3691 528 @
-1867 -2227 224 @
-2309 -2201 224 @
621 -1712 424 "Axis Small Bunker"
70 -1728 424 @
-1086 -1511 456 "Construction MG42"
-1333 -1524 456 @
-319 1276 384 "Forward Shack"
-312 964 384 @
-110 1109 384 @
113 992 384 @
110 1291 384 @
-104 978 384 "Forward Shack Supplies"
-3128 1531 352 "Lost at West Gate"
-2463 -1531 256 "Main Bunker Path"
-2365 -779 288 @
-1806 -576 354 @
-1269 -500 384 @
-811 -440 416 @
-299 254 416 "Main Door"
-298 0 408 @
174 401 416 "Main Door Bunker"
24 -300 448 @
407 -161 448 @
749 -769 384 @
-302 -234 408 "Main Road"
-217 -577 408 @
332 -962 394 @
667 -1010 392 @
1417 -3020 385 "Near South Gate"
858 -3450 432 @
847 -2879 400 @
375 -2959 404 @
1371 -2712 400 @
-2094 -860 480 "Near The Pak Cannon"
-2084 -1179 457 @
-1847 -1497 373 @
-1527 -1494 437 @
-1360 -1270 460 @
-1084 -1253 490 @
-1131 -857 414 @
-1376 -1039 510 @
-1592 3128 352 "North Path"
-798 2778 320 @
44 2669 296 @
613 2484 288 @
1953 1984 352 @
23 2649 472 @
-2304 2927 384 "Northern Shack"
-2344 3230 384 @
-2741 3204 384 @
-2720 2877 384 @
-2331 -2024 224 "Outside Axis Bunker"
-2477 -1756 225 @
-1823 -2058 224 @
-1101 -1927 320 @
-1392 -1939 278 @
-890 -2044 330 @
231 -3394 386 @
-445 -3325 416 @
-465 -3004 346 @
-770 -3016 368 @
237 -2548 352 @
-664 1735 331 "Outside Forward Shack"
-487 1273 384 @
-314 1454 360 @
110 1443 364 @
268 1349 344 @
272 1013 363 @
156 835 384 @
-29 832 384 @
-290 838 384 @
-450 929 382 @
-296 492 400 @
-1 1690 472 @
483 1847 320 @
170 554 404 @
-2932 3178 352 "Outside Northern Shack"
-2196 3358 440 @
-2145 2935 352 @
-2309 2741 352 @
-2766 2731 352 @
-2893 2913 352 @
-2860 3335 401 @
-2170 3141 352 @
-2406 1870 444 @
-1796 3130 352 @
-3038 2030 352 @
-79 -1716 424 "Outside Small Bunker"
-521 -1407 403 @
-846 -1425 408 @
685 -2393 352 @
757 -1741 424 @
937 -1434 386 @
-1616 2134 384 "Path to Forward Shack"
-931 2077 321 @
555 767 384 "Path to Side Gate"
1345 709 424 @
13 2162 500 "Radio Antenna"
-46 1963 460 "Radio Equipment"
14 1825 460 @
-2818 1480 352 "Road to Main Door"
-2219 1356 352 @
-1470 1277 352 @
2420 1759 400 "Side Entrance Storage"
2568 1216 390 @
2227 1359 382 @
2020 196 408 "Side Gate"
1975 -8 408 @
2061 1485 374 "Side Gate Path"
2050 1102 400 @
2107 433 397 @
1957 -162 408 "Side Road"
1374 -852 408 @
1159 -1120 392 @
1927 -2027 352 @
1775 -3021 352 @
1753 -3278 352 "South Gate"
-1790 -4464 312 "The Ammo Supply"
-2039 -4458 304 @
-1839 -1164 640 "The Pak Cannon"
-1935 -907 640 @
-1534 -913 560 @
-1508 -1157 640 @
