/////////////////////////////////////////////////////////
// Map name       Navarone                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3384 -3398 160 "Allied Boat Spawn"
659 3412 828 "Axis Barracks"
606 3002 828 "Axis Barracks Exit"
513 2527 619 "Axis Yard"
532 2144 637 @
995 2203 641 @
904 2668 637 @
1222 2361 627 "Axis Yard Arch"
785 2367 656 "Axis Yard MG42"
829 -4154 221 "Boat Stairs"
818 -3628 620 @
541 -3019 808 "Boat Stairs MG42"
839 -3296 623 "Boat Stairs Path"
717 -2546 625 @
1517 -839 612 "Bridge"
1469 -449 612 @
1532 16 612 @
1618 355 612 @
1711 420 424 "Bridge Corridor"
2005 697 424 @
2044 1117 424 @
2470 1020 640 "Bridge Corridor Exit"
2416 1132 474 "Bridge Corridor Ladder"
1545 238 424 "Bridge Door"
1561 600 896 "Bridge MG42"
1513 696 611 "Bridge Roadblock"
1269 1179 1024 "Bridge Tower"
-2175 -2053 244 "Cave"
2635 2814 1208 "Command Post"
2259 2815 1091 "Command Post Hill"
1755 2801 855 @
-1866 2685 629 "Elevator"
-9 -2645 620 "Forward Spawn"
1 -2634 892 "Forward Spawn Flag"
-319 -2536 808 "Forward Spawn Stairs"
-1858 1651 278 "Guard Dog"
-1918 2522 240 "Gun Bomb"
-1754 2928 240 @
-2194 2842 399 "Gun Bomb Ladder"
-259 2383 630 "Gun Cave"
-853 2562 630 @
-1263 2770 630 @
-1771 2914 630 @
-1999 2534 624 @
-2105 2741 624 @
331 3204 828 "Gun Cave Corridor"
-764 3172 828 @
-1267 3175 624 @
-1748 3385 624 @
92 2374 630 "Gun Cave Doors"
-1725 2421 624 "Gun Controls"
1615 2256 566 "Gun Island Town"
1643 1307 577 @
2649 884 593 @
2874 1678 606 @
2106 2188 588 @
2300 804 628 @
2342 1283 622 @
-3051 1743 968 "Guns of Navarone"
-2571 2199 970 @
-2087 1720 968 "Ladder To The Guns"
-2091 1701 352 @
-1465 719 256 "Lighthouse"
-2155 870 256 @
-1737 1032 272 @
-1534 964 512 @
-1498 1015 272 "Lighthouse Door"
-1497 462 218 "Lighthouse Ladder"
-1295 1338 555 "Lighthouse Ramp"
-644 1496 909 @
-62 1561 1088 @
-67 2242 1104 @
-80 2768 1048 @
-664 -4639 -3 "Ocean"
516 -4277 96 @
-2543 -3037 64 @
-2985 -1237 68 @
-2604 -2020 99 @
-3042 -1251 136 @
-2745 -234 90 @
-2065 229 133 @
-1277 318 70 @
-166 475 117 @
508 243 145 @
1456 -161 127 @
2427 -318 133 @
3269 205 143 @
3882 1238 136 @
4077 2269 71 @
3836 -1532 124 @
3884 -2717 131 @
3096 -3646 131 @
1873 -4378 121 @
1123 -4427 93 @
-3676 971 66 @
-4077 2605 123 @
-1987 -2811 239 "Ropes"
-1880 -2667 675 @
-2214 -2389 505 @
-1334 -2643 760 "Ruins"
-1697 -1916 708 @
-759 -1777 632 @
-190 -1682 622 @
-235 -2141 622 @
-650 -2321 652 @
210 -1223 624 @
646 -2081 622 @
653 -1594 624 @
1002 -1301 629 @
-3379 -546 373 "Small Hill"
-1268 -4710 240 "South East Hill"
3367 1293 209 "Sunny Beach"
-201 -1059 864 "Supply Cabinets"
-2570 2614 968 @
1404 -1110 672 "Truck MG42"
1535 -30 424 "Under The Bridge"
1523 -506 424 @
1470 -961 424 @
-1142 2975 600 "Ventilation Shaft"
-1289 2939 292 @
-2402 2820 948 @
-2403 2950 616 @
-2361 3008 328 @
-542 -1167 974 "West Hill"
-1545 -1044 1373 @
-2127 -977 1246 @
