/////////////////////////////////////////////////////////
// Map name       Neuschwaben RC                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    24-06-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-740 620 362 "Air Tunnel"
-723 622 -587 @
-740 618 -1289 @
-726 500 -613 @
-724 -1041 -613 @
-718 -620 -636 @
-740 621 -433 @
-740 621 -704 @
-804 626 666 "Air Tunnel Fence"
-464 624 -1264 "Air Tunnel Guard Wall"
1052 938 680 "Allies Main Spawn"
360 -139 -2239 "Ammo and Health Cabinets"
755 640 -2239 "Barracks"
-700 -825 -1009 "Big Crane Hall"
-704 -671 -1311 @
-715 -1016 -447 @
-464 624 -1036 @
-742 771 -1289 @
-740 485 -1278 @
-726 500 -709 @
-724 -1041 -709 @
-718 -620 -679 @
-718 512 -447 @
-717 -625 -447 @
-104 615 -1312 @
-469 957 -1263 @
-442 320 -1312 @
471 -499 -1310 @
846 -856 -1312 @
870 -102 -1312 @
1071 -507 -961 @
-337 -828 -969 @
-339 -653 -1132 @
-339 -653 -1311 @
145 -212 -1360 @
152 73 -1312 @
402 -225 -1312 @
147 -506 -1310 @
233 -1040 -1312 @
-64 -220 -1294 @
108 -1046 -961 @
-700 -825 -1308 "Big Crane Hall Office"
-337 -828 -1132 @
-337 -828 -1312 @
115 -1041 -1312 @
1095 599 -1952 "Cafeteria"
-67 440 -1952 @
-172 357 -1952 @
-446 344 -1952 @
99 -1069 -2240 "Command Post"
153 -172 888 "Delivery Place"
-145 -1070 461 "Ground"
-378 -679 528 @
-1136 -509 594 @
-1074 627 582 @
-703 882 600 @
-554 614 754 @
-725 379 648 @
154 162 774 @
-180 -187 712 @
134 -482 764 @
438 -212 704 @
985 364 560 @
1293 945 687 @
1012 1226 697 @
285 904 783 @
-504 805 684 @
-1071 -1033 -2240 "Ground Zero"
-1071 -1033 -136 @
-1071 -1033 486 @
-849 -1016 -448 @
-1098 -1101 -975 @
-441 -968 -2219 "Ground Zero Guard Wall"
-611 -1091 485 "Ground Zero Ladder"
-189 438 -1952 "Kitchen"
-446 428 -1952 @
222 376 -2240 "Laboratory"
190 99 -2240 @
-639 801 -2240 @
-390 739 -2216 @
-279 -77 -2240 @
897 -815 -2239 "Lounge"
320 -807 -2240 @
754 531 -2239 @
501 -146 -2239 @
337 379 -2239 @
363 105 -2239 @
341 -407 -2239 @
865 -94 -1632 "Lower Hall"
843 -844 -1581 @
-337 -816 -1632 @
152 73 -1632 @
402 -225 -1632 @
147 -506 -1632 @
115 -1041 -1632 @
233 -1040 -1632 @
-64 -220 -1632 @
-641 615 -1632 @
225 1140 -2404 "Pump Room"
238 191 -2404 @
-441 -968 -2404 @
99 -1069 -2403 @
-203 -980 -2404 @
-561 -744 -2404 @
-268 -218 -2425 @
-279 -77 -2421 @
122 -339 -2417 @
-385 -1038 -2404 @
860 -500 -1205 "Reichsflugscheibe 1"
145 -212 -1492 "Reichsflugscheibe 2"
-700 -825 -1180 "Secret Documents"
1097 764 -1952 "Stairwell"
-652 782 -1632 @
-400 1073 -2229 @
-26 779 -1730 @
-650 1050 -2240 "Stairwell MG42"
207 -403 -2222 "Storage Room"
177 -188 -2226 @
211 -967 -2240 @
216 -818 -2240 @
-203 -980 -2240 @
-561 -744 -2240 @
-268 -218 -2240 @
900 -947 -2240 "Toilet"
327 -967 -2240 @
-504 805 916 "Tree"
-385 -1038 -2496 "Turning Wheel (Valve)"
784 -910 -2404 "Warehouse"
1007 -685 -2404 @
366 1143 -2404 @
364 192 -2396 @
1004 -882 -2400 "Warehouse Flag"
