/////////////////////////////////////////////////////////
// Map name       Night Crawlers                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    19-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-295 -972 1008 "^1Antenna"
789 -1160 828 "^1Bridge"
1146 -1152 828 @
-528 282 495 "^1Briefcase"
1441 -1903 780 "^1Command Post"
-1001 1503 852 "^1Main Door"
-442 854 495 "^1Protection Doors"
-320 -73 771 "^1Side Platform"
-1612 1585 874 "^2Barracks"
-1879 1686 1027 @
-735 -1573 779 "^2Forest"
1010 1024 873 "^2Main Base"
1547 1020 873 @
1097 755 873 @
-1723 1292 1064 "^3Barracks MG42"
1275 217 873 "^3Base Barracks"
-921 1134 831 "^3Base Courtyard"
-739 1204 828 @
-370 1191 838 @
-209 1081 879 @
647 66 760 @
447 140 782 @
-9 1287 837 @
492 569 848 @
1634 1882 785 @
730 1131 844 @
867 1244 829 @
1015 1118 819 @
1550 1145 784 @
1665 1006 740 @
1480 1536 793 @
601 1505 871 @
1276 65 691 @
1617 100 654 @
335 1430 858 @
-17 1079 1012 "^3Base House Roof"
600 575 873 "^3Base Offices"
874 1010 873 @
632 974 902 @
1094 526 874 @
854 830 873 @
1111 216 874 @
867 390 873 @
650 134 873 @
492 566 1065 "^3Base Roof"
866 535 1054 @
615 150 1020 @
874 1010 1108 @
632 974 1108 @
1010 1024 1108 @
1547 1020 1108 @
1097 755 1108 @
1094 526 1078 @
854 830 1108 @
1275 217 1020 @
1617 100 1020 @
867 390 1020 @
327 -37 1096 "^3Base South Tower"
-1001 1503 1088 "^3Base Wall"
-1007 1910 1088 @
-998 1138 1088 @
-723 891 1088 @
-369 888 1088 @
619 -35 1088 @
316 142 1088 @
-14 879 1088 @
314 568 1088 @
1271 -44 1088 @
1617 -46 1088 @
-725 1012 859 "^3Base Wall Stairs"
-373 1035 1076 @
-1002 911 1096 "^3Base West Tower"
-339 287 517 "^3Bunker"
-17 1079 495 @
-132 856 495 @
-109 679 495 @
50 964 495 @
632 974 501 "^3Bunker Corridors"
1480 1536 449 @
1539 -285 449 @
338 1427 669 @
257 964 496 @
-58 1223 501 @
432 1237 501 @
-115 967 495 "^3Bunker MG42"
602 1884 891 "^3Cache"
1497 1882 891 @
943 -1154 385 "^3Canyon"
571 -565 373 @
1222 -1705 472 @
168 -268 439 @
-1347 -72 434 @
-1641 -107 447 @
-320 -73 557 @
-1046 -24 503 @
-634 -63 512 @
718 -648 279 @
1618 -1892 710 "^3Command Post MG42"
602 1884 715 "^3Dungeons"
1497 1882 715 @
874 1125 840 "^3Elevator Switch"
-1280 -1588 798 "^3Forest"
-1581 -1255 797 @
-661 -1079 974 @
-267 -1539 772 @
-225 -1294 840 @
406 -1335 794 @
599 -936 777 @
834 -1518 801 @
-35 -960 957 @
-300 -762 1022 @
-500 -973 981 @
117 -564 777 @
-1016 -1198 842 @
-1343 -539 802 @
-1640 -383 748 @
-1042 -352 792 @
-319 -372 799 @
-631 -293 814 @
-418 1954 788 "^3Fuel Tank"
-23 1954 785 @
628 -152 765 "^3Generator Area"
1335 -1155 661 @
1274 -163 671 @
1618 -171 631 @
1620 -1486 655 @
963 -521 688 @
1537 -442 449 @
-1576 -1605 812 "^3Health and Ammo"
866 529 873 @
-661 -1172 1090 "^3Hut Roof"
-1627 1295 832 "^3Outside Base"
-1271 1517 861 @
-1358 477 785 @
-1631 256 782 @
-316 416 891 @
-606 186 836 @
-1050 276 780 @
-1096 1910 853 @
-1081 1141 872 @
-720 776 848 @
-1117 756 830 @
-369 787 857 @
197 137 810 @
-13 798 847 @
120 563 833 @
-1562 1993 790 @
-1351 1593 864 @
-321 121 948 "^3Platform Supplies"
-859 1926 1086 "^3Ruined Tower"
-859 1926 882 @
-17 1079 834 "^3Small Base House"
-661 -1172 932 "^3Transmitter Hut"
-1346 -353 799 "^3Truck Bridge"
-1347 -72 799 @
-1356 258 799 @
-321 121 772 "^3Tunnel Entrance"
