/////////////////////////////////////////////////////////
// Map name       No Mercy 1.0                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 23                //
// Last edited    09-10-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1340 -14 234 "^1Command Post"
-1613 -1469 179 "^1Fence"
-112 -880 192 "^1Left Wall"
-258 189 320 "^1Safe Door"
-108 190 320 "^1Secret Documents"
-178 276 128 "^1Tunnel Wall"
876 1453 67 "^2Beach Spawn"
-104 30 320 "^2Bunker Spawn"
-266 31 320 @
-550 128 320 @
-90 -318 320 @
-213 -850 320 @
-37 -572 325 @
-653 -146 320 @
-749 -822 320 @
-669 -427 320 @
-2302 -830 129 "^2Radar Spawn"
-2313 -570 136 @
782 1741 128 "^3Allied Assault Boats"
1012 1693 136 @
1016 1420 136 @
1263 1741 128 @
1281 1544 128 @
651 1003 128 "^3Beach"
1245 668 128 @
1631 -221 192 @
1413 -99 192 @
665 381 150 @
356 206 128 @
155 -323 128 @
188 45 130 @
101 -877 192 @
1319 893 113 @
-2248 507 282 "^3Breakable Boulders"
-178 -327 128 "^3Bunker"
-165 92 128 @
-459 245 128 @
-354 -876 128 @
-37 -572 128 @
-653 -146 128 @
-2393 509 288 "^3Cave Entrance"
-3966 -52 256 "^3Cave Exit"
-3344 -592 112 "^3Cave Tunnel"
-1439 -112 15 "^3Caves"
-1486 -1657 -31 @
-1590 -815 -159 @
-2302 -830 -126 @
-2491 249 200 @
-3966 51 256 @
-3109 71 256 @
-2227 -172 -127 @
-3334 -433 112 @
-1712 -123 -63 @
-1439 -112 231 "^3Command Post Hut"
-1248 -215 234 @
-1664 -215 228 @
-1664 46 234 @
-1340 -14 397 "^3Command Post Hut Roof"
-1439 -112 407 @
-1248 -215 339 @
-1664 -215 353 @
-1664 46 359 @
-1949 -850 125 "^3Do Not Step On Mines"
1395 670 128 "^3East Tunnel"
1635 -64 192 @
-21 -320 128 "^3Main Gate"
-1849 -584 152 "^3Minefield"
-194 1881 98 "^3Nothing To See Here!"
877 1759 63 "^3Ocean"
653 1743 64 @
589 1484 61 @
23 1846 88 @
1206 1426 82 @
1164 1734 80 @
1401 1549 69 @
1403 1747 69 @
1263 1930 76 @
-724 -428 320 "^3Outside Bunker"
-842 -825 294 @
-921 -152 295 @
-652 133 320 @
-706 -1263 263 @
-490 -1312 315 @
-1120 -3 247 @
-1339 145 214 @
-1207 -216 237 @
-1247 -269 217 @
-1664 89 205 @
-1705 46 198 @
-1910 490 223 @
-1486 -1657 197 @
-1454 -1465 203 @
-1710 -216 172 @
-1666 -265 175 @
-2227 -172 131 @
-2312 -236 126 @
-1369 -1066 216 @
-2679 -305 113 @
-2230 246 234 @
-1411 -570 210 @
-3737 -606 112 "^3Radar Area"
-3969 -261 129 @
-3667 -321 133 @
-2313 -464 125 @
-2546 -581 100 @
-2540 -834 98 @
-2288 -1089 125 @
-1939 -1083 127 @
-1843 -1456 140 @
-1751 -1655 172 @
-2677 -401 97 @
-2779 -315 107 @
-3872 -1296 112 @
-4189 -1565 112 @
-3547 -1570 112 @
-3847 -1756 112 @
-3019 -938 93 @
-2705 -346 344 "^3Radar Area Fence"
-2302 -830 283 "^3Radar Spawn Roof"
-2313 -570 273 @
-3867 -1534 318 "^3Radar Station"
-3867 -1534 490 @
-4060 -1567 318 @
-3638 -1569 318 @
-3847 -1756 318 @
-3872 -1292 247 "^3Radar Station Stairs"
-194 526 128 "^3Tunnel"
501 985 128 @
345 356 128 @
