/////////////////////////////////////////////////////////
// Map name       North Pole                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2903 -2230 867 "Axis Spawn"
-3537 -2115 874 @
3468 -594 864 "Back Door"
3159 282 867 "Back Road"
3455 589 878 @
3259 1591 975 @
2864 -353 867 @
3459 -442 864 @
2862 -1010 867 @
3245 -1237 868 @
3098 -2242 864 "Beer Cellar"
3316 -1711 864 @
1103 -3719 864 "Christmas Hallway"
1558 -3836 864 @
1901 -3753 1282 "Christmas Star"
1727 -3859 864 "Christmas Tree Room"
2668 -3524 864 @
1958 -4061 1334 @
1989 -3857 1056 @
2712 -3600 1228 @
2520 -3526 1513 @
2103 3271 1328 "Command Post"
2142 3520 1328 @
2025 3087 1043 "Command Post Road"
1096 2822 869 @
397 2979 868 @
491 3577 877 @
2069 3625 1006 @
2275 3642 1136 "Command Post Stairs"
2260 3069 1136 @
2577 2653 1328 @
2590 3074 1328 @
2440 3180 1328 @
2414 3561 1330 @
2589 3882 1328 @
-672 957 1424 "Flying..."
-674 1752 1405 @
21 2323 1409 @
-806 2545 1251 @
-1841 2795 1155 @
1181 1898 1277 @
-1532 2736 1221 @
2043 -1503 1501 @
2067 -2871 1431 @
2052 -2135 1599 @
-3751 3044 881 "Forward Spawn Hut"
-3162 3015 880 @
-3159 3191 880 @
-3178 3584 880 @
-3770 3606 880 @
-3162 3617 1056 @
-3741 3645 1085 @
-3752 3002 1142 @
-3222 3016 1093 @
-3441 3624 1056 @
-3283 3328 1024 @
-3599 3324 1057 @
-3273 3535 1088 @
-3631 3486 1056 @
-3432 3466 880 @
-519 -68 520 "Frozen River"
-523 1107 554 @
-572 2220 580 @
-425 2930 596 @
-452 3542 610 @
-836 2620 541 @
-115 2620 583 @
-439 1935 550 @
-657 -362 735 "Geyser"
3484 -1715 864 "Gift Factory"
3485 -2463 864 @
3736 -1503 864 @
3984 -3599 864 @
3044 -3544 864 @
3059 -2458 864 @
-2716 3109 1145 "Guardhouse"
-2245 718 1248 "Hill House Terrace"
-2246 1132 1248 @
-2250 1562 1248 @
-2253 1861 1248 @
-1819 1864 1248 @
-1825 1525 1248 @
-1552 1509 1248 @
-1549 1310 1224 @
-2879 399 1508 "Hilltop MG"
-2882 203 1508 "Hilltop Tunnels"
-2883 -440 1288 @
-2379 -325 1285 @
-3133 -315 1284 @
2013 -786 1475 "Hilltop Tunnels"
-1837 -1887 884 "Ice Tunnel"
-2241 -2267 884 @
-1283 -1033 884 @
-757 -605 884 @
2103 -3417 1424 "Ladder Entrance"
2458 -3191 1183 "Ladder Roof"
2768 -3096 1152 @
1803 -3216 1194 @
2100 -3089 1151 @
3753 -616 864 "Lower Dining Room"
3727 -1293 864 @
1127 -350 867 "Main Road"
1663 -39 867 @
1619 -1009 867 @
2568 -1468 867 @
2167 -2235 867 @
2087 -2963 867 @
2714 -3150 871 @
1086 -3469 867 @
-583 -3045 868 @
-491 -2479 867 @
-1040 -2081 886 @
-2650 2501 867 "North Pole Flag"
-3332 1583 867 "North Pole Yard"
-2991 1610 867 @
-2460 1576 867 @
-2699 2251 867 @
-2913 2493 867 @
-2673 2695 867 @
-2509 2502 867 @
-3198 2868 867 @
-3674 2829 880 @
-2995 2992 867 @
-2978 3212 867 @
-2952 3517 889 @
-1270 3335 867 @
-1308 2887 867 @
-1428 2643 867 @
-1362 2333 867 @
-1324 1516 873 @
-1718 1584 872 @
-1729 1985 852 @
-2225 1997 892 @
-2017 2785 867 @
-2245 2592 867 @
-2497 2799 867 @
-2417 3084 867 @
-1598 1768 765 @
2026 786 864 "Reindeer Stable"
2857 436 864 @
2438 -495 864 @
2062 -713 864 @
2187 -1174 864 @
2052 -368 1152 @
1901 797 1152 @
2481 773 1152 @
2379 -579 1456 @
-991 1420 695 "River Bank"
-1018 1889 677 @
-1056 2372 710 @
265 274 742 @
101 1037 774 @
119 1603 688 @
107 2380 721 @
27 2899 724 @
109 3589 660 @
-956 3022 742 @
-1102 3497 796 @
3158 450 867 "Road MG"
3085 -1908 1136 "Santa's Bedroom"
3319 -1723 1137 @
3346 -1470 1136 @
3962 -3404 1206 "Santa's Chair"
3101 -2117 1136 "Santa's Lobby"
3335 -2179 1136 @
3496 -2513 1136 @
3384 -2958 1136 @
2936 -2961 1136 @
2952 -2774 1136 @
3354 -3593 1136 @
