/////////////////////////////////////////////////////////
// Map name       Odenthal B3                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    26-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3281 -1735 71 "Arch"
-1720 -281 104 "Axis Forward Spawn"
-1410 -284 72 @
-1442 66 72 @
-269 -1815 40 "Bunker Corridors"
-822 -1599 -103 @
-843 -2785 56 @
-1656 -1593 -103 @
-2026 -1269 80 @
-1891 -803 80 @
-2022 -1045 80 @
-1453 -1476 -103 "Bunker Spawn"
-981 -1578 -103 @
-1134 -1431 -103 @
2322 -3502 816 "Cave"
2304 -3005 464 @
-774 1959 72 "Command Post"
-967 1517 72 @
-1088 1396 299 "Command Post Roof"
-967 1517 339 @
-765 1983 334 @
2492 -3813 815 "Country Spawn"
164 -2129 72 "Documents Room"
-99 -1570 72 @
-99 -1817 72 @
-1882 -462 123 "Dropped Here!?!"
-922 552 432 "Generator"
-1529 545 432 "Generator Spawn"
-1225 554 452 "Generator Stairwell"
-1185 283 321 @
-1205 323 72 @
-959 -925 72 "Guard Post"
2985 -3528 639 "Hills"
2816 -2678 203 @
3281 -2025 157 @
-1445 -1478 71 "Inner Courtyard"
-976 -1584 71 @
-822 -1606 71 @
-1373 -1143 71 @
-598 -1998 94 @
-728 -1333 71 @
-1134 -1431 71 @
-1129 -1109 72 "Main Corridors"
-942 -1110 72 @
-269 -1574 72 @
-728 -1193 72 @
-788 118 73 "Main Entrance"
-1718 -426 104 "Main Lobby"
-1726 -944 104 @
-1401 -411 72 @
-1275 72 72 @
-1264 -272 72 @
-1124 -939 72 @
-851 -562 72 @
-1696 -807 104 @
-1858 -1447 71 "No Way Out!!!"
-1865 -1064 92 @
-468 -2300 72 "Rear Corridors"
165 -2278 72 @
-1173 -1997 104 @
-1656 -1593 104 @
-1721 -1125 104 @
-1668 -1933 104 @
2263 -2748 63 "Road to Town"
2318 -1503 71 @
2733 -931 71 @
3102 -1054 71 @
3279 -1475 71 @
2295 -1088 71 @
3458 -931 81 @
-1845 671 72 "Side Corridor"
-1450 311 72 @
-2231 681 72 "Side Door"
-336 -2661 73 "Side Entrance"
-1986 -1866 71 "Somewhere in Town"
-1651 -2140 71 @
-1066 -2737 169 @
-1327 -2232 71 @
2261 -2952 64 "Tank Garage"
2321 -2838 344 "Tank Garage Roof"
2653 -339 88 "Town"
3610 -283 80 @
3102 -316 71 @
3137 742 48 @
3527 337 71 @
3920 719 90 @
-1088 1396 72 @
-775 2282 71 @
125 1929 71 @
-1358 1542 71 @
-2196 865 71 @
-2592 718 86 @
-3444 787 61 @
-1489 3622 45 @
-1150 1192 72 @
2127 1603 72 @
2860 991 60 @
2046 914 72 @
1904 1086 72 @
-430 112 72 @
253 -161 72 @
63 -2674 72 @
-1845 829 74 @
594 -2273 72 @
574 -1330 72 @
445 -1216 72 @
1357 -2150 125 @
1526 -1326 119 @
1791 -425 107 @
1096 -172 72 @
1569 -19 72 @
865 651 126 @
268 274 72 @
1074 -659 72 @
712 -1069 72 @
13 -966 72 @
-681 -529 72 @
223 -639 72 @
-423 -167 72 @
3098 -749 71 "Town Gate"
3112 -735 296 "Town Gate Bridge"
2845 -686 296 @
3324 -680 296 @
2192 -1523 114 "Town Gate Bunker"
2734 -689 296 @
2195 -1086 296 @
3444 -680 296 @
3608 -423 88 @
2656 -497 88 @
2099 -615 296 @
2718 -761 88 @
3514 726 64 "Town Gate Spawn"
-1150 1192 256 "Town Roofs"
3504 985 304 @
2127 1603 273 @
3110 1021 315 @
2970 979 281 @
2862 1102 285 @
2051 1078 285 @
-1185 161 280 @
-1858 -1447 247 @
637 -160 248 @
-729 122 280 @
253 -161 248 @
-338 -2670 280 @
-1720 -281 280 @
-1410 -284 280 @
-1442 66 280 @
-468 -2300 280 @
165 -2278 280 @
-1718 -426 280 @
-1726 -944 280 @
-1401 -411 280 @
-1264 -272 280 @
-1124 -939 280 @
-851 -562 280 @
270 -2045 336 @
431 -1325 336 @
1101 -20 277 @
864 558 262 @
397 270 265 @
961 -655 261 @
686 -929 284 @
-125 -964 296 @
-681 -529 280 @
307 -639 268 @
-423 -167 248 @
-1721 -1125 280 @
-1373 -1143 292 @
-1173 -1997 280 @
-110 -1812 336 @
-959 -925 296 @
-1129 -1109 280 @
-942 -1110 296 @
-269 -1574 312 @
-728 -1193 296 @
-1651 -1592 280 @
-1668 -1933 280 @
-1891 -803 248 @
-2022 -1045 248 @
-1696 -807 280 @
637 -160 72 "Transmitter"
