/////////////////////////////////////////////////////////
// Map name       Oil Rig 2                            //
// Locations by   WeblionX                             //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
808 834 1248 "Allied Bunks"
893 573 1248 @
543 866 1256 @
64 944 944 "Allied Command Post"
856 168 1096 "Allied Spawn"
866 326 1104 @
304 1792 1224 "Axis Command Post"
666 127 318 "Axis Dinghies"
168 144 272 @
504 1544 272 "Below Rig"
499 845 293 @
894 1851 282 @
185 1868 282 @
855 1005 283 @
24 608 1096 "Breaker Box"
484 314 1248 "Cargo Bay"
894 474 1248 @
982 122 1248 @
765 55 1248 @
260 178 1248 @
889 237 1248 @
776 88 1384 "Control Room"
929 280 1408 @
941 95 1408 @
628 -44 1408 @
619 252 1408 @
168 992 1312 "Crane"
436 860 1248 "Deck"
534 701 1248 @
495 416 1248 @
110 467 1248 @
101 42 1248 @
397 -38 1248 @
763 -43 1248 @
1083 104 1248 @
290 1620 1248 @
118 1257 1248 @
-17 1787 1248 @
485 2015 1248 @
843 1179 1248 @
392 1429 1248 @
1053 472 1248 @
309 1783 1408 @
830 1490 1408 @
104 544 944 "Generator"
807 913 1248 "Health and Ammo"
144 256 1248 "Lift"
710 53 576 "Lower Rig"
269 45 576 @
126 581 736 @
132 1367 736 @
72 1935 736 @
904 1895 736 @
922 1059 736 @
883 369 736 @
488 699 731 @
768 144 904 "Lower Storage"
866 314 960 @
328 128 920 "Mud Pump"
526 2453 300 "Out at Sea"
2040 3064 568 @
-1016 3064 568 @
-1016 -1016 568 @
-688 1002 317 @
1851 989 292 @
2040 -1016 568 @
457 -496 289 @
-586 2099 330 @
-690 -37 314 @
1634 -19 302 @
1822 1935 290 @
848 1528 1224 "Tank Gauges"
640 1176 1024 "Tanks"
819 1526 1087 @
858 411 1104 @
474 295 1088 @
211 511 1088 @
394 1405 1088 @
310 1774 1088 @
518 1965 1088 @
653 147 960 @
345 266 960 @
215 518 960 @
206 679 960 @
200 968 960 @
875 425 960 @
119 1943 960 @
64 931 1121 "Tanks Corridor"
59 1521 1128 @
128 2051 960 "Tanks Door"
480 160 1600 "Tower"
499 256 1408 "Upper Deck"
929 404 1408 @
1055 -39 1408 @
778 -155 1408 @
626 -171 1408 @
503 -83 1408 @
382 -19 1408 @
236 244 1408 @
711 115 1568 @
936 275 1568 @
920 114 1568 @
24 1712 1080 "Waste Gas Valve"
