/////////////////////////////////////////////////////////
// Map name       Operation Lucky A2                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    27-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1002 -2501 -161 "1st Allied Spawn"
-985 3282 -306 "2nd Axis Spawn"
-333 -240 -296 "CP Building"
-710 -223 -92 @
-318 -382 -296 "CP Street"
-706 -373 -296 @
-262 699 -296 "Central Street"
-151 227 -296 @
208 695 -296 @
319 695 -296 @
708 693 -296 @
853 690 -296 @
494 265 -306 @
-640 472 -306 @
-205 -244 -296 "Command Post"
-149 113 -278 @
844 -396 -296 "Dead End Alley"
669 -936 -296 "East Courtyard"
668 -1359 -296 @
656 -534 -296 @
843 -533 -296 @
532 79 -306 "East Street"
389 -516 -306 @
523 -930 -296 @
627 -1544 -296 @
-92 -1272 -306 @
543 -1374 -296 @
556 -535 -296 @
638 -417 -296 @
1067 2736 -310 "Radar Parts"
-258 808 -272 "Rendezvous Point"
44 1505 -272 @
171 1200 -272 @
217 827 -272 @
160 1518 -92 @
638 -1668 -308 "South Alley"
630 -1904 -308 @
-328 -1298 -306 "South Town"
-1170 -1230 -296 @
600 -2213 -144 @
267 -2008 -134 @
-1363 -2216 -296 @
-561 1868 -306 "Truck Barrier"
312 823 -296 "Truck Yard"
303 1192 -296 @
308 1511 -296 @
697 1498 -296 @
685 813 -296 @
832 805 -296 "Truck Yard Alley"
838 1509 -296 @
855 2744 -301 "Warehouse"
1068 2610 -301 @
1017 2735 -111 @
965 2349 -301 @
764 2181 -301 @
-569 2642 -301 "Warehouse Alleys"
-47 2146 -301 @
615 2156 -301 @
1329 2161 -301 @
1402 2651 -301 @
966 2075 -301 "Warehouse Entrance"
838 1629 -296 "Warehouse Street"
676 1631 -296 @
298 1627 -296 @
47 1633 -296 @
-50 2037 -301 @
611 2029 -301 @
1331 2037 -301 @
957 1844 -306 @
-1396 -545 -296 "West Alley"
-1376 -1188 -296 @
-957 1885 -306 "West Street"
-702 2637 -301 @
-987 2878 -306 @
-958 471 -306 @
-813 -220 -296 @
-962 1129 -306 @
-1212 -498 -296 @
-836 -382 -296 @
