/////////////////////////////////////////////////////////
// Map name       Operation Tower                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    09-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
368 99 384 "^1Assault Ladder"
361 -38 1351 @
331 -38 2503 @
1419 -1771 331 "^1Assault Ramp"
1419 -1772 193 @
1484 -2159 499 @
1484 -2159 151 @
-652 2211 336 "^1Command Post"
1901 -2950 160 "^1Radio Station"
12 -282 2558 "^1Secret Manuals"
-1513 -53 269 "^1Tower Gate"
-2175 -3459 208 "^1Tunnel Gate"
-650 2781 384 "^2Advanced Spawn"
-274 2594 384 @
1990 -3489 198 "^2Allied Spawn"
-3514 387 472 "^2Axis Spawn"
-3716 -689 472 @
-3199 -607 472 @
1902 -3127 178 "^3Allied Deployment Area"
2211 -3112 192 @
1641 -3117 179 @
1484 -2979 192 @
1378 -3491 147 @
1690 -3847 160 @
1996 -3832 146 @
2533 -3481 231 @
2365 -2414 180 @
2207 -2240 163 @
1996 -2233 160 @
1460 -2396 171 @
1648 -2227 150 @
3500 -13 288 @
3182 -376 300 @
3457 -707 289 @
3915 -383 236 @
1661 -1777 193 @
1422 -1462 237 @
1386 229 252 @
2001 118 209 @
2606 202 263 @
3086 147 321 @
2379 -2964 228 @
3474 -1527 312 @
3466 -401 287 "^3Allied MG42 Nest"
-1563 1238 349 "^3Axis Deployment Area"
-2723 1880 259 @
-3096 2154 313 @
-3173 1050 204 @
-3108 997 248 @
-1883 -59 266 @
-1554 365 273 @
-1554 -1567 250 @
-1486 -1634 250 @
-1561 -541 264 @
-3715 -819 251 @
-3714 -807 460 @
-3091 -611 264 @
-3202 -870 203 @
-2778 383 238 @
-1519 -2216 296 @
-1662 -3459 292 @
-942 -3448 323 @
-1551 -2923 333 @
-1879 -2423 272 @
-2780 -2204 225 @
-3916 -2538 198 @
-3280 -2493 208 @
-2932 -2505 216 @
-2198 -2605 249 @
-3514 387 248 "^3Axis Mansion"
-3513 484 472 @
-3716 -689 248 @
-3199 -607 248 @
-3170 997 248 @
-690 3385 234 "^3Back Path"
171 3416 249 @
-2498 2783 275 @
-2594 -3455 208 "^3Barracks"
-2909 -3194 208 @
-3308 -3549 208 @
-3277 -2614 208 @
-2936 -2617 208 @
-3440 -3387 208 @
-663 2366 362 "^3Command Post Area"
-926 2775 374 @
-687 3308 261 @
-407 2214 371 @
-952 2352 356 @
-1255 1890 338 @
-1308 1945 341 @
-1514 2249 368 @
-800 1330 325 @
-274 1306 340 @
-274 2506 382 @
-1486 1306 342 @
-1931 2172 348 @
-2458 2739 271 @
-647 1856 336 @
-648 1951 336 "^3Command Post Hut"
-959 2256 336 @
-1253 1946 336 @
-652 2211 575 "^3Command Post Hut Roof"
-648 1951 526 @
-959 2256 526 @
-1253 1946 511 @
337 -2239 -306 "^3Flooded Tunnel"
-706 -2186 -291 @
-1519 -2216 -291 @
-2780 -2204 -291 @
-3277 -2614 -291 @
-3440 -3387 -291 @
-2157 2421 350 "^3Garage"
-1752 -3460 267 "^3Garden"
-1889 -2937 276 @
-2914 -3678 111 @
-2541 -3455 190 @
-2595 -3704 167 @
-3306 -3629 114 @
-3917 -2598 192 @
-2178 -2727 242 @
-3724 -3394 208 @
-2186 -3808 185 @
-2171 -3032 234 @
1324 3564 248 "^3Generator"
1662 -3504 198 "^3Health and Ammo Cabinets"
178 2592 528 @
-2917 -3489 208 @
-2917 -3489 432 "^3Mess Hall"
-2594 -3455 432 @
-2909 -3194 432 @
-3308 -3549 432 @
-3277 -2614 432 @
-2936 -2617 432 @
-3440 -3387 432 @
-3280 -2493 419 "^3Mess Hall Balcony"
-2932 -2505 432 @
-213 1306 354 "^3North-East Area"
1311 1328 351 @
1399 1240 348 @
1386 546 187 @
2007 667 230 @
2585 684 315 @
3097 606 283 @
3506 544 275 @
173 2201 437 @
-213 2592 394 @
-197 2507 383 @
537 2588 462 @
177 2980 407 @
2010 3565 222 @
1328 3051 333 @
-3546 3243 838 "^3North-West Hill"
2210 -2950 160 "^3Radio Station"
1642 -2967 160 @
1901 -2748 160 @
2202 -2413 160 @
1660 -2399 160 @
1997 -2384 160 "^3Radio Station MG42"
1901 -2950 320 "^3Radio Station Roof"
2210 -2950 320 @
1642 -2967 320 @
1901 -2748 356 @
1997 -2384 320 @
2202 -2413 320 @
1660 -2399 320 @
307 -1676 266 "^3Reservoir"
337 -2239 88 @
-703 -1650 195 @
-706 -2186 204 @
-557 -3451 206 @
426 -2964 178 @
173 -3457 173 @
1990 -3489 371 "^3Shed Roof"
1662 -3504 365 @
3443 -3097 716 "^3South-East Hill"
178 2592 656 "^3Supplies Hut"
178 2592 792 "^3Supplies Hut Roof"
12 -282 2380 "^3Tower"
177 90 392 @
207 -39 1351 @
257 -37 2507 @
17 -74 2562 @
23 -46 331 @
240 -293 2570 @
-213 -314 2570 @
984 -1559 266 "^3Tower Area"
304 -1513 266 @
1297 -1470 266 @
-800 1227 328 @
-270 1237 345 @
-211 1237 359 @
357 456 384 @
175 461 384 @
-516 -61 336 @
-1262 -56 271 @
-4 550 333 @
-704 -1565 266 @
1308 226 258 @
1317 1237 351 @
1319 544 182 @
-1485 1237 343 @
-1485 365 269 @
651 91 295 @
320 -318 384 @
-1485 -1565 266 @
-1485 -546 266 @
22 -241 -223 "^3Tower Tunnel"
967 -2367 -223 @
304 -1513 -223 @
839 -1970 -223 @
23 -46 18 "^3Tower Tunnel Ladder"
23 -46 -223 @
-2175 -3459 -239 "^3Tunnel"
1069 -3440 -239 @
-1662 -3459 -239 @
-942 -3448 -239 @
-557 -3451 -239 @
173 -3457 -239 @
2008 387 468 "^3Wall"
1386 383 468 @
2608 392 468 @
3508 493 468 @
3106 395 468 @
2008 387 210 "^3Wall Arch"
2839 394 308 "^3Wall Ruins"
958 -2382 584 "^3Water Plant Roof"
1059 -3453 584 @
970 -2954 584 @
974 -1653 584 @
1190 -1782 584 @
1208 -3485 304 "^3Water Purification Plant"
962 -2959 192 @
1069 -3440 263 @
967 -2367 229 @
990 -1669 262 @
