/////////////////////////////////////////////////////////
// Map name       Password 2                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2836 -2052 64 "Allies Spawn"
-2658 -2457 72 @
543 3796 592 "Axis Courtyard"
749 3918 576 @
30 4124 592 @
-173 4714 576 @
-214 4240 608 @
-1072 3970 592 @
-928 3531 584 @
168 3628 584 @
36 4232 608 "Axis Spawn"
550 3909 608 @
630 3936 608 @
516 3198 640 "Axis Warehouse"
171 3512 576 @
-10 2881 832 @
-256 -509 123 "Center Flag"
-525 2131 832 "Emergency Button"
1667 1916 576 "Garage Corridor"
1025 1986 832 @
2019 1895 578 @
2031 1505 320 @
1661 787 72 "Garage Yard"
1305 421 79 @
1398 227 64 @
1173 -14 68 @
995 -506 72 @
1655 -530 72 @
1664 927 96 "Lower Garage"
1664 1410 96 @
-1158 2589 832 "Office Catwalk"
-902 2778 880 @
-1958 1872 832 "Office Stairs"
-1618 1875 672 @
-693 2545 576 "Office Yard"
-921 2724 584 @
-1137 2622 576 @
-680 1923 592 @
-1336 1391 576 @
-2100 1383 584 @
-1478 1872 576 @
-1644 1759 585 @
-1945 1855 576 @
-2009 2779 592 @
-1640 1990 576 @
-693 1405 576 @
-1544 1458 576 @
-550 1210 832 "Office Yard Storage"
-1192 1205 832 @
-1478 1198 832 @
-1997 1229 832 @
-1469 1127 576 @
-1474 1264 576 @
-2119 1261 576 @
-1375 -1824 72 "Outside Allies Spawn"
-2532 -2462 77 @
-2823 -1929 72 @
-2389 -1981 64 @
-2109 -1520 72 @
-2404 -1636 64 @
-2563 -1450 64 @
-1279 2596 832 "Password Office"
-1602 2756 832 @
-1951 1980 832 @
-344 2113 832 "Processing Controls"
-233 2302 832 @
-573 2776 832 "Processing Platform"
-239 2424 832 @
-585 2354 832 @
-22 2760 832 @
210 2629 832 @
764 2061 832 @
373 2267 832 @
903 1984 832 @
102 1591 832 @
88 1492 832 @
-542 1897 608 "Processing Room"
-362 2056 608 @
-486 1228 613 @
-301 1761 608 @
-339 1475 608 @
-353 1534 310 "Processing Water"
-353 1985 291 @
-2113 -1331 72 "Service Courtyard"
-1398 -1039 64 @
-2410 -1093 64 @
324 117 320 "Service Door"
-2403 -1207 96 "Service Entrance"
-2386 -1412 96 @
-555 -416 96 "Service Halls"
-218 -793 96 @
-1250 -1036 96 @
109 -326 96 @
-617 723 96 @
-1194 996 320 @
-712 994 320 @
-1481 557 208 @
1173 105 96 @
1054 262 96 @
1224 261 320 @
755 179 96 @
753 263 320 @
-706 1101 304 "Service Halls Exit"
-1187 1093 304 @
-1350 1266 560 @
-1363 1130 560 @
1231 270 96 "Service Halls MG42"
-767 -1589 96 "Service Tunnel"
124 -1133 352 @
335 -315 352 @
640 176 96 @
629 263 320 @
471 -62 320 @
118 -204 96 @
132 93 288 @
579 623 320 @
145 217 320 "Service Warehouses"
-281 175 320 @
-289 1180 384 @
99 1528 672 @
602 633 672 @
-1594 2855 832 "Storage Corridors"
-1189 3974 608 @
-1351 3460 608 @
-1915 3761 608 @
-2009 2880 608 @
1670 -815 72 "Truck"
-1225 -1815 72 "Tunnel"
-761 -1719 72 @
988 -678 72 @
1657 1452 320 "Upper Garage"
1658 955 320 @
1660 1798 462 @
1798 1665 256 @
-288 1261 360 "Ventilation"
-355 1461 360 @
335 2619 832 "Warehouse Corridors"
770 2181 832 @
335 2550 576 @
-573 2541 576 @
46 2215 432 @
-342 2130 352 @
-24 2329 288 @
460 2308 832 @
