/////////////////////////////////////////////////////////
// Map name       ET Chateau                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    20-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1370 2048 32 "^1Cellar Door"
-3589 1690 48 "^1Command Post"
-2943 1088 48 "^1Main Door"
-2699 2284 -143 "^1Transmitter"
-2915 3528 244 "^1War Documents"
-2217 -666 0 "^3Alleys"
-1145 -940 16 @
-781 337 0 @
-884 899 0 @
-2945 -113 0 "^3Allied Courtyard"
-2370 -668 0 @
-1159 2429 432 "^3Axis East Spawn"
-1350 2671 432 @
-4553 2678 432 "^3Axis West Spawn"
-3645 2353 48 "^3Basement"
-3535 2745 0 @
-4032 1886 432 "^3CP Room Balcony"
-3604 1880 432 @
-1720 2045 -127 "^3Cellar"
-2370 1892 -127 @
-2200 2043 -127 @
-2373 2745 0 @
-2942 344 2 "^3Chateau Courtyard"
-2939 868 2 @
-1068 891 2 @
-1397 1760 0 @
-1060 2055 0 @
-3540 1444 48 "^3Command Post Room"
-3922 1701 48 @
-3415 2742 432 "^3Courtyard Balcony"
-2500 2745 462 @
-2943 2969 432 @
-3299 2932 464 @
-1919 2677 432 "^3Dining Room"
-2341 2744 432 @
-2178 3014 432 @
-2941 3120 432 "^3Documents Room"
-3350 3196 432 @
-3807 3926 432 @
-3456 3905 432 @
-2941 3914 432 @
-2428 3941 432 @
-2478 3193 432 @
-2915 3528 418 @
-2685 3910 432 @
-2322 2170 432 "^3East Hallway"
-1757 2680 432 @
-2349 3192 432 @
-2184 3189 432 @
-1706 3222 432 @
-1366 2429 432 "^3East Spawn Balcony"
-2944 1273 48 "^3Grand Staircase"
-3419 1722 54 @
-2939 2025 288 @
-3139 2012 48 @
-2733 1995 48 @
-2938 1677 108 @
-3379 1444 48 @
-3332 1886 432 @
-3353 2170 432 @
-2502 2164 432 @
-2368 2044 -127 "^3Health and Ammo"
-3803 2093 432 @
-3415 2742 0 "^3Inner Courtyard"
-2500 2745 0 @
-3459 4041 432 "^3Library"
-3463 4207 432 @
-2941 4059 432 @
-2427 4063 432 @
-2685 4064 432 @
-3565 2743 432 "^3Living Room"
-3808 2971 432 @
-3802 2507 432 @
-3928 1882 48 "^3Lower Hallway"
-3645 2193 48 @
-2946 125 0 "^3Main Arch"
-3808 4101 432 "^3North East Yard"
-3664 4226 432 @
-2941 3113 816 "^3Roof"
-3350 3196 934 @
-2941 4059 816 @
-2941 3914 816 @
-2427 4063 846 @
-2428 3941 823 @
-2478 3193 793 @
-2915 3528 816 @
-2685 4064 816 @
-2685 3910 816 @
-1008 -939 16 "^3South East Courtyard"
-779 160 16 @
-3133 2315 -71 "^3Spiral Stairs"
-2939 2025 48 "^3Under The Staircase"
-4407 2686 432 "^3West Hallway"
-4020 2161 432 @
-3557 2163 432 @
-4355 3172 432 @
-3810 3168 432 @
-3550 3192 432 @
-4168 1870 48 "^3West Stairwell"
-4172 1887 432 @
