/////////////////////////////////////////////////////////
// Map name       Eye OF Horus                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    16-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1491 -1699 968 "^1Allied Left Entrance"
1124 -5415 1172 "^1Command Post"
4586 2311 496 "^1Obelisk"
140 -572 732 "^1Tunnel Main Entrance"
-2218 192 736 "^1Tunnel Sealing"
1843 -1467 968 "^1Upper Center Entrance"
1923 -2072 968 "^1Upper Right Entrance"
3201 1844 392 "^3Big Hall"
3499 1399 472 @
2644 1362 472 @
3187 933 392 @
3200 2006 392 "^3Big Hall Spawn"
4261 211 296 "^3Cave"
4241 -1358 311 @
4244 -1703 296 "^3Cave Bridge"
-4252 -2419 1000 "^3Desert"
431 -6145 1104 @
-161 -6592 1305 @
-4968 -5093 1238 @
935 -5412 1162 @
1147 -5696 1168 @
1322 -5415 1149 @
1155 -5169 1154 @
945 -6598 1086 @
1603 -3237 1052 @
247 -3322 1040 @
2074 -3018 1007 @
449 -6610 1146 "^3Desert Outpost"
4249 -1989 296 "^3Health and Ammo"
313 79 728 @
2245 -802 728 @
3704 1399 472 "^3Pyramid Corridors"
3901 1877 478 @
4060 2640 472 @
2416 1357 472 @
1590 1000 472 @
573 286 728 @
320 -189 728 @
319 -896 734 @
851 -1705 859 @
2577 -2107 856 @
4247 -2284 296 @
2650 -2686 344 @
1849 -786 856 @
2506 -803 728 @
3185 775 392 @
4635 1489 392 @
4264 417 296 @
1613 -2771 1112 "^3Pyramid Entrance"
1735 -2072 968 @
1759 -1708 968 @
1485 -1992 968 @
2169 -1495 968 @
1928 -1796 968 @
1872 -2435 968 @
-4253 -585 988 "^3Ruin"
-4199 -2047 990 @
-5327 -1633 1050 @
4208 2641 472 "^3Tomb"
4644 2702 472 @
4950 2331 472 @
4639 1715 472 @
-2552 182 729 "^3Tunnel"
-4253 -585 729 @
-1851 188 729 @
-172 -568 729 @
