/////////////////////////////////////////////////////////
// Map name       Pirates Final                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    25-08-2011                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2398 2628 620 "^1Command Post"
-3532 2632 646 "^1Escape Truck"
-98 4884 560 "^1Gold Crates"
333 1997 531 "^1Main Entrance"
-1952 2117 424 "^1Side Entrance"
1488 -495 441 "^2Beach Spawn"
1992 2991 620 "^2Courtyard Spawn"
-1118 1279 636 "^2Old City Spawn"
-925 1281 452 @
-884 3569 864 "^2Seaport Spawn"
-519 3570 867 @
719 -770 395 "^3Beach"
651 -167 457 @
253 -338 378 @
1045 -1264 400 @
489 -1118 389 @
-205 -659 401 @
-594 -163 371 @
-1029 -417 368 @
-242 -183 322 @
-740 4879 790 "^3Bowsprit"
-446 4876 742 @
104 6032 520 "^3Buoy"
-147 2920 445 "^3Central Alley"
-495 2778 432 @
-1385 2734 432 @
-495 2778 664 "^3Central Alley Bridge"
-188 1488 778 "^3Church Roof"
-196 1235 681 @
-26 1036 754 @
82 1442 719 @
-193 765 796 @
2154 2623 600 "^3Courtyard"
2175 2361 600 @
1821 2615 592 @
2417 2926 620 @
1455 2631 592 "^3Courtyard Alley"
2160 3475 632 "^3Courtyard Corridor"
1811 4024 632 @
1082 2654 592 "^3Crossroads"
725 3223 570 "^3Gutter Alley"
-134 3232 448 @
839 804 640 "^3Ladder Room"
999 737 388 "^3Ladder Rooms"
988 1070 640 @
842 2481 588 "^3Main Entrance Alley"
351 2326 535 @
690 2182 572 "^3Main Entrance Corridor"
840 2370 595 @
713 1992 552 "^3Main Entrance MG Nest"
-640 1291 472 "^3Old City"
-182 1821 515 @
-640 1821 472 @
728 1562 532 @
413 739 464 @
171 1037 480 @
82 1442 507 @
-193 765 462 @
-964 519 448 @
537 357 343 @
230 231 347 @
-651 255 442 @
-999 164 469 @
-235 211 320 @
513 1240 517 @
-638 896 451 @
-1951 1708 395 "^3Old City Alley"
-1130 1690 448 @
-1601 1466 454 @
213 5 535 "^3Old City Broken Wall"
-238 40 556 @
-237 35 320 "^3Old City Entrance"
-1138 861 854 "^3Old City Rooftops"
-1145 528 854 @
1232 -248 361 "^3Old City Tunnel"
1007 356 361 @
705 349 347 @
691 795 640 "^3Old City Walls"
413 739 656 @
705 349 580 @
658 -1 592 @
-594 27 592 @
-999 164 596 @
513 1240 656 @
381 4872 560 "^3Pirate Ship"
764 4884 787 @
155 4780 560 @
1220 4878 896 @
-92 4875 796 @
757 4882 560 @
535 4613 601 "^3Pirate Ship Entrance"
978 3228 610 "^3Seaport Alley"
-884 3569 608 "^3Seaport Docks"
154 4574 580 @
1123 3891 608 @
-431 4508 608 @
-1502 4356 608 @
-97 4503 608 @
376 4513 608 @
798 4254 608 @
1329 4686 600 @
-1127 4878 608 @
-912 4332 608 @
-1180 5593 608 @
-1459 3771 608 @
-519 3570 608 @
-9 3909 608 @
1705 4026 620 @
1724 5527 608 @
758 4352 608 @
868 5500 588 "^3Seaport Pier"
496 5466 588 @
-489 3128 672 "^3Seaport Spawn Stairs"
-879 3085 816 @
-1685 4359 864 "^3Seaport Walls"
-1493 3551 856 @
-1459 3771 863 @
-2051 3479 499 "^3Side Alley"
-2449 3485 524 @
-1685 4359 627 @
-2604 2608 500 "^3Side Corridor"
-2766 2239 560 @
-3202 2327 644 @
-1664 2127 436 "^3Side Entrance Door"
-1635 2746 432 "^3Side Entrance Square"
-2052 2944 432 @
-1670 2403 423 @
-2189 2412 436 @
880 1565 541 "^3Storage"
-3200 2501 640 "^3Truck Square"
-2736 3486 568 @
-3559 2996 679 @
-1119 871 452 "^3Warehouse"
-1119 871 640 "^3Warehouse Balcony"
-1116 530 640 @
931 -1449 333 "^dPirate Bay Ocean"
444 -1368 333 @
-214 -897 333 @
-457 5178 480 "^dSeaport Ocean"
-436 4558 480 @
-85 4559 480 @
-129 5298 480 @
154 4574 480 @
378 4611 480 @
1329 4686 480 @
-740 4879 480 @
-1127 4878 480 @
-1180 5593 480 @
75 5698 480 @
420 6038 480 @
117 6314 480 @
-178 5987 480 @
868 5500 480 @
496 5466 480 @
535 4613 400 @
-446 4876 333 @
381 4872 333 @
-98 4884 333 @
757 4882 333 @
