/////////////////////////////////////////////////////////
// Map name       Praetoria:Mission 1 (Bunker Hill)    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    10-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-5118 6926 32 "^1Allied Command Post"
-1978 5468 -431 "^1Axis Command Post"
-2442 3135 144 "^1Boat House MG42"
-3495 1474 -245 "^1East Wall"
-4821 3277 -127 "^1First Tank Barrier"
1577 5122 244 "^1Magnetic Generator"
1556 3795 256 "^1Radar Control Center"
-1559 2439 -207 "^1Second Tank Barrier"
-6274 3017 -95 "^1Side Entrance"
1021 3091 240 "^1South Bunker Entrance"
-6087 -1081 -367 "^2Allied Base"
-5511 -1076 -367 @
-2442 3037 -159 "^2Boat House"
-2442 3135 12 @
-878 6652 -191 "^2Bridge Bunker"
-235 6549 -191 @
-559 6548 -191 @
-1280 6592 -319 @
-1264 6595 -175 @
-3488 1058 -207 "^2East Bunker"
-3781 1230 -187 @
-6330 4832 -71 "^2Garrison"
-5986 4434 -71 @
-5617 4832 -71 @
-5990 5229 -71 @
-6261 5051 108 @
-6217 4573 108 @
-5702 4595 108 @
-5761 5088 108 @
-5983 4840 99 @
-5618 4832 108 @
1615 4658 560 "^2Main Bunker Barracks"
1656 4179 560 @
1025 4169 560 @
1029 4648 560 @
-5843 -1233 -175 "^3Allied Base Balcony"
-7021 -546 -367 "^3Allied Base Hallway"
-7048 -1272 -367 @
-5494 -1163 -159 "^3Allied Base MG42"
-2682 3087 -331 "^3Boat House Stairs"
-2682 3087 -86 @
-2441 2808 -159 "^3Boat House Terrace"
-3665 4970 -301 "^3Bridge"
-2812 4965 -298 @
-663 5707 -36 "^3Bridge Bunker Cave Exit"
-668 5501 41 @
-674 5870 -87 "^3Bridge Bunker Ramp"
-656 6125 -165 @
-871 6663 64 "^3Bridge Bunker Roof"
-1264 6595 64 @
-559 6548 64 @
-1634 7011 -255 "^3Bridge Hut"
-1895 7016 -255 @
-1901 6814 -287 "^3Bridge Hut Balcony"
-873 6778 -200 "^3Bridge Hut Path"
-278 5790 163 @
-235 6549 79 @
-551 6831 -70 @
-1952 6520 -355 "^3Bridge Hut Pier"
-4374 5565 -119 "^3Bridge Steps"
410 4401 160 "^3Bunker Tunnel Doors"
-5942 6229 -91 "^3Cemetary"
-5755 6893 -95 @
-6109 5779 -95 @
-5116 6218 0 "^3Church"
-5118 6926 160 @
-4939 6958 32 @
-5298 6960 32 @
-5307 6216 0 @
-4947 6214 0 @
-5124 6744 0 @
-5120 6086 320 "^3Church Balcony"
-5116 6218 320 "^3Church Gallery"
-5118 6926 320 @
-4939 6958 320 @
-5298 6960 320 @
-5307 6216 320 @
-4947 6214 320 @
-5124 6744 319 @
-3152 1109 -231 "^3East Bunker Path"
-3081 1499 -275 @
-2262 1952 -266 @
-3781 1324 -179 "^3East Bunker Pier"
-3766 1698 -179 @
-3774 2161 -127 @
-4223 1672 -83 "^3East Bunker Pier Steps"
-3576 832 -207 "^3East Supply Cabinets"
-1990 5300 -431 "^3Forward Bunker"
-1700 5443 -431 @
-1824 5688 -431 @
-844 5458 -323 @
-1087 6194 -451 @
-857 6124 -239 @
-1698 5446 -207 "^3Forward Bunker Roof"
-1815 5688 -207 @
-1966 5468 -212 @
-1298 5442 -96 "^3Forward Supply Cabinets"
-1781 3077 -134 "^3Hill Road"
-1764 4038 -241 @
-1990 5183 -431 @
-1670 5172 -383 @
-978 2348 -128 @
-525 3008 38 @
-427 2448 -63 @
-496 3871 113 @
-497 4440 128 @
-1300 4106 -109 "^3Hills"
-1521 5167 -158 @
-1513 5437 -154 @
-1310 5802 -102 @
-663 5706 270 @
-668 5500 232 @
-1204 2976 196 @
-948 3046 232 @
-959 3923 116 @
-675 5310 81 @
-1002 5416 168 @
-990 4472 105 @
-1227 6209 -165 @
-5061 2235 -115 "^3House"
-4990 1855 -115 @
641 5189 528 "^3Main Bunker"
1032 4825 528 @
1029 3995 528 @
605 3864 528 @
728 5563 528 @
821 5309 288 @
592 4955 528 @
646 3872 227 @
2076 4960 268 @
1614 4807 540 @
1028 3547 240 @
1198 3280 240 @
1533 3337 240 @
1656 4007 528 @
1570 3793 528 @
630 3148 528 @
420 4391 540 "^3Main Bunker Guard Post"
594 4829 519 @
589 4000 520 @
996 4412 160 "^3Main Bunker Loading Bay"
1015 3740 240 @
1566 4618 154 @
2077 4788 240 @
2031 3800 247 @
1563 4347 230 @
199 3805 604 "^3Main Bunker MG Tower"
213 3483 604 @
184 5160 604 @
211 3270 528 "^3Main Bunker Terrace"
-176 3031 276 @
155 5763 528 @
174 5574 144 "^3Main Bunker Vent Access"
815 5499 144 @
1419 5572 144 @
-5659 489 -207 "^3Mansion"
-5633 261 -207 @
-6016 125 -207 @
-5909 271 -207 @
-6171 514 -15 @
-5850 655 -15 @
-6282 188 -62 @
-6256 259 -206 @
-6174 660 -19 "^3Mansion Backyard"
-6099 1221 -219 @
-6527 519 -124 @
-6370 203 -175 @
-5607 140 -283 "^3Mansion Steps"
-5890 146 -223 @
-5890 146 -427 "^3Outside Allied Base"
-5515 -962 -367 @
-6087 -971 -367 @
-5232 -1158 -324 @
-5603 -99 -415 @
-4596 -519 -330 @
-6517 -301 -447 @
-2237 3140 0 "^3Outside Boat House"
-2251 2427 150 @
-2291 2807 136 @
14 4412 162 "^3Outside Main Bunker"
19 3819 192 @
7 5767 400 @
-18 5196 363 @
-5484 6212 -49 "^3Outside The Church"
-5487 6987 -47 @
-5613 6891 -74 @
-4744 6980 -40 @
-5281 6098 -23 @
-5117 6071 0 @
-4927 6078 -47 @
-4747 6221 -82 @
-4529 5706 -127 @
-5093 5462 -79 @
-5987 3905 -111 "^3Outside The Garrison"
-6573 3900 -111 @
-5979 5373 -79 @
-6108 5617 -89 @
-6605 4834 -83 @
-5993 4181 -90 @
-6565 5410 -75 @
-6598 4260 -104 @
-5541 4203 -84 @
-5360 4828 -79 @
-5365 5366 -79 @
-6071 2994 -95 "^3Outside The Storage"
-6547 2967 -39 @
-6281 2744 -70 @
-5743 2693 -118 @
