/////////////////////////////////////////////////////////
// Map name       Praetoria:Mission 2 (Hell on Wheels) //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    10-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4671 164 0 "^1Command Post"
7205 2557 108 "^1Fuel Tanks"
5504 3378 128 "^1Gun Controls"
2372 1101 60 "^1Repair Bunker Controls"
4092 4568 108 "^1Side Entrance"
6653 1822 72 "^1Side Wall"
4850 276 0 "^2Forward Bunker"
4679 394 0 @
4480 479 0 @
4893 557 0 @
1386 4839 304 "^2Main Bunker"
6896 4151 300 "^2Main Entrance"
5276 3143 93 "^3AT Gun"
5125 -440 0 "^3Airfield Tunnel"
6508 -799 0 @
5060 288 0 "^3Airfield Tunnel Doors"
5248 601 0 "^3Airfield Tunnel Entrance"
4994 554 0 @
4733 2620 52 "^3Between Guard Posts"
5204 4365 289 "^3Canopy"
5398 4559 289 @
3459 1390 -140 "^3Cave"
3793 1010 -47 @
3098 1955 -65 @
6355 2117 82 "^3Depot Embankment"
6012 2460 98 @
5766 2690 108 @
4852 3675 108 @
4388 4093 96 @
5119 3945 108 "^3Depot Entrance Room"
5266 4087 108 @
6073 3005 108 @
6207 3149 108 @
5788 3292 96 "^3Depot Gates"
5422 3662 96 @
5288 3597 96 @
5358 3529 96 @
5652 3222 96 @
5734 3139 96 @
5578 3454 300 "^3Depot Wall Corridor"
5788 3292 344 @
5422 3662 344 @
5119 3945 300 @
6073 3005 300 @
5540 3782 96 "^3Depot Yard"
5904 3410 96 @
5387 4209 108 @
6344 3284 106 @
6635 3657 128 @
6195 3879 96 @
6017 4189 96 @
5870 4403 108 @
5578 4400 100 @
5204 4365 108 "^3Depot Yard Arches"
5398 4559 108 @
5266 4087 288 "^3Depot Yard Balcony"
6207 3149 288 @
3234 477 -47 "^3Forward Bunker Barracks"
3041 651 -47 @
4344 478 -35 "^3Forward Bunker Hallway"
3803 879 -47 @
3333 477 -47 @
3037 775 -47 @
2874 1211 -23 @
7261 2498 109 "^3Fuel Truck"
5504 3378 252 "^3Gun Controls Defences"
1524 2302 304 "^3Main Bunker Hallways"
869 3099 304 @
906 3477 304 @
1537 2930 304 @
1527 3143 304 @
2355 4732 304 @
1953 4827 304 @
1769 5055 304 @
1389 4669 304 "^3Main Bunker Loading Bay"
1833 3775 304 @
1436 4169 304 @
902 3633 304 @
1953 4688 304 @
1990 3640 149 @
2850 5133 -47 "^3Main Bunker Lower Hallway"
1769 5055 -47 @
2365 4575 304 "^3Main Bunker North Exit"
2358 3995 304 @
2588 4358 244 @
1433 3769 304 "^3Main Bunker Radio Room"
1537 2505 304 "^3Main Bunker South Exit"
1534 2797 304 @
1780 2632 244 @
1994 3347 128 "^3Main Bunker Tunnel Doors"
6395 4653 300 "^3Main Entrance Hallway"
6529 5044 300 @
6291 4773 300 @
5828 5008 292 @
6667 4386 300 "^3Main Entrance Lobby"
6437 4611 300 @
6776 4763 300 @
6854 4844 300 "^3Main Entrance Office"
6463 4139 192 "^3Main Entrance Stairs"
6233 4412 204 @
6799 3806 300 "^3Main Entrance Terrace"
6826 4075 300 @
6589 4308 288 @
6367 4541 288 @
6215 4699 300 @
6324 4583 300 @
5843 4730 300 @
6046 4591 300 @
2621 3046 49 "^3Outside Main Bunker"
1986 3045 128 @
1911 2628 111 @
2687 1960 0 "^3Outside Repair Bunker"
2000 1938 0 @
2363 2138 13 @
2595 2579 160 @
2863 2279 4 @
3808 4212 -71 "^3Pier"
3858 4315 16 "^3Pier Stairs"
768 3096 304 "^3Pump Room"
7737 2576 128 "^3Railroad Tracks End"
