/////////////////////////////////////////////////////////
// Map name       Quotidian B2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    21-04-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2433 3752 128 "^1Alley Door"
342 -750 320 "^1Command Post"
3405 -1336 128 "^1North Depot Gate"
4601 -3583 69 "^1North Fueltruck"
4621 -2993 128 "^1North Truck Defences"
-1472 5274 144 "^1Road Barrier"
433 -2756 -151 "^1Sewer Grate"
3832 -6663 130 "^1South Fueltruck"
4329 -6669 128 "^1South Truck Defences"
2901 -4670 128 "^1West Depot Gate"
2427 3429 128 "^3Alley"
1792 807 128 @
2573 754 134 @
1606 2467 128 @
1728 8706 128 "^3Allied Spawn"
665 8740 128 @
4915 -3955 128 "^3Axis Spawn"
5240 -4241 128 @
1807 445 128 "^3Central Road"
2553 505 128 @
1571 124 128 @
133 317 128 @
-1497 351 128 @
762 300 128 @
135 -221 137 @
588 -184 136 @
-674 302 128 @
-209 -215 137 @
342 -750 144 "^3Command Post House"
347 -589 320 @
139 -884 155 @
134 -394 144 @
585 -511 144 @
4200 -3585 129 "^3Depot Area"
4541 -4150 288 @
3923 -2748 167 @
3597 -2486 128 @
3090 -2755 128 @
3615 -3053 128 @
4162 -3045 159 @
4562 -2583 128 @
4928 -3760 160 @
5649 -3907 128 @
5236 -4390 128 @
3397 -1758 128 @
3238 -3663 128 @
3444 -4676 128 @
3816 -6218 128 @
4335 -6227 128 @
4882 -6652 128 @
4312 -7295 128 @
4774 -7186 128 @
5815 -7322 128 @
3543 -7331 128 @
3813 -7040 128 "^3Depot Area Toilet"
2934 -4066 144 "^3Depot Guard House"
2898 -4106 552 @
1415 -766 128 "^3Health and Ammo"
1571 -72 144 "^3Health and Ammo House"
1512 -529 128 @
1415 -766 244 @
-225 7563 149 "^3North Alley"
971 7073 136 @
1245 6592 136 @
-90 6698 136 @
2832 -1143 128 "^3North Depot Gate Road"
2201 -1250 128 @
1466 -1027 142 @
1924 7116 128 "^3North East Arches"
4601 -3583 296 "^3North Fueltruck Roof"
2202 -544 130 "^3North Gate House"
1865 -540 128 @
-1447 7572 128 "^3North Road"
-222 7763 128 @
440 8727 128 @
1736 8389 128 @
699 8376 160 @
1935 7772 128 @
-1413 6986 128 "^3North West Arches"
1068 -107 128 "^3Outside CP House"
1174 -802 128 @
1201 -587 143 @
350 -1194 150 @
-626 -1247 128 @
-643 -649 128 @
905 -515 131 @
-112 -1260 128 @
3542 -7456 -151 "^3Railroad Tracks"
2246 -7649 -139 @
135 -7608 -151 @
124 -4622 -151 @
165 -2759 -151 @
139 -884 -151 @
126 1703 -151 @
133 317 -151 @
-479 1061 -151 @
715 1087 -145 @
420 -3323 -151 @
429 -2343 -151 @
147 -386 -151 @
-314 -661 -151 @
337 -740 -151 @
588 -184 -151 @
585 -511 -151 @
-209 -215 -151 @
-112 -1260 -151 @
1090 -2270 384 "^3Rooftop"
1634 -2179 368 @
656 -2748 -167 "^3Sewers"
2532 -2755 -153 @
3612 -2747 -167 @
2533 -547 -167 @
2202 -544 -94 @
3612 -2747 115 "^3Sewers Exit Hut"
495 -2736 128 "^3South Alley"
1327 -3761 128 @
562 -3321 128 @
511 -2342 128 @
2246 -7649 128 "^3South Bridge"
2213 -6948 128 "^3South Road"
2448 -4658 128 @
2546 -4115 128 @
2199 -2189 128 @
1634 -2179 128 @
1475 -3030 128 @
4782 -7589 128 "^3South Train Station"
5815 -7450 128 @
124 -4622 128 "^3South West Bridge"
912 -4623 128 "^3South West Road"
4316 -7490 -151 "^3Train"
4782 -7589 -121 @
5815 -7450 -151 @
303 4801 200 "^3Train Station"
517 5041 200 @
132 5299 200 @
-246 5039 200 @
-67 4801 200 @
123 5495 200 "^3Train Station Road"
1248 6465 136 @
-93 6431 128 @
-1471 6388 129 @
-1489 5727 128 @
1902 6305 128 @
2154 4002 128 @
1537 4148 136 @
-239 4801 184 "^3Train Station Stairs"
516 4801 168 @
-239 4525 -151 "^3Trainyard"
513 4529 -151 @
999 2436 -151 @
1007 4152 -87 @
-765 2015 27 @
-707 4001 -87 @
117 2040 -151 @
1207 4153 168 "^3Trainyard Overlook"
1245 2438 168 @
-1964 3468 128 "^3West Alley"
-2546 2368 141 @
-1945 1280 128 @
-1491 4635 128 "^3West Road"
-1293 2015 128 @
-982 2025 168 @
-912 3994 168 @
-1782 3470 136 @
-1785 1283 136 @
