/////////////////////////////////////////////////////////
// Map name       Radar Laboratory                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    26-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3273 609 64 "Allied Cave"
3283 1811 64 @
3638 1170 64 "Allied Spawn"
351 2961 64 "Assault Ramp"
316 2971 361 @
-1575 3387 384 "Axis Spawn"
-969 3256 320 @
-825 3523 320 @
-1828 3383 352 "Axis Spawn Stairs"
244 3936 320 "Barracks"
255 3229 320 @
888 3989 328 @
888 3256 302 @
-103 3614 320 "Barracks Hallway"
254 3612 320 @
898 3617 320 @
-51 1780 64 "Bunker Corridor"
-68 1535 64 @
-690 2289 64 "Bunker Foyer"
-1581 2266 64 @
-1939 1985 64 @
-1933 2563 64 @
-856 1362 256 @
-428 1533 64 @
-1503 2546 128 @
-388 2584 192 "Bunker Hallway"
-962 3041 320 @
-1502 2782 192 @
-1950 2803 192 @
-2141 2728 64 @
-2213 3076 192 @
-690 2289 192 "Bunker Office"
1540 1235 64 "Command Post"
1166 1089 64 "Command Post Cave"
1895 1193 64 @
2312 1047 64 @
1502 3617 242 "East Radar Parts"
1151 -257 66 "Escape Truck"
-7 224 64 "Forward Bunker"
1823 546 192 "Health and Ammo"
-544 1147 64 "Main Door"
-544 1147 256 "Main Door Terrace"
-967 848 256 @
-1073 293 256 @
-1271 70 256 @
-1075 -183 256 @
-848 1240 256 @
-9 2731 320 "North Bunker Hallway"
-99 3318 320 @
2927 1839 64 "North Canyon"
2241 2009 64 @
1227 2906 64 @
1772 2175 64 @
980 1929 64 @
367 2460 64 @
615 2176 64 @
712 2896 64 @
356 2179 64 "North Canyon Bunker"
165 1575 64 @
327 1737 64 @
317 2796 320 "North Canyon Terrace"
356 2179 320 @
367 2460 320 @
982 1716 64 "Pipes Bunker"
349 1564 64 @
216 1177 64 @
689 1316 64 @
1212 3855 288 "Radio Room"
1223 3394 405 @
1500 3361 256 @
1481 3863 256 @
1235 3612 256 @
-830 3684 320 "Rear Corridor"
-446 3619 320 @
1171 861 64 "South Canyon"
2318 885 64 @
2954 611 64 @
1823 221 64 @
1841 898 64 @
1827 756 192 @
856 1 64 @
204 1010 64 @
-1 613 64 @
397 255 64 @
-407 239 64 @
-550 854 64 @
-1058 103 64 @
-743 -212 64 @
1823 546 64 "South Canyon Storage"
1418 2910 64 "Storage Cave"
2232 2212 64 @
1210 3255 396 "Vent"
1037 3263 396 @
1017 3966 316 @
1216 3963 316 @
-2144 2539 64 "West Corridor"
-2136 2275 64 @
-2134 1976 64 @
-1978 2270 50 "West Radar Parts"
