/////////////////////////////////////////////////////////
// Map name       Raiders                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1402 4076 88 "Allied Command Post"
-1333 -2989 571 "Allied MG42"
-3670 -1438 119 "Allied Supply Station"
8469 2867 -367 "Axis Command Post"
3039 4055 715 "Axis MG42"
8074 -499 -367 "Axis Supply Station"
7818 -638 -367 @
-659 1504 99 "Cave Rock Barrier"
2659 -2944 172 "Cave to Waterfalls"
3183 -2731 104 @
3780 -1647 331 @
-787 4379 104 "Caves"
-1243 4218 67 @
-1335 3882 119 @
-619 2074 148 @
8136 1437 -239 "Crane Controls"
5015 1534 103 "Eastern Path"
4605 2418 182 @
4059 3398 427 @
3261 3905 674 @
-3927 -3056 109 "H'Ummer"
-3903 -1513 120 @
-3889 -1270 124 @
-3741 -1783 125 @
-4742 -460 99 @
-2544 -3104 70 @
332 9302 504 "Idol"
-313 9160 374 "Inner Temple"
340 9114 456 @
372 7950 424 @
969 9383 425 @
820 8056 374 @
1157 7516 300 @
2 8903 368 @
366 8213 409 @
770 5337 160 "Outer Temple"
155 6246 304 @
763 6905 160 @
1351 6222 304 @
1078 6934 160 @
1393 6630 304 @
5033 369 72 "Outside The Sub Pen"
5055 1246 77 @
5091 924 80 @
5065 -187 77 @
5447 -862 66 @
5557 -647 74 @
4260 512 93 @
781 5150 144 "Outside The Temple"
381 3517 86 @
-563 4289 90 @
2744 4431 349 @
775 -370 84 "Road to Temple"
1624 126 128 @
1544 937 147 @
1287 1979 104 @
676 2762 85 @
384 3325 96 @
-2491 -2927 74 "Ruins"
-1865 -2131 97 @
-1123 -2156 129 @
-658 -2518 112 @
482 -1734 162 @
525 -557 72 @
-598 1162 106 @
-1025 705 103 @
-1741 -62 159 @
193 -2699 535 @
6522 2033 228 "Sub Pen (A-1) Corridors"
6582 1954 228 @
6572 1488 280 @
5990 1086 280 @
6046 1584 280 @
6062 1701 280 "Sub Pen (A-2) War Room"
6670 1948 249 "Sub Pen (A-3) Barracks"
6679 1484 280 @
5968 -384 72 "Sub Pen (B-2) Corridors"
5998 -873 72 @
6086 -759 72 @
5980 950 280 "Sub Pen (B-2) Entrance"
5282 931 72 @
5196 360 72 @
5257 -180 86 @
5971 -262 72 @
6090 -186 72 @
5987 194 -39 @
7020 1593 -95 "Sub Pen (C-1) Controls"
7477 1532 -95 @
6754 1272 -39 @
6703 2169 -95 "Sub Pen (C-1) Generators"
6703 1757 -95 @
7016 1786 -95 @
6695 1642 -95 @
6703 -835 -371 "Sub Pen (D-1) Corridors"
7815 -763 -367 @
8213 -468 -367 @
8296 346 -367 @
8179 -742 -367 @
6208 -192 49 "Sub Pen (D-2) Access"
6484 -16 -39 @
7685 1036 -367 "Sub Pen (D-2) Bay Area"
7723 621 -367 @
8310 493 -367 @
8158 1235 -239 @
8158 1686 -239 @
8230 2405 -367 @
8777 2444 -367 @
8134 1438 -407 @
7594 1439 -363 @
7803 1867 -367 @
7771 2280 -367 @
7681 1402 -199 @
7667 1692 -199 @
7909 842 -367 @
8148 757 -367 @
7124 671 -367 "Sub Pen (D-2) Fuel Tanks"
7304 1164 -367 @
7492 788 -367 @
7498 2263 -367 @
7484 1991 -367 @
7142 1732 -367 @
7211 2278 -367 @
7297 1735 -199 @
6762 1158 -39 "Sub Pen (D-2) Storage"
6479 102 -39 @
6712 -142 -39 @
7155 -551 -111 @
6903 194 -367 @
6917 662 -367 @
7086 2671 -367 @
6708 2604 -367 @
7298 1280 -367 @
7036 2420 -367 @
8248 2541 -367 "Sub Pen (D-3) Corridors"
8327 2776 -367 @
8233 3106 -367 @
7089 2785 -367 @
6519 2593 -223 @
6182 340 280 "Sub Pen Crane Tunnel"
6601 344 280 @
7175 341 280 @
8360 521 280 @
6554 2175 -91 "Sub Pen North Stairwell"
6522 2499 -223 @
6531 2153 228 @
6561 -820 -367 "Sub Pen South Stairwell"
6207 -759 72 @
4915 -1344 152 "Sub Pen Storage"
4948 -1910 72 @
5411 -993 280 @
5996 -1007 72 @
5442 -1026 72 @
4760 -1380 150 "Sub Pen Storage Path"
3958 -1655 333 @
6014 191 -554 "Sub Pen Water Access"
6889 202 -575 @
6904 598 -589 @
7530 792 -560 @
7121 791 -577 @
7972 794 -583 @
752 7152 160 "Temple Corridors"
612 8126 163 @
163 8499 32 @
358 7887 160 @
1199 6224 296 "Temple Map Room"
781 6755 160 @
340 6237 296 @
1074 6672 160 @
895 7202 172 "Temple Rock Barrier"
814 9426 -15 "Tomb"
-214 9143 91 @
175 8627 32 @
1854 -66 128 "Tunnel to Sub Pen"
2778 579 122 @
4035 519 120 @
3173 -632 176 @
2364 -3609 144 "Waterfalls"
729 -1944 288 "Waterfalls Path"
1334 -2476 178 @
2031 -2818 171 @
2493 -2942 221 @
-4729 -299 115 "Western Path"
-4071 1009 123 @
-2866 1390 222 @
-1619 916 322 @
