/////////////////////////////////////////////////////////
// Map name       Raw Castle                           //
// Locations by   TOG|Neddie                           //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    14-12-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-755 1247 64 "^1Castle Main Door"
32 2363 240 "^1Command Post"
995 1525 259 "^1Construction MG"
-1281 1518 208 "^1Documents"
528 220 361 "^1Main Wall"
-1359 1610 72 "^1Side Wall"
255 -113 448 "^1Transmitter"
-1368 1519 253 "^1Vault Door"
-1089 -1634 720 "^2Allied Camp"
-649 1888 72 "^2Axis Garrison"
1722 879 208 "^2Tower Spawn"
-1289 -1632 912 "^3Allied Camp"
-924 -1245 703 @
-747 -1020 687 @
-773 -1431 668 @
-807 -1593 834 @
-931 -1593 831 @
-875 -1842 779 @
-1127 -2154 938 @
-2034 -1756 700 @
-1089 -1634 912 "^3Allied Camp House MG"
-766 -1244 678 "^3Allied Camp MG Nest"
-931 -1593 698 "^3Allied Camp Supplies"
-807 -1593 681 @
-649 1888 310 "^3Axis Garrison"
-649 1888 522 @
-762 1532 65 "^3Castle"
-833 1529 288 @
-761 1532 449 @
-755 1247 288 @
-1351 1402 72 @
-1060 1731 64 @
-1597 1585 68 @
-1901 1650 288 @
-1901 1581 73 @
-1970 1581 288 @
-1281 1518 480 @
-1369 1348 256 @
-1645 1573 256 @
-1541 1383 256 @
-1414 1519 480 @
-1970 1186 288 @
-1901 1186 82 @
-1856 990 352 @
-1681 798 352 @
-1429 650 256 @
-1134 653 256 @
-933 642 288 @
-761 770 288 @
-1270 786 64 @
-1101 1253 72 @
-1171 1516 244 @
-1600 809 72 @
-1800 1039 65 @
-762 1532 304 "^3Castle MG Nest"
-649 1888 776 "^3Castle Tower Roof"
5 2204 818 "^3Mountain Climbing"
431 2337 1111 "^3Mountain Spot"
-465 1507 46 "^3Outside Castle (Front)"
-617 1068 64 @
-755 803 72 @
-1342 2046 96 "^3Outside Castle (North)"
-1141 1804 65 @
-1901 1650 77 @
-1604 1646 68 @
-1079 2077 96 @
-1970 1581 79 "^3Outside Castle (Rear)"
-1970 1186 103 @
-1877 964 100 @
-1659 746 69 @
-1987 383 386 @
-1437 653 78 "^3Outside Castle (South)"
-1134 653 74 @
-920 653 70 @
1433 -777 528 "^3Outside Tower"
936 -1007 528 @
465 -1458 570 @
396 -609 560 @
86 -419 597 @
-616 -1026 655 "^3The Mill"
-604 -1238 644 @
-601 -1416 640 @
-530 -1597 670 @
64 -1433 607 @
206 -1055 586 @
-191 -690 647 @
1016 -1326 440 "^3The Pond"
1572 -1469 440 @
288 456 303 "^3The Wood"
664 1073 285 @
1236 1924 236 @
1682 1274 276 @
1127 1327 279 @
638 1425 265 @
-64 1256 161 @
-213 647 200 @
1184 879 628 "^3Tower"
1128 698 640 @
1184 879 896 @
1661 449 320 "^3Tower Courtyard"
1163 558 603 @
800 -41 413 @
398 -155 448 @
527 -480 527 @
1435 -651 528 @
914 -365 520 @
1722 879 640 "^3Tower East Wall"
1474 866 640 @
526 -480 720 "^3Tower Embankment"
1435 -651 720 @
934 -689 720 @
1184 879 208 "^3Tower Ladder"
1184 879 498 @
934 -689 544 "^3Tower Passage"
528 220 640 "^3Tower West Wall"
879 594 640 @
388 108 640 @
1138 2039 240 "^3Tunnel"
98 2559 240 @
-187 2562 240 @
-1343 2165 96 @
70 2789 240 "^3Tunnel Supplies"
