/////////////////////////////////////////////////////////
// Map name       Raw Castle TE                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-754 -1051 695 "Allied Camp"
-737 -1423 662 @
-833 -1798 747 @
-941 -1243 705 @
-1102 -1595 720 @
-1003 -1631 876 @
-766 -1622 848 @
-799 -1243 683 "Allied Camp MG"
-89 2128 264 "Axis Garrison"
-675 1732 296 @
-470 1886 296 @
-737 2017 296 @
-394 2132 296 @
-1189 1668 288 "Castle"
-905 1849 288 @
-851 1699 72 @
-705 1344 288 @
-846 1158 288 @
-1033 1252 64 @
-850 1056 64 @
-947 757 64 @
-1240 741 64 @
-1567 816 73 @
-1867 1171 76 @
-1733 1408 70 @
-1565 1577 68 @
-1375 1424 72 @
-1156 1656 67 @
-1605 1222 256 @
-1544 1616 256 @
-1091 1249 288 @
-1326 1118 256 @
-846 1473 64 @
-927 701 288 @
-1873 1351 75 @
-1147 686 256 "Castle Hut"
-1374 691 256 @
-1414 687 460 "Castle Hut Roof"
-1126 683 460 @
-674 1596 304 "Castle MG"
-695 1464 304 @
-257 801 158 "Castle Main Approach"
-88 1448 183 @
-301 1776 318 @
518 1026 257 @
217 549 281 @
582 820 306 @
590 923 275 @
665 1141 262 @
-812 1254 64 "Castle Main Door"
-1146 1195 480 "Castle Roof"
-1334 1018 480 @
-1538 1203 480 @
-1666 1253 480 @
-1649 1546 480 @
-1344 1530 480 @
-1146 1584 480 @
-1164 1378 480 @
-1509 1375 480 @
-1359 1636 72 "Castle Side Door"
-552 2467 240 "Castle Side Door Hallway"
-1343 2187 96 @
-619 2097 768 "Castle Tower"
-645 1685 768 @
-427 1881 768 @
-837 1878 768 @
1149 2026 240 "Caves"
169 2479 240 @
205 2648 240 @
-130 2699 240 @
-149 2454 240 @
-449 2467 240 @
30 2373 240 "Command Post"
963 1547 270 "Construction MG"
-1344 1209 480 "Documents"
1226 -1559 492 "Frozen Pond"
1857 -1559 478 @
61 2777 240 "Health and Ammo Cabinets"
-759 -1580 675 @
-971 -1594 705 @
-742 1792 72 "Lower Axis Garrison"
-641 2054 72 @
-369 2130 72 @
-99 2066 72 @
-85 1770 72 @
604 162 350 "Main Wall"
847 555 640 @
417 129 640 @
1432 -771 528 "Near The Frozen Pond"
1768 -888 568 @
1169 -820 533 @
920 -939 544 @
-592 -1033 649 "Near The Windmill"
-612 -1240 646 @
-592 -1437 637 @
-622 -1615 685 @
414 -581 560 @
134 -384 620 @
696 -810 552 @
677 -1343 522 @
388 -155 448 "Outer Castle Courtyard"
593 -402 505 @
927 -461 544 @
1437 -583 512 @
1665 559 288 @
823 -35 411 @
920 452 571 @
1225 623 618 @
1182 -514 544 @
936 -714 544 "Outer Castle Entrance"
1740 -654 720 "Outer Castle Walls"
1410 -661 720 @
1148 -656 720 @
732 -635 720 @
537 -492 720 @
292 -251 720 @
931 -691 720 @
-1231 611 66 "Outside The Castle"
-923 603 74 @
-594 1033 66 @
-1535 514 115 @
-1724 749 67 @
-2056 965 187 @
-2022 1348 73 @
-2074 1151 149 @
-1651 1687 69 @
-1331 2041 96 @
-1349 1767 66 @
-1199 1775 66 @
-928 1971 70 @
-1918 2059 199 @
-597 1525 66 @
1685 1190 272 "Side Path"
1261 1916 231 @
1124 1290 296 @
-1979 1705 91 "Side Wall"
-1880 1562 71 @
1120 876 640 "Tower"
1269 832 640 @
646 1022 272 "Tower Corridors"
1382 877 208 @
1141 878 208 @
1683 1046 208 "Tower Spawn"
1664 710 208 @
1489 878 208 @
1364 829 640 "Tower Walls"
1956 881 496 @
1595 866 472 @
253 -110 448 "Transmitter"
-645 1729 520 "Upper Axis Garrison"
-819 1875 520 @
-643 2021 520 @
-527 1897 520 @
-1329 1358 480 "Vault Door"
