/////////////////////////////////////////////////////////
// Map name       Reactor                              //
// Locations by   Ifurita                              //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    20-10-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
64 528 112 "^1Coolant Controls"
1481 631 72 "^1East Security Door"
96 -896 304 "^1Main Gate"
-1109 412 72 "^1West Security Door"
1712 -2744 648 "^2Allied Spawn"
1704 -3128 648 @
88 -312 520 "^2Forward Axis Spawn"
74 -586 320 "^2Forward Flag"
-976 1536 256 "^2Upper Barracks Spawn"
1694 -3130 496 "^3Allied Bunker"
1332 -3131 496 @
921 -3137 496 @
1332 -3131 656 "^3Allied Terrace"
921 -3137 656 @
-528 960 352 "^3Catwalk"
-528 720 352 @
-528 400 352 @
-416 144 352 @
-160 144 352 @
112 144 352 @
384 144 352 @
656 144 352 @
752 384 352 @
752 640 352 @
752 832 352 @
560 976 352 @
320 976 352 @
48 976 352 @
-224 976 352 @
64 528 400 "^3Connector Bridge"
-480 208 112 "^3Coolant Room"
-464 496 112 @
-464 880 112 @
-208 880 112 @
80 896 112 @
448 864 112 @
688 736 112 @
688 416 112 @
560 224 112 @
208 224 112 @
-160 224 112 @
-176 528 112 "^3Coolant Tower 1"
-176 528 400 @
368 528 112 "^3Coolant Tower 2"
368 528 400 @
-1240 -1280 552 "^3Crane Room"
640 -400 256 "^3East Access Ramp"
1104 -400 208 @
1728 240 128 @
96 1392 48 "^3East Barracks Hall"
480 1392 48 @
912 1216 48 @
624 -896 480 "^3East Parapet"
-96 -848 480 "^3Forward Bunker"
304 -848 480 @
74 -586 512 @
1344 640 112 "^3Generator Room"
944 880 112 @
944 384 112 @
680 -2336 328 "^3Large Crane"
-608 -1320 424 "^3Loading Ramp"
-912 -1624 424 @
-288 1536 48 "^3Lower Barracks"
-288 1184 48 @
1728 688 112 "^3North East Fan Room"
-1344 416 112 "^3North West Fan Room"
108 1170 280 "^3Office"
404 1170 280 @
-928 416 112 "^3Pump Room"
-720 352 112 @
-768 768 112 @
296 -2880 328 "^3Rail Line"
296 -2496 328 @
296 -2176 328 @
96 -384 304 "^3Ramp Entrance"
-616 -240 520 "^3Side Tunnel"
-1096 -672 520 @
-1248 -920 520 @
1584 -288 176 "^3South East Fan Room"
-488 -2960 328 "^3South Power Building"
544 -3232 456 "^3South Tunnel"
144 -3232 416 @
-320 -3224 336 @
928 256 384 "^3South Vent"
928 16 384 @
768 -160 384 @
512 -160 384 @
-1280 -400 160 "^3South West Fan Room"
-1288 -2488 424 "^3Truck Bay"
-288 1184 256 "^3Upper Barracks"
-304 1552 256 @
-608 1552 256 @
1240 -1438 368 "^3Warehouse"
1240 -1790 368 @
1096 -1438 576 "^3Warehouse Roof"
1096 -1790 576 @
-1344 -16 160 "^3West Access Ramp"
-768 -400 192 @
-416 -400 256 @
-560 1328 48 "^3West Barracks Hall"
-768 1104 48 @
-432 -896 480 "^3West Parapet"
688 -1248 304 "^3Yard"
688 -1760 304 @
1200 -2272 560 @
240 -1696 304 @
-80 -1504 304 @
-272 -1952 304 @
-912 -2016 304 @
-528 -2400 304 @
1157 -2692 463 @
867 -2723 384 @
-94 -2895 342 @
-176 -2324 256 @
-494 -2595 302 @
