/////////////////////////////////////////////////////////
// Map name       River War v2.0                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2222 -1192 455 "Allied Spawn Area"
2497 -1188 443 @
2793 -1179 452 @
2962 -1327 450 @
2996 -1631 448 @
2950 -956 456 @
3386 -1109 508 @
2525 -709 464 @
3368 -191 513 "Allied Spawn Forest"
2981 -317 457 @
2727 -514 445 @
2983 -698 473 @
3401 -890 513 @
2255 -1588 448 "Allied Spawn MG42"
2398 -1567 448 "Allied Spawn Storage"
2594 -1562 448 @
2858 -1634 448 @
2871 -1365 448 @
2622 -1353 448 @
2407 -1356 448 @
2201 -1400 448 @
-3842 -262 672 "Axis Bunk House"
-3595 -271 712 @
-3610 -110 672 @
-3594 230 672 @
-3865 241 672 @
-3622 195 843 "Axis Bunk House Roof"
-3627 -228 847 @
-3903 214 794 @
-3894 -251 794 @
482 -1054 429 "Command Post"
497 -902 429 "Command Post Bunker"
277 -1141 429 @
471 -1208 429 @
686 -1141 429 @
471 -1522 432 @
-201 -588 428 @
-3605 1414 848 "Health and Ammo Cabinets"
2450 -1642 448 @
-3694 1481 680 "Heavy Water Control Lobby"
-3370 1480 680 @
-3144 1487 680 @
-3026 1916 680 @
-3655 1894 680 @
-3415 1668 680 @
-3798 1726 680 @
-3918 1554 680 @
-3384 1107 629 "Heavy Water Control Panel"
-3665 1359 680 "Heavy Water Control Room"
-3350 1360 680 @
-3143 1362 680 @
-3168 975 629 @
-3394 985 629 @
-3685 951 629 @
-3020 1372 848 "Heavy Water Tanks"
-3448 1392 848 @
-3032 1805 848 @
-3164 1894 848 @
-3545 1609 848 @
-3659 1824 848 @
-3645 1350 1014 @
-3674 1541 1014 @
-2759 967 1023 "Lab Hills"
-2905 1261 753 @
-2890 1810 899 @
-996 1797 1284 @
-1986 1712 1061 @
-2240 936 957 @
-2316 497 911 @
-1476 531 899 @
-2431 -914 620 "Lab Main Gate"
-2398 -1292 815 "Lab Main Gate MG42"
-2510 -1123 815 @
-2397 -726 815 "Lab Main Gate Platform"
-2546 -574 815 @
-2349 -542 815 @
-2585 -1337 619 "Lab Main Gate Supplies"
-2465 -1417 811 "Lab Main Wall"
-2468 -1647 811 @
-2468 -1933 811 @
-2446 -411 808 @
-2446 -153 808 @
-2968 1934 1174 "Lab Roof"
-2960 894 1175 @
-3848 892 1174 @
-2901 1004 1124 @
-3001 778 779 "Lab Roof Ladder"
-3001 778 1029 @
-3075 1247 848 "Lab Storage Room"
-3014 1098 930 @
-3005 964 848 @
-3232 1007 974 @
-3391 1247 848 @
-3664 1238 1014 @
-3673 933 1014 @
-3814 1441 848 @
-3767 1257 848 @
-3595 1221 848 @
-3333 950 848 @
-3355 825 815 "Lab Storage Room Ramp"
-3354 723 755 @
-2717 -956 624 "Lab Yard"
-2855 -1042 632 @
-3211 -1065 661 @
-3198 -830 668 @
-3214 -541 661 @
-3384 -350 639 @
-3595 -373 649 @
-3891 -377 776 @
-2990 -1046 646 @
-3520 -251 636 @
-3519 -119 656 @
-3519 207 644 @
-3610 313 676 @
-3891 348 809 @
-3546 839 814 @
-3500 654 737 @
-3273 588 691 @
-3153 775 729 @
-3039 706 709 @
-2712 482 676 @
-2572 46 676 @
-2531 -238 603 @
-2521 -506 601 @
-2826 -262 623 @
-3096 -261 629 @
-3925 -504 619 "Large Water Tanks"
-3515 -491 619 @
-3309 -515 637 @
-3304 -875 619 @
-3308 -1103 619 @
-3211 -1168 619 @
-2791 -1168 619 @
-2835 -1384 619 @
-2637 -1576 619 @
-2527 -1934 619 @
-3684 -1765 619 @
-3812 -1878 619 @
-3891 -1748 619 @
-3767 -1671 619 @
-3690 -480 619 @
-3003 -1172 619 @
1950 1658 436 "North Forest"
2328 1435 446 @
2643 1304 465 @
3003 1412 508 @
3435 1378 591 @
2304 1209 448 @
1966 1282 442 @
1027 1219 733 "North Hill"
663 1214 880 @
270 1232 798 @
1409 1556 462 "North Hill Path"
732 1670 515 @
109 1591 675 @
-470 1331 704 @
-1009 1183 667 @
-1557 1049 576 @
3371 902 408 "North River Bank"
3099 1015 408 @
2760 1009 426 @
2384 951 443 @
1972 955 411 @
1576 843 410 @
1192 579 424 @
734 289 400 @
399 447 440 @
37 592 432 @
-289 731 478 @
-726 801 484 @
-2401 -1817 582 "Outside Lab Main Gate"
-2398 -1544 593 @
-2368 -1321 597 @
-2350 -607 594 @
-2354 -228 616 @
-2057 -241 586 @
-2022 -515 586 @
-2025 -781 586 @
-2027 -992 586 @
-2047 -1221 539 @
-650 538 295 "River"
-253 447 297 @
216 200 308 @
796 41 306 @
1130 267 320 @
1534 417 336 @
1930 618 299 @
2380 674 295 @
2805 739 292 @
3221 710 307 @
2585 344 298 @
1853 162 300 @
1279 -71 336 @
-167 -63 330 @
-450 147 279 @
-1114 -93 427 "South Forest"
-917 -335 418 @
-397 -691 485 @
-741 -449 437 @
-624 -943 474 @
-1008 -919 420 @
-1374 -927 424 @
-1628 -907 416 @
-1910 -917 417 @
-1904 -671 425 @
-1927 -437 416 @
-1774 -267 429 @
-2137 -44 433 @
-1876 -60 438 @
-1488 52 422 @
-1471 254 649 "South Forest Hills"
-1753 261 659 @
-2145 249 582 @
-2155 -277 470 "South Forest Vent"
-2367 -274 470 @
-1939 -269 429 "South Forest Vent Gate"
-1926 -1011 586 "South Forest Wall"
-1612 -1011 586 @
-1325 -1011 586 @
-1016 -1011 586 @
-761 -1011 586 @
-524 -1011 586 @
-662 -1011 586 @
-276 -1144 687 "South Hill"
219 -1137 902 @
729 -909 829 @
729 -1361 762 @
1359 -1142 684 @
1455 -710 773 @
2115 -769 787 @
470 -1661 407 "South Hill Path"
-179 -1633 402 @
-653 -1600 480 @
956 -1654 417 @
1607 -1593 435 @
1980 -1553 429 @
3436 239 539 "South River Bank"
2931 107 444 @
2455 11 392 @
2034 -160 402 @
1653 -214 378 @
1338 -364 436 @
859 -438 444 @
415 -492 475 @
29 -478 443 @
-255 -325 385 @
-571 -247 382 @
-968 11 393 @
-1710 -1447 614 "Tank"
-1813 -1245 496 @
-736 -1312 497 "Tank Barriers"
-834 -1633 478 @
-1307 -1683 476 @
-1277 -1209 492 @
-1001 -1115 501 @
-623 -1114 529 @
-2913 1039 1015 "Ventilation Access"
-3000 1039 1008 @
-1781 1029 570 "Ventilation Hatch"
-2912 1039 592 "Ventilation Ladder"
-2912 1039 890 @
-2072 1030 592 "Ventilation Tunnel"
-2787 1037 592 @
-1924 1031 696 "Ventilation Tunnel Roof"
-2084 902 796 @
-3770 -1779 380 "Water Tanks Tunnel"
-3751 -1235 380 @
-3766 -560 380 @
-2670 -256 380 @
-3249 -255 380 @
-3572 -134 380 @
-3753 281 380 @
-3760 695 380 @
-3745 1173 380 @
-3759 1677 380 @
-3780 2073 380 @
-3801 2057 800 @
-2449 -253 470 @
-3797 1876 848 "Water Tanks Tunnel Room"
-3928 1560 848 @
