/////////////////////////////////////////////////////////
// Map name       Resurrection                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1329 984 -334 "Abyss"
1324 358 -335 @
-5904 1374 -26 "Allied Cave"
-1274 -146 538 "Allied Command Post"
268 240 1548 "Attic"
147 -159 1546 @
2243 327 840 "Axis Command Post"
2302 2535 954 "Axis Hellspawn"
1781 2532 954 @
2298 2384 946 "Axis Spawn Hallway"
2165 2002 946 @
2459 1420 950 @
2162 802 946 @
2452 805 946 @
2468 1641 946 @
2594 468 946 "Back Terrace"
2846 -43 946 @
2606 -43 946 @
2903 495 954 @
2902 1347 954 @
2821 1936 946 @
2627 2399 946 @
2614 1762 946 @
2568 801 946 "Back Terrace Corridor"
2573 1412 946 @
2608 1633 946 @
2608 -191 922 "Back Terrace Stairs"
2823 -189 670 @
2735 -604 778 @
2684 -736 589 "Backyard"
2394 -1135 490 @
3079 -197 617 @
3015 -25 632 @
3026 509 702 @
3007 1305 540 @
3003 1942 607 @
3298 1866 536 @
3634 2107 755 @
3597 267 604 @
3096 -1424 323 @
2816 -1129 364 @
3423 -673 438 @
1811 1317 106 "Basement"
2201 1133 114 @
1950 133 114 @
1562 937 106 @
-96 -167 118 @
145 83 114 @
-340 -34 122 @
1002 981 106 @
811 162 106 @
1267 -275 125 @
-355 1520 -23 @
365 2008 -85 @
988 -1071 106 @
1629 411 106 @
821 578 106 @
1573 -466 106 @
1963 -275 106 @
985 175 110 "Basement Bridge"
1456 403 118 @
2170 1289 546 "Basement Stairwell"
2320 1292 114 @
2678 1483 334 @
1819 1443 106 @
2322 1480 194 @
437 124 970 "Bathroom"
286 233 1290 "Bathroom Ladder"
-4354 -674 368 "Boathouse"
-4351 -1350 368 @
-4008 -1318 368 @
-3994 -694 368 @
6976 50 -282 "Book of Resurrection"
2273 -162 530 "Bookshelf Access"
2451 -180 530 @
2412 296 834 @
3295 2172 562 "Catacomb Access"
3765 1286 -333 "Catacomb Door"
3380 2230 -49 "Catacomb Ladder"
3382 2230 430 @
2613 1285 -333 "Catacomb Stairwell"
2677 1409 -61 @
2458 1280 82 @
3966 1233 -333 "Catacombs"
3829 1595 -333 @
5419 1299 -285 @
2805 1303 -333 @
3430 1297 -333 @
3257 2155 -285 @
-622 -534 -33 "Caves Entrance"
-1414 -713 2 @
-1356 240 -21 @
-1086 -1008 133 @
5005 817 157 "Cemetary"
4536 276 152 @
4534 -353 170 @
4946 -859 153 @
4473 -1385 259 @
4498 1624 315 @
4370 13 168 @
22 1134 498 "Courtyard"
-288 1424 546 @
-1223 265 -21 @
-1366 439 -21 @
-989 -316 25 @
-385 1360 -46 @
-1459 1688 498 @
-1340 1326 498 @
-1454 851 498 @
-1590 220 506 @
-443 117 533 @
-289 157 40 @
-15 565 498 @
-790 968 498 @
-196 292 514 @
-8 371 498 "Courtyard Corridors"
5 -6 498 @
4 -352 498 @
-1589 93 506 @
-1591 -367 506 @
-1435 -117 538 @
-180 2206 938 "Courtyard Overlook"
-238 1082 922 @
-385 127 924 @
-277 537 922 @
8 204 922 @
-252 112 962 @
-370 1120 922 @
-318 821 922 "Courtyard Overlook MG42"
4996 -1 186 "Crypt"
6233 471 -333 @
5800 8 -309 @
6211 -395 -323 @
6598 42 -322 @
6949 -354 -309 @
6960 487 -321 @
5758 1283 -295 @
5158 600 42 @
5150 -590 42 @
5614 892 -229 @
4639 -20 140 "Crypt Gate"
1914 420 538 "Dining Room"
2078 -632 514 @
1603 -626 514 @
300 -12 514 @
1257 80 522 @
2088 -139 514 @
288 -296 514 @
-2112 -1487 266 "Dock"
-1723 -1461 266 @
-1312 -1458 356 @
-2149 -851 266 @
-5835 -236 179 "Escape Cave"
-6253 -259 190 @
315 2216 546 "Forward Spawn"
144 1663 546 @
-288 1544 546 @
339 1133 554 "Foyer"
132 1131 498 @
-1593 -517 506 "Garden"
-600 -484 955 @
4 -502 498 @
709 -846 610 @
-1624 -1070 506 @
374 -509 930 @
5550 -22 -669 "Going to Die..."
3270 -39 -631 @
2222 -262 -655 @
2075 -279 -651 @
2075 -279 369 @
1269 -279 358 @
1954 -275 350 @
1638 -283 363 @
2063 -278 99 @
1474 943 546 "Health and Ammo Cabinets"
1484 1865 546 @
125 -186 114 @
-5648 -194 185 "Lake"
-4835 -68 181 @
-4524 -704 206 @
-4534 -1335 183 @
-5215 -1531 165 @
-5609 -842 189 @
459 2208 546 "Lobby"
1364 1873 546 @
1495 2084 546 @
1790 1891 546 @
2029 1294 546 @
1909 565 546 @
1376 946 546 @
1494 748 546 @
461 1128 546 @
1489 1137 810 @
1501 1648 802 @
1776 2395 946 @
681 544 946 @
1845 554 946 @
2027 806 946 @
2019 2004 946 @
-16 2205 946 @
-2129 983 498 "Main Entrance"
-1516 1330 498 @
-1580 1688 498 @
-2178 582 506 "Main Gate"
-2424 421 477 "Main Gate Power"
-2503 1921 1210 "Mansion Roofs"
-1594 1310 1210 @
-2146 929 1600 @
-1719 736 1210 @
-2585 666 1210 @
24 -161 1538 @
149 -533 1538 @
-657 -180 1503 @
-597 -417 1318 @
-265 139 1198 @
-296 519 1222 @
-296 818 1222 @
-208 1919 1585 @
-295 1120 1222 @
-1733 -1074 1106 "Mansion Walls"
-1969 -599 1106 @
-1725 -101 1106 @
-1828 -648 714 @
-1874 58 714 @
-1861 -354 714 @
