/////////////////////////////////////////////////////////
// Map name       Return 2 Goldrush                    //
// Locations by   Rain                                 //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    12-06-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3874 2157 -285 "Allied Spawn"
3692 2555 -285 @
2483 -2254 -315 "Axis Documents"
-128 -180 288 "Balcony"
287 -176 288 @
798 -180 224 @
1105 -178 224 @
1109 108 224 @
-136 71 204 "Balcony Stairs"
1898 -2269 -311 "Bank"
2313 -2242 -311 @
2490 -2046 -311 @
2478 -2440 -311 @
2652 -2218 -311 @
2951 -1258 -395 "Bank Alleyway"
2494 -1528 -355 @
3028 -2140 -399 @
1979 -2786 -351 @
1596 -1823 -287 "Bank Courtyard"
2277 -1538 -351 @
2161 -433 -351 @
1732 -179 -348 @
1283 -578 -327 @
1061 -1102 -351 @
962 -1748 -340 @
844 -1362 -255 @
702 -1703 192 "Bank Courtyard Overlook"
1600 -2015 -287 "Bank Lobby"
1534 -2388 -311 @
1774 -2270 -311 @
1222 -2114 -311 @
1520 -2528 -351 "Behind Bank"
1809 -2788 -351 @
1082 -2111 -335 @
1758 -2585 -351 @
1823 61 -31 "Bridge"
1113 133 1 @
1224 -4 -2 @
1563 -17 -28 @
1405 638 -31 "Bridge North Stairs"
1104 784 -143 @
1367 771 -235 @
1553 -173 -183 "Bridge South Stairs"
1274 -174 -28 @
1130 1961 254 "Cart"
499 258 64 "Command Post"
788 811 115 "Depot Road"
850 1965 256 @
887 1509 244 @
2757 -643 -395 "Health and Ammo Cabinets"
1118 -169 8 "Lower Colonnade"
801 -180 8 @
294 -181 73 @
-141 -182 68 @
1394 462 -31 "Lower Ladder Room"
1115 294 -15 @
3330 2541 -281 "Lower North Courtyard"
3863 2033 -299 @
2899 1898 -357 @
3323 1959 -339 @
3020 2660 -351 @
2693 2273 -351 @
1857 2668 -33 "North Courtyard"
2359 2687 -187 "North Courtyard Stairs"
1763 2985 114 @
1102 -351 232 "Offices"
1115 -336 8 @
873 -828 124 @
675 -819 8 @
848 -1085 232 @
795 -1193 8 @
853 -1225 208 "Offices Balcony"
556 -818 8 "Offices Spawn"
2073 1101 -351 "Pavilion"
2361 606 -327 @
1828 280 -351 @
1638 744 -351 @
1919 1433 -159 "Pavilion Stairs"
2895 1612 -364 "South Door"
2889 1382 -362 "South Door Road"
2593 1086 -351 @
2913 519 -241 @
2388 60 -113 @
899 -1089 -343 "Storage"
822 -1235 -343 @
473 -858 -215 @
2448 -632 -395 "Supplies Courtyard"
2765 -787 -395 @
2967 -1095 -395 @
818 -8 4 "Tower Courtyard"
310 -10 73 @
173 264 91 @
437 506 78 @
802 535 57 @
924 281 14 @
654 262 26 @
17 94 98 @
-134 288 128 @
-715 174 264 "Transmitter"
-271 -179 292 @
-353 451 192 "Transmitter Alley"
-715 291 256 @
3039 2283 -327 "Truck"
1823 61 -351 "Under The Bridge"
1124 288 224 "Upper Ladder Room"
1371 444 227 @
1349 2989 256 "Upper North Courtyard"
1160 2553 265 @
1806 1434 -151 "West Bunker"
1095 1384 -143 @
1106 908 -143 @
1349 945 -143 @
1105 1452 264 "West Bunker Access"
1094 1403 71 "West Bunker Ladder"
