/////////////////////////////////////////////////////////
// Map name       Rovaniemi Farm (B2)                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
9512 -7226 -1080 "Allied Farm Spawn"
9955 -7248 -1080 @
9948 -6997 -1080 @
9531 -7003 -1080 @
16324 -9869 -1287 "Axis Alley"
15528 -10020 -1286 @
14656 -9912 -688 "Axis Control Building"
15235 -10113 -1199 @
14555 -10181 -1199 @
14841 -9642 -1199 @
15127 -9621 -1199 @
14529 -10119 -999 @
14262 -10120 -999 @
14256 -9654 -999 @
4033 -7967 -1156 "Axis Farm Spawn"
3609 -7969 -1156 @
3609 -8210 -1115 @
4048 -8216 -1103 @
3414 -8077 -981 @
5680 -9713 -1347 "Axis MG"
14271 -9171 -1319 "Axis Yard"
14909 -9191 -1325 @
15601 -9444 -1355 @
13216 -7200 -488 "Bank"
12764 -7498 -1169 @
12814 -7460 -1017 @
13544 -6966 -1017 @
13543 -7465 -1017 @
13769 -6900 -1199 @
12817 -6886 -1017 @
12619 -7411 -1201 "Bank Yard"
12618 -6685 -1187 @
13876 -6697 -1215 @
12612 -7025 -1199 @
10274 -7901 -1143 "Bridge"
10863 -7900 -1143 @
11652 -7899 -1143 @
12372 -7902 -1146 "Bridge Gate"
12652 -7677 -1185 @
12485 -8365 -1158 @
14284 -8312 -999 "Command Post"
14546 -8219 -999 "Command Post Building"
14813 -8572 -1199 @
14528 -8080 -744 @
14261 -7952 -1199 @
14272 -7710 -1199 @
14774 -7706 -1199 @
14798 -8273 -1199 @
14239 -8004 -999 "Command Post Supplies"
16352 -6912 -688 "Explosives Hangar"
16230 -6601 -1179 @
16750 -6794 -1171 @
15969 -7239 -1275 @
16522 -6807 -1179 @
15958 -6954 -1179 @
7720 -7232 -808 "Farm Hill"
8314 -9232 -1135 "Farm Supply Cabinets"
5592 -7000 -968 "Farm Toilet"
5574 -7122 -1191 @
16662 -6356 -1229 "Hangar Backyard"
15661 -6721 -1249 @
16239 -6262 -1262 @
15946 -6516 -1239 @
16606 -6587 -1225 @
11176 -9400 -1088 "River"
10756 -7626 -1468 @
11188 -6732 -1327 @
10560 -8410 -1314 @
11598 -8511 -1318 @
12317 -8945 -1321 @
12369 -9904 -1341 @
12152 -11075 -1438 @
10599 -11021 -1317 @
10641 -9342 -1434 @
12831 -10452 -1164 "River Alley"
13862 -10097 -1200 @
12687 -9306 -1238 @
12815 -8721 -1187 @
13748 -9415 -1290 @
16024 -8112 -688 "Statue"
16122 -8123 -1271 @
4067 -8332 -1198 "The Farm"
4219 -8212 -1194 @
4172 -7934 -1138 @
4043 -7850 -1140 @
3445 -7836 -1276 @
3777 -7854 -1203 @
3264 -8097 -1327 @
3472 -8379 -1295 @
5577 -7306 -1216 @
5734 -7135 -1230 @
5584 -6861 -1265 @
7096 -7993 -1295 @
8535 -9237 -1135 @
8372 -9500 -1135 @
8158 -9304 -1245 @
8306 -9018 -1225 @
8302 -7908 -1239 @
5441 -9742 -1331 @
5714 -9396 -1323 @
5999 -9676 -1345 @
5764 -9938 -1029 @
6145 -9941 -1354 @
6505 -9678 -1367 @
6933 -9966 -1367 @
6494 -10240 -1339 @
9249 -7359 -1135 @
10048 -7359 -1210 @
10090 -6866 -1160 @
9548 -6773 -1056 @
9236 -6893 -1082 @
10133 -7896 -1137 @
9937 -10875 -1107 @
10046 -9563 -1131 @
9978 -8556 -1191 @
17556 -9755 -1332 "Town Exit"
13096 -7942 -1250 "Town Road"
13949 -7540 -1336 @
14839 -7271 -1338 @
15287 -8140 -1323 @
16051 -8704 -1323 @
16748 -8599 -1323 @
15637 -7574 -1323 @
16269 -7565 -1323 @
17228 -7248 -1242 @
17037 -9615 -1332 @
15199 -8725 -1323 @
15119 -7651 -1323 @
13879 -8378 -1346 @
13857 -7781 -1329 @
6671 -9955 -1367 "Truck Shed"
6347 -9936 -1367 @
6533 -9866 -1367 @
6493 -10031 -1367 @
