/////////////////////////////////////////////////////////
// Map name       Rhineland Bridge                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2034 5613 808 "Allies MG Tower"
-1132 652 816 "Allies River MG"
-1181 825 794 "Allies River MG Ramp"
-1112 1000 720 @
-855 1150 612 @
153 6191 835 "Allies Spawn"
156 6402 834 @
28 6403 837 "Allies Trenches"
50 6159 829 @
-525 5862 573 @
-1027 5864 490 @
-820 6075 576 @
-1385 5382 520 @
-1008 4617 576 @
-622 4637 576 @
734 5646 591 @
496 3665 769 @
201 3568 678 @
-366 3654 578 @
-636 3655 578 @
-633 3900 578 @
-370 3897 578 @
-1003 3971 588 @
-791 3751 578 @
-1224 3672 578 @
-2016 3608 707 @
-2192 4428 612 @
-2037 5627 573 @
-2009 6447 708 @
-765 5927 360 @
-939 5131 840 "Ammo Cabinet"
905 -940 584 @
1717 -558 384 "Axis Pier"
1870 -559 384 @
1729 -888 592 @
1231 -1223 968 "Axis River Bunker"
893 -842 840 @
903 -1198 840 @
1017 -893 584 @
873 -1051 632 @
776 -814 840 @
1230 -1222 712 @
1027 -1215 584 @
1090 -817 1088 "Axis River Bunker Roof"
877 -992 1088 @
890 -1228 1088 @
1110 -1219 1088 @
906 -1325 840 "Axis River Bunker Stairs"
1321 -1312 696 @
1192 -1339 696 @
-1132 -941 920 "Axis River Cannon"
-847 -981 920 @
-832 -1145 872 "Axis River Cannon Stairs"
-588 -1386 648 @
-821 -1274 808 @
900 -849 1088 "Axis River MG"
-945 -2200 784 "Axis Spawn"
-1266 -1888 784 @
-868 -1847 784 @
-899 -1858 632 @
-1465 -1832 632 @
492 -1967 576 "Bunker Door"
242 -1962 576 "Bunker Door Hallway"
-817 -2212 784 @
-2236 4194 640 "Cave Stone"
-2246 4021 640 "Caves"
-2073 3649 711 @
-2583 3064 640 @
-1750 2677 642 @
-1222 2700 640 @
-983 2468 640 @
-967 1877 640 @
1193 2393 576 "Command Post"
705 -1715 578 "Door Bars"
470 -1753 578 @
302 3395 864 "Flak Cannon"
534 3418 864 @
452 3074 832 @
456 2932 832 "Flak Cannon Corridor"
886 2607 832 @
1601 2242 832 @
1750 1605 840 "Forward Bunker Barracks"
315 2108 568 "Forward Bunker Corridor"
957 2127 568 @
1583 2098 840 @
1615 1965 840 @
957 2223 576 "Forward Bunker Generator"
1028 2375 576 @
1572 382 400 "Forward Bunker Pier"
1552 678 496 @
1601 1845 840 "Forward Bunker Radio"
1648 1595 840 @
1753 1845 1024 "Forward Bunker Roof"
1785 1629 1024 @
1485 1583 1024 @
1664 1634 1024 @
1467 1845 1024 @
1741 1795 840 "Forward Bunker Toilet"
-494 2761 588 "Forward Flag"
-480 2588 584 "Forward Flag Corridor"
-1076 2668 584 @
-949 5246 840 "Health Cabinet"
903 -850 584 @
-770 5866 574 "Ladder"
-813 5697 836 @
-1741 2682 409 "Now You Die!"
1495 1470 578 "Outside Forward Bunker"
1563 920 578 @
1218 714 783 @
955 1225 899 @
723 1624 578 @
1774 630 432 @
-555 3830 848 "Railroad MG Tower"
-435 3855 848 @
-501 3758 578 @
-1012 3715 588 "Railroad Tunnel"
-619 2770 588 @
-338 2743 588 @
110 2118 588 @
36 1335 588 @
-993 3123 594 @
23 1658 588 @
-157 162 576 "Rhine Bridge"
-148 750 578 @
177 824 576 @
198 186 576 @
-130 -983 576 @
210 -1010 578 @
198 -323 575 @
-154 -370 576 @
-158 485 576 @
210 476 576 @
199 -60 576 @
-158 -80 576 @
-157 -644 576 @
206 -671 576 @
-198 -751 332 "River"
172 -759 328 @
811 -541 340 @
1867 -444 343 @
1650 -437 355 @
1697 464 323 @
1557 248 325 @
1411 412 329 @
209 575 333 @
-216 550 333 @
-195 170 317 @
216 182 325 @
229 -221 335 @
-142 -245 322 @
-1381 -588 336 @
-1835 -579 330 @
-1546 -617 363 @
-1536 366 318 @
-897 469 338 @
-1449 568 768 "River Light"
-1606 718 768 @
-1515 929 578 "River North Side"
-1229 997 592 @
-688 1228 578 @
-978 1234 578 @
-964 1727 596 @
-168 1688 801 @
-208 1337 589 @
38 1132 582 @
293 1345 588 @
262 1758 797 @
530 1484 593 @
283 973 578 @
-140 1013 578 @
-342 835 590 @
-1884 848 781 @
-1384 1884 849 @
-1832 -703 432 "River South Side"
-1433 -701 432 @
-1447 -1729 640 @
-908 -1728 640 @
-1235 -1243 596 @
-845 -1294 655 @
-594 -1546 578 @
-464 -1390 578 @
-312 -1053 585 @
-95 -1176 578 @
221 -1166 578 @
351 -998 573 @
205 -1725 578 @
462 -1519 578 @
694 -1558 578 @
885 -1740 578 @
1718 -1017 592 @
1347 -1122 604 @
1300 -1335 578 @
1112 -1336 585 @
775 -977 819 @
774 -1253 761 @
-1610 -805 408 @
-1535 672 544 "Stairs"
-1528 491 416 @
-813 5583 840 "Supplies Bunker"
-833 5310 840 @
-823 5093 840 @
-816 4794 840 @
-1004 4775 840 @
31 1394 833 "Top of Railroad Tunnel"
12 1763 832 @
