/////////////////////////////////////////////////////////
// Map name       La Rochelle                          //
// Locations by   Ifurita                              //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    14-11-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
768 -64 -104 "^1Command Post"
-2480 -552 176 "^1Crane Controls"
-1208 -1688 152 "^1Side Door"
1864 -760 152 "^1South Doors"
1688 2184 -24 "^1U-245"
1688 1416 -24 @
1688 648 -24 @
1688 -120 -24 @
2712 1416 -24 "^1U-952"
2712 648 -24 @
2712 -120 -24 @
2712 2184 -24 @
-1176 824 152 "^3Building 1"
-1176 1272 152 @
-402 1241 144 @
-553 911 144 @
-1252 751 368 @
-1208 -1416 152 "^3Building 3"
-1224 -856 152 @
-1144 56 232 "^3Crate Tunnel"
-680 136 232 @
-152 232 232 @
3880 664 152 "^3East Barracks"
3672 1320 24 "^3East Stairwell"
3128 1304 136 "^3East Tower"
3128 1304 -120 @
-2097 -901 232 "^3Flak Car"
-216 408 -120 "^3Garage"
-23 397 -111 @
-392 936 -120 "^3Garage Stairs"
-3169 -933 232 "^3Goliath Crane"
1112 -1848 152 "^3Loading Dock"
376 -1864 152 @
-408 -2232 152 @
1096 -1720 257 @
-720 -1801 144 @
-1184 -2017 96 @
1864 -760 -120 "^3Lower South Hall"
1144 -856 -120 @
-2106 644 125 "^3Percy"
1240 712 -24 "^3Sub Pen"
1240 -184 -24 @
1688 -504 -24 @
2264 -504 -24 @
3032 -504 -24 @
3160 136 -24 @
3096 776 -24 @
3096 1800 -24 @
3096 2376 -24 @
1240 2440 -24 @
1240 1992 -24 @
2200 2312 -24 @
2200 1672 -24 @
2200 1160 -24 @
2200 456 -24 @
2656 -509 -111 @
2177 -96 -111 @
1202 1034 -111 @
1688 1384 136 "^3Sub Pen Bridge"
2184 1368 136 @
2648 1368 136 @
2879 1393 144 @
775 2029 144 "^3Sub Pen Corridor"
954 274 -111 "^3Supply Cabinets"
-2845 291 124 "^3Thomas"
-1528 -2248 200 "^3Trainyard"
-1568 -1496 200 @
-2496 -1224 200 @
-2464 48 200 @
-1936 -336 200 @
-1712 -816 200 @
-1496 64 200 @
-1560 920 200 @
-1304 1672 200 @
-2904 -496 200 @
-2976 440 200 @
-3000 -1368 200 @
-2484 695 144 @
-3497 761 144 @
-2998 1117 92 @
-3067 756 104 @
-2097 1283 104 @
-1945 155 96 @
-1781 544 104 @
-2758 -1032 104 @
-3525 -881 144 @
-1485 -1773 144 @
-2198 -436 104 @
-2263 -756 144 @
-1449 756 400 "^3Trainyard Bridge"
-1839 746 400 @
-2118 745 400 @
-2499 747 400 @
-3049 752 400 @
-2485 94 400 @
-2480 -711 400 @
-2474 -323 400 @
1912 -1176 152 "^3Upper South Hall"
1528 -1320 152 @
1096 -1448 152 @
216 1944 152 "^3West Barracks"
471 2037 144 @
-808 -1016 152 "^3West Hall"
658 1865 144 "^3West Stairwell"
648 1560 24 @
1208 1448 136 "^3West Tower"
1208 1448 -120 @
568 360 -120 "^3Workshop 2"
568 1240 -120 @
940 94 -111 @
616 74 -111 @
768 279 -111 @
956 502 -111 @
940 1264 -111 @
159 402 -111 @
584 -744 -120 "^3Workshop 4"
-296 -744 -120 @
229 -317 144 @
