/////////////////////////////////////////////////////////
// Map name       Rock Eyes (beta2)                    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    06-08-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
774 2661 480 "^1Command Post"
-1977 1215 456 "^1Emergency Control"
1263 -54 80 "^1Forward Bunker Gate"
-4477 3785 1000 "^1North Radar"
-2227 3238 521 "^1Side Wall"
-4485 -462 1000 "^1South Radar"
-697 798 768 "^3Bridge"
-97 471 960 "^3Bridge Overlook"
-343 550 950 @
973 2667 480 "^3Command Post Hut"
963 2982 480 @
771 2968 480 @
575 2822 480 @
1604 1727 546 "^3Command Post Path"
2003 667 290 @
-2965 -2927 640 "^3Far Depot"
-1931 -2951 525 "^3Far Depot Path"
-1236 -2856 395 @
-52 -2550 77 @
-1836 -1931 523 "^3Far Depot Tunnel"
-995 -1635 358 @
-337 -1665 64 @
742 -285 256 "^3Forward Bunker"
513 -578 256 @
748 -667 72 @
738 -320 72 @
1251 -395 80 @
1954 -514 72 @
1269 -863 80 @
2263 -375 640 @
465 -576 448 "^3Forward Bunker Barracks"
863 -738 448 @
1226 -732 400 @
1670 -727 352 @
2103 -512 352 @
1960 -311 512 @
473 -309 528 @
94 -1312 64 "^3Forward Bunker Garage"
302 -1100 64 @
2241 -509 352 "^3Forward Bunker Lifts"
2189 -517 104 @
577 -281 256 "^3Forward Bunker Lower Door"
454 -573 64 "^3Forward Bunker Office"
637 -664 64 @
629 -322 64 @
1661 -851 352 "^3Forward Bunker Overlook"
879 -854 432 @
1225 -844 352 @
1930 -403 640 "^3Forward Bunker Roof"
2263 -375 816 @
81 -304 816 @
446 -427 640 @
1688 -891 640 @
333 -576 448 "^3Forward Bunker Stairwell"
333 -576 256 @
333 -576 64 @
-75 -1310 64 "^3Forward Bunker Storage"
-324 -1450 64 @
79 -295 640 "^3Forward Bunker Upper Door"
-3477 1665 480 "^3Health and Ammo Cabinets"
-1977 1215 784 "^3Main Base"
-2750 525 456 @
-2205 1224 456 @
-2205 1224 672 @
-2232 566 456 @
-1457 1664 464 @
-1728 1218 456 @
-1989 1508 457 @
-1530 1291 768 @
-1532 2025 768 @
-2669 973 456 @
-2669 2354 456 @
-2238 2884 456 @
-2130 2914 672 @
-2022 2135 800 @
-2239 1653 736 @
-3410 2155 514 @
-3444 1176 518 @
-3249 1672 496 @
-2750 525 672 "^3Main Base Barracks"
-2232 566 672 @
-1198 1664 464 "^3Main Base Bridge"
-1172 1886 444 "^3Main Base Foot Bridge"
-1457 1664 896 "^3Main Base MG42"
-2685 2365 749 "^3Main Base North AA-Gun"
-2130 2914 936 "^3Main Base North Tower"
-518 2270 505 "^3Main Base Path"
162 2274 691 @
136 1776 332 "^3Main Base Road"
-517 1673 448 @
-720 1672 464 @
1109 1287 240 @
-2959 298 928 "^3Main Base Roof"
-2631 262 928 @
-2157 755 928 @
-1977 1225 918 @
-2286 954 928 @
-2640 601 992 @
-2127 2669 928 @
-2601 2902 928 @
-2022 2135 960 @
-2239 1653 928 @
-3007 3013 928 @
-2688 956 751 "^3Main Base South AA-Gun"
-2150 295 936 "^3Main Base South Tower"
-2827 3012 456 "^3Main Base Warehouse"
-2525 2869 456 @
-2622 31 361 "^3Moat"
-2619 -115 356 @
-2619 3645 378 @
-2196 3607 365 @
-1828 3505 362 @
-1831 3087 374 @
-1316 2263 378 @
-3648 -700 368 @
-1980 43 370 @
-1625 1018 358 @
-1881 646 360 @
-1198 1664 353 @
-1172 1886 354 @
-3970 3861 967 "^3North Radar Tunnel"
-3525 3584 512 @
-3643 2985 576 @
-2993 3004 448 @
-4228 3853 992 "^3North Radar Valley"
-4492 4141 992 @
-4745 3766 988 @
-4490 3578 784 @
-3872 2981 585 @
-5019 3286 1089 @
-4791 2958 838 @
-4571 2693 855 @
-4149 2590 566 @
969 2526 480 "^3Outside Command Post"
1098 2664 481 @
1076 2979 480 @
773 3120 483 @
441 2820 480 @
769 2511 482 @
523 -1107 64 "^3Outside Forward Bunker"
588 -2406 108 @
1270 -1180 80 @
1990 -1206 17 @
1637 -2562 64 @
590 30 251 @
1118 734 216 @
1256 245 110 @
1921 40 96 @
1604 564 174 @
-2623 -269 464 "^3Railroad Tracks"
-1222 -3556 361 @
-1936 -3474 528 @
1636 -3485 105 @
2507 -3326 180 @
-697 798 458 @
-3401 -830 456 @
-1798 -83 456 @
-1291 548 456 @
-2047 -399 455 @
175 1050 322 @
650 903 247 @
-907 -3602 287 "^3Railroad Tunnel"
1279 -3543 80 @
-2622 31 935 "^3Ramp"
-2623 -271 836 @
-5006 2963 1096 "^3Service Tunnel"
-4986 354 1096 @
-5553 1485 1024 @
-5539 1904 1024 @
-5462 2189 1049 @
-2672 3304 531 "^3Side Wall Path"
-2926 3693 628 @
-2168 3994 562 @
-2700 4004 595 @
-1542 4077 672 @
-1525 3108 460 @
-1129 2532 463 @
-907 -3602 699 "^3South Cliffs"
-1222 -3556 638 @
-1239 -3220 680 @
3 -3505 627 @
1279 -3543 643 @
1635 -3184 336 @
635 -3056 621 @
-3182 288 988 "^3South Radar Tunnel"
-3885 -476 1034 @
-4579 668 864 "^3South Radar Valley"
-4135 752 560 @
-4251 -467 992 @
-4485 -807 992 @
-4712 -453 1000 @
-4498 -274 800 @
-4762 330 840 @
-5006 -47 1084 @
2926 -2275 320 "^3Truck Depot"
3491 -2563 320 @
3865 -2556 320 @
3190 -2457 320 @
3014 -3180 317 @
