/////////////////////////////////////////////////////////
// Map name       Radars                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    12-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
532 3626 -575 "^1Allied Command Post"
-1644 1210 -175 "^1Allied MG Tower"
-1645 1211 -685 @
3953 -3340 -215 "^1Axis Command Post"
-300 -3589 -471 "^1Axis Sewer Barrier"
-4553 -2209 -1082 "^1Farmhouse Barrier"
2613 521 -447 "^1North MG Nest"
2657 -727 -543 "^1North Radar"
-2829 -3977 -727 "^1Power Panel"
2634 -2816 -447 "^1South MG Nest"
2638 -1566 -543 "^1South Radar"
-2912 -5203 -727 "^2Allied Farmhouse Spawn"
-3405 -4647 0 "^2Axis Farmhouse Spawn"
-2910 -4636 0 @
-2415 -4633 0 @
-2581 5419 -886 "^2No Mans Land Spawn"
4696 -160 -447 "^2Warehouse Spawn"
-288 -3178 -374 "^3Center Bunker"
193 -3475 -383 @
153 -2513 -415 @
112 -905 -543 @
219 211 -415 @
139 -1667 -495 @
40 744 -383 @
-492 -3794 128 "^3Center Bunker Controls Room"
333 -3147 128 @
194 -3756 128 @
-2477 6529 -171 "^3Crashed Plane"
-2914 -4401 -147 "^3Farmhouse"
-2452 -3589 -319 @
-3382 -3612 -319 @
-2910 -3599 -158 @
-3378 -4373 -327 @
-2419 -4370 -327 @
-3054 -3956 -727 @
-2837 -4246 -727 @
-2908 -3589 -319 @
-2908 -3589 -727 @
-2542 -4153 -727 @
-2957 -4494 -727 @
-2542 -4797 -727 @
-2912 -5203 -583 @
-2910 -5069 -727 @
-3377 -4037 -319 @
-2428 -3594 -727 @
-1634 801 -692 "^3Farmhouse Area"
-2793 -155 -486 @
-2911 -3397 -727 @
-1230 -245 -744 @
-1489 3 -793 @
-1766 -265 -838 @
-1500 -572 -859 @
-3148 -1627 -465 @
-3360 -1627 -704 @
-3158 -1864 -767 @
-2858 -1621 -807 @
-3131 -1393 -730 @
-2534 -1572 -825 @
-3229 -2384 -509 @
-3711 -2814 -820 @
-4118 -2906 -548 @
-3594 -4389 -248 @
-3554 -3568 -607 @
-3557 -4065 -307 @
-2255 -4390 -621 @
-2282 -3597 -815 @
-2442 -3414 -727 @
-3895 -2229 -494 @
-2769 -354 -760 @
-2523 -100 -755 @
-2336 742 -706 @
-288 -3178 -627 @
-206 -2485 -631 @
-507 -3046 -671 @
-197 -910 -583 @
-370 -1692 -640 @
-250 -270 -551 @
-317 392 -513 @
-934 -3115 -399 @
-177 728 -363 @
36 991 -383 @
-873 975 -338 @
-632 -3106 -381 "^3Farmhouse Area Ladder"
-376 404 -221 @
-206 -2485 128 "^3Farmhouse Area Overlook"
-507 -3046 152 @
-197 -910 128 @
-230 -1674 128 @
-250 -270 128 @
-317 392 128 @
-177 728 128 @
-2911 -3397 -95 "^3Farmhouse Balcony"
-2911 -3397 -303 @
-3148 -1627 -767 "^3Farmhouse Resupply Station"
-2914 -4401 230 "^3Farmhouse Roof"
-2452 -3589 -89 @
-3388 -3612 -103 @
-2910 -3599 204 @
-3378 -4373 -95 @
-2419 -4370 -116 @
-3427 -4039 -136 @
-2540 -4477 -849 "^3Farmhouse Stairwell"
-4561 -2585 -1083 "^3Farmhouse Tunnels"
-4806 73 -1039 @
-2793 -155 -747 @
-3401 1352 -831 @
-4780 -1643 -1058 @
-4421 -1759 -1083 @
-4737 -4191 -1027 @
-3054 -3956 -1095 @
-2957 -4494 -1079 @
-3605 -5254 -1071 @
2095 -3394 -1617 "^3Hideout Lake"
1433 -3784 -1584 @
613 -4078 -1601 @
2780 -3429 -1607 @
1138 -3502 128 "^3Hideout Lake Overlook"
778 -3517 128 @
2570 -924 -1127 "^3Hideout Tunnel"
193 -3475 -638 @
2091 -3021 -1041 @
1327 -3351 -978 @
3162 -1292 -1435 @
4035 -1238 -1023 @
2663 -2952 -1071 @
2627 -3344 -679 "^3Hideout Tunnel Ramp"
2898 -3486 -591 @
2095 -3394 -959 @
-721 5019 -343 "^3Mining Tunnel"
519 4979 -542 @
772 3647 -575 @
505 3338 -522 @
669 4012 -575 @
1356 4021 -274 @
589 2594 -444 @
432 996 -442 @
1259 3701 -941 "^3Mining Tunnel Scaffoldings"
1333 2814 -2095 @
1269 3698 -2175 @
-2581 5419 -373 "^3No Mans Land"
-2484 5996 -351 @
-3275 6533 -123 @
-1845 6534 -212 @
-1114 5018 -350 @
-874 4605 -266 @
-576 2207 364 @
-1618 1816 -760 @
-2541 1707 -794 @
-3409 1618 -865 @
-3502 5578 -671 @
-3560 4947 -839 @
-1849 5505 -768 @
-2669 4928 -907 @
-2327 1081 -706 @
2657 -727 -313 "^3North Radar Antenna"
4274 1147 -255 "^3North Warehouse"
3941 650 -447 @
-3893 5494 -710 "^3Old Mining Tunnel"
-959 1802 336 "^3Ruined Wall"
-1618 1816 336 @
-2125 944 272 @
-2541 1707 336 @
1341 2618 -2095 "^3Sewers"
1421 1467 -2095 @
1706 515 -2111 @
1732 -989 -2111 @
3149 -999 -2031 @
2782 -3198 -1607 @
3101 -2557 -1887 @
3162 -1292 -1839 @
2638 -1566 -303 "^3South Radar Antenna"
3960 -3171 -447 "^3South Warehouse"
4207 -3321 -215 @
3947 -3572 -215 @
3967 -2734 -447 @
3601 -2977 -447 @
-2534 -1572 -379 "^3Tree Camping Spot"
69 708 128 "^3Upper Center Bunker"
417 1438 128 @
373 1001 128 @
1830 -487 -1151 "^3Upper Sewer Tunnel"
2401 -930 -1143 @
4532 -159 -447 "^3Warehouse"
4521 -2177 -447 @
3938 77 -447 @
3967 -2620 -447 @
3617 -2476 -447 @
3515 -1793 -447 @
3312 -1154 -183 @
3551 -496 -447 @
3554 232 -447 @
2613 521 -191 "^3Warehouse Courtyard"
2634 -2816 -191 @
1653 -421 -567 @
540 -2506 -447 @
513 -907 -575 @
2618 -3096 -447 @
2335 -2832 -447 @
2613 -2527 -447 @
2923 -2830 -447 @
2644 -1857 -575 @
2408 -1554 -575 @
2874 -1543 -495 @
2610 -1247 -495 @
2387 -739 -575 @
2669 -466 -575 @
2890 -825 -495 @
2676 -1003 -495 @
2602 800 -447 @
2300 535 -447 @
2610 260 -447 @
2946 521 -447 @
3467 1016 -383 @
3335 -2982 -447 @
3603 -3371 -383 @
3329 -1796 -447 @
3169 -1155 -183 @
3321 -1621 -183 @
3313 -638 -183 @
3341 -502 -447 @
3324 237 -447 @
3489 498 -447 @
3024 -3491 -383 @
1346 -3131 -447 @
645 -2793 -111 @
479 220 -447 @
896 426 -111 @
507 709 -447 @
511 -1413 -575 @
1653 -421 -793 "^3Warehouse Courtyard Ladder"
1653 -421 -1151 @
540 -2506 128 "^3Warehouse Courtyard Overlook"
513 -907 128 @
645 -2793 139 @
479 220 128 @
507 709 128 @
504 -3141 128 @
-37 -1675 128 @
7 -257 128 @
511 -1413 128 @
121 448 128 @
4693 -2176 -447 "^3Warehouse Radio Station"
3971 1149 -255 "^3Warehouse Resupply Station"
-3711 -2814 -567 "^3Water Tower"
-1497 -260 -471 "^3Windmill"
-1497 -260 -813 @
