/////////////////////////////////////////////////////////
// Map name       Ruins                                //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1017 2846 1664 "Allied Base"
1026 1614 1664 @
4950 -3187 581 "Axis Beach"
4811 -3727 535 @
4799 -2689 572 @
4880 -2170 868 @
5057 -1867 912 @
5903 -1700 626 @
5894 -2113 520 @
5485 -2328 525 @
3942 -1243 704 "Axis Command Post"
-2980 592 1088 "Closet"
-2651 585 1088 @
-2414 593 1088 "Closet Door"
-63 1335 1888 "Dagger of Time"
3907 -3200 704 "Damaged Tank Side Wall"
1645 2307 1181 "Dead!"
1612 2307 1582 "Falling..."
236 2110 1664 "Fortress Central"
-122 1971 1664 @
-39 2302 1664 @
208 2488 1664 @
-117 2635 1664 @
-194 3650 1664 @
-55 2846 1664 @
-367 3258 1664 @
266 3371 1664 @
504 3166 1664 @
-186 955 1664 @
-60 1746 1664 @
-374 1341 1664 @
252 1287 1664 @
508 1430 1664 @
1028 1871 1664 @
1015 2699 1664 @
645 2302 1664 @
-452 2302 1216 "Fortress Central Stairs"
-138 2116 1408 @
-143 2501 1408 @
-1220 2312 1088 "Fortress Courtyard"
-717 2316 1080 @
-953 2883 1079 @
-1038 3534 1084 @
-621 3294 1075 @
-1397 2576 1088 @
-1408 1975 1088 @
-824 1692 1069 @
-614 1334 1072 @
-1038 1082 1071 @
-1537 3517 1088 "Fortress Courtyard Halls"
-1206 3520 1088 @
-1196 1091 1088 @
-1556 1091 1088 @
-1634 2304 1088 "Fortress Main Entrance"
-1922 2306 1069 "Fortress Main Hallway"
-3305 2303 1056 @
-2611 2296 1088 @
-1087 3020 1600 "Fortress North"
-1231 2500 1600 @
-1555 2522 1600 @
-1563 3003 1744 @
-1202 3406 1600 @
-853 3847 1664 @
-196 3857 1664 @
461 3847 1920 @
-35 4046 1920 @
-721 3987 1920 @
-1753 3979 1920 @
-2367 2537 1600 "Fortress North Bridge"
-1744 2527 1600 @
-2842 3013 1088 "Fortress North Entrance"
-2676 3390 1088 @
-963 3360 1344 "Fortress North Stairs"
-2662 2933 1344 "Fortress North Walls"
-2670 3307 1344 @
-2766 3629 1472 @
-2811 2949 1472 @
-1711 3521 1079 "Fortress North Yard"
-1780 2751 1100 @
-2244 2837 1099 @
-2523 3382 1064 @
-1562 2077 1600 "Fortress South"
-1193 2089 1600 @
-1004 1591 1600 @
-1200 1152 1600 @
-699 764 1664 @
-201 769 1664 @
-1559 1573 1776 @
-1751 878 1920 @
-755 602 1920 @
132 567 1920 @
488 806 1920 @
-2393 2072 1600 "Fortress South Bridge"
-1704 2074 1600 @
-961 1261 1344 "Fortress South Stairs"
-2678 1647 1344 "Fortress South Walls"
-2676 1264 1344 @
-2747 814 1472 @
-2820 1654 1472 @
-2238 813 1076 "Fortress South Yard"
-1707 1096 1085 @
-2448 1285 1081 @
-1932 1561 1101 @
-2512 2072 1600 "Fortress Towers"
-2512 2527 1600 @
-3337 2550 1600 @
-3390 2041 1600 @
-3325 2036 1088 @
-3307 2550 1088 @
-2813 2829 1472 @
