/////////////////////////////////////////////////////////
// Map name       Saberpeak                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3183 -6618 750 "Allied Spawn Beach"
3818 -6866 569 @
3737 -7435 563 @
3651 -8401 565 @
3686 -9126 606 @
3981 -5624 576 "Allied Spawn Path"
3843 -6230 745 @
3482 -6387 723 @
2294 -3142 608 @
3310 -3128 664 @
3673 -3674 767 @
3750 -4762 604 @
-2780 -4907 593 "Ammo Crate"
-3159 -4634 586 "Ammo Crate Path"
-2287 -4674 576 @
-1691 -4694 720 @
-923 -4494 608 @
-691 -4897 584 @
-2472 -5397 576 @
-3139 -5293 576 @
-3639 -4415 576 @
-3856 -4071 576 @
-3773 -4217 576 @
-1854 5013 584 "Axis Resort"
-2100 4834 592 @
-2101 4530 592 @
-2086 4122 592 @
-1882 3215 584 @
-1102 3238 584 @
-315 3431 584 @
137 3484 592 @
555 3422 589 @
1325 3249 584 @
1317 3701 584 @
1537 3889 584 @
1883 3916 584 @
2223 3908 584 @
2358 3662 584 @
2355 3280 603 @
2626 3242 716 @
2623 4010 592 @
2619 4642 584 @
1201 5366 584 @
1146 4874 584 @
147 5396 584 @
-866 5239 584 @
-670 4783 584 @
-198 4797 608 @
147 4935 584 @
189 5144 589 @
-2020 5148 648 @
-2078 5028 784 @
12 2690 584 "Axis Resort Pier"
313 2683 584 @
311 2466 584 @
440 2336 584 @
609 2334 584 @
608 2236 584 @
392 2238 584 @
0 2225 584 @
-3 2377 584 @
2499 3254 992 "Catwalk To Submarine Bay"
2503 3593 992 @
2508 3873 992 @
2702 4028 992 @
-3830 9 848 "Command Post Bunker"
-3975 110 848 @
-3832 -790 976 @
-3553 -793 976 @
-3850 -339 976 @
-3856 112 976 @
-3557 126 976 @
-3493 -329 976 @
-3691 -177 928 @
-3987 -188 848 @
-3990 -465 848 @
-3999 -789 848 @
-4091 896 621 @
-4107 -1360 901 "Command Post Cave"
-4165 -943 868 @
-1596 -3604 1128 "Dock Lookout Path"
-2349 -3728 919 @
-3048 -3591 727 @
-3723 -4228 576 @
2177 3284 604 "Fish Store"
2178 3677 600 @
1824 3672 600 @
1425 3677 600 @
1458 3450 600 @
1744 3401 600 @
2245 3707 984 "Fish Store Roof"
1881 3709 984 @
1418 3712 984 @
1444 3239 984 @
1859 3215 984 @
2219 3225 984 @
-3974 -785 976 "Health and Ammo Cabinets"
-3995 -336 976 @
-3981 115 976 @
205 -3486 640 @
130 3177 592 "Main Entrance"
130 2904 584 @
-311 3237 1064 "Main Entrance MG Tower"
546 3243 1064 @
2548 3094 992 "Main Wall Lookout"
2190 3095 992 @
1870 3096 992 @
1470 3097 992 @
952 3098 992 @
561 3099 992 @
149 3100 992 @
-227 3101 992 @
-568 3102 992 @
-1017 3103 992 @
-1496 3104 992 @
-1748 3105 992 @
-2101 3106 992 @
-31 5187 654 "Mansion"
-27 5030 632 @
-237 5036 624 @
-516 5032 624 @
-733 5038 624 @
-709 4939 864 @
-63 4937 864 @
-531 4937 864 "Mansion Balcony"
-228 4932 864 @
-691 4976 1108 "Mansion Roof"
-296 5253 1089 @
-383 5067 1060 @
-57 5051 1116 @
-3825 -177 848 "Neutral Command Post"
132 -2740 282 "Ocean"
576 -2637 422 @
990 -2631 404 @
1544 -2681 418 @
2239 -2677 429 @
3140 -2531 429 @
4048 -2801 433 @
4416 -3653 443 @
4511 -4640 427 @
4542 -5206 418 @
4612 -5581 374 @
4560 -6565 447 @
4364 -7346 446 @
4316 -8242 378 @
4286 -9024 444 @
-286 -2691 300 @
-796 -2639 449 @
-1287 -2302 446 @
-1695 -1645 456 @
-2202 -1308 443 @
-2511 -626 448 @
-2286 276 405 @
-1658 1330 451 @
-1426 2221 478 @
-962 2589 428 @
-509 2549 416 @
-205 2534 393 @
-184 2262 444 @
83 2104 437 @
483 2079 456 @
834 2250 420 @
665 2536 460 @
535 2539 354 @
1245 2530 435 @
1807 2517 435 @
2382 2499 428 @
3494 2884 440 @
3979 2837 415 @
1686 -1059 416 @
661 -2196 398 @
1011 -2400 425 @
228 -2206 451 @
-115 -2198 434 @
-320 -2449 391 @
-805 -3008 584 "Old Dock Beach"
-508 -2978 584 @
-86 -2986 589 @
117 -2990 600 @
379 -2960 600 @
800 -2968 600 @
1136 -2974 600 @
1632 -2983 608 @
