/////////////////////////////////////////////////////////
// Map name       Sabotage TE                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5532 -3765 160 "Allied Approach"
3020 -2717 -48 @
6307 -4237 214 "Allied Barracks"
6292 -3620 214 @
6518 -3629 219 @
6538 -4257 216 @
1832 -2576 221 "Ammo and Health Cabinets"
481 -3837 -5 "Axis Approach"
-1261 -4069 -46 @
-469 -3962 -15 @
-91 -3739 26 @
-854 -5613 59 @
123 -5663 68 @
-1779 -5728 56 @
-211 6463 -31 "Axis Barracks"
541 6458 -31 @
-382 7119 -31 @
-337 6820 -31 @
-547 6182 -31 "Axis Bunker Hallway"
-211 6288 -31 @
165 5939 -31 @
583 6312 -31 @
790 6175 -31 @
-192 7044 360 "Axis Bunker Ladder Room"
29 4834 360 "Axis Bunker Overlook"
283 4835 360 @
-393 5783 360 "Axis Bunker Platform"
-448 6791 360 @
-34 7061 360 @
-20 6770 360 @
-461 6202 360 @
-200 5470 360 @
-116 4832 360 @
441 4843 360 @
534 5476 360 @
441 5097 360 @
-107 5003 360 @
757 5154 360 @
464 5730 360 @
-454 5356 360 @
293 5952 360 "Axis Bunker Radio"
147 5685 360 @
925 6195 -31 "Axis Bunker Stairwell"
940 6279 332 @
821 6274 360 "Axis Bunker Warehouse"
446 5953 360 @
-576 5391 296 "Axis Garage Rooftop"
-551 -6409 104 "Axis Post"
-1531 -6339 104 @
-45 -6587 104 @
166 5706 -31 "Axis Rocket Garage"
-541 5376 -31 @
152 4659 -23 @
704 5147 -31 @
-311 4960 -31 @
702 5616 -31 @
-67 5471 360 "Axis Upper Bunker"
397 5478 360 @
29 5080 360 @
315 5062 360 @
129 5548 360 @
-98 800 -15 "Command Post"
1637 2780 28 "Depot Yard"
1627 3840 -15 @
1269 5158 -6 @
887 5139 -8 @
1101 5766 -15 @
866 4396 -41 @
168 4485 -21 @
233 2775 0 @
-1494 2839 -25 @
-1946 4889 -1 @
-1455 5215 -24 @
-1610 4877 -17 @
-1520 5721 -25 @
-634 6773 -33 @
-740 6198 -51 @
-1187 6679 -35 @
-733 5355 -46 @
-802 5758 -45 @
-562 4584 39 @
743 318 -15 "Forward Spawn"
588 801 -15 @
-240 622 -15 @
99 747 -15 @
19 632 -15 @
-81 156 -15 @
-1409 6388 -31 "Gold Storage"
1498 -1808 -15 "Main Entrance"
1504 -128 -15 "Main Entrance Hallway"
1485 -1367 -15 @
238 2573 0 "Main Hallway"
1088 1208 -15 @
585 1047 -15 @
-379 1211 -15 @
-15 1219 -15 @
85 -2584 -19 "Near Main Entrance"
1476 -2057 -50 @
1024 -1674 46 @
2004 -1661 -15 @
2941 -2118 -41 @
1857 -2403 -28 @
1571 -2826 8 @
2131 -2885 -12 @
1895 -2837 221 @
2834 -2612 -50 @
786 -3297 -40 @
1877 -2356 238 @
6121 -3692 217 "Outside Allied Barracks"
6251 -3480 213 @
6146 -4231 212 @
6287 -4422 212 @
6583 -4409 212 @
6702 -4269 219 @
6692 -3610 218 @
6544 -3482 218 @
-1433 -2796 -29 "Outside Warehouse Hallway"
-127 -2614 -10 @
-421 -3541 15 @
-1342 -3652 -44 @
-197 -2163 221 @
-2217 5738 368 "Radar 1"
-1604 5771 360 "Radar 1 Bridge"
-583 5759 360 @
-1122 5784 360 @
-1939 5052 360 "Radar 1 Platform"
-2215 5376 360 @
-2573 5720 360 @
-2205 6093 360 @
-1892 5732 360 @
-1746 5766 360 @
-1533 6171 360 @
-1361 6817 360 @
-1954 6488 360 @
-2057 6787 360 @
-1598 5244 296 @
-1734 5220 360 @
-1527 6382 -31 "Radar 1 Warehouse"
-1652 5224 -31 @
-2529 5095 -31 @
-2122 6483 360 @
-2196 6687 360 @
-2224 6073 -31 @
-1540 6833 -31 @
-1907 5776 -31 @
-1618 5166 296 "Radar 1 Warehouse Rooftop"
2130 4995 368 "Radar 2"
872 5153 360 "Radar 2 Bridge"
1291 5149 360 @
1388 5149 360 "Radar 2 Platform"
1839 5028 360 @
2113 4669 360 @
1791 3820 360 @
2109 3113 360 @
1827 2694 360 @
2112 2781 360 "Service Door"
2094 1657 50 "Service Door Hallway"
2123 2510 317 @
1501 42 -15 "Small Warehouse"
1261 293 -15 @
1282 1197 16 @
2109 1534 48 @
-2263 -1860 -15 "Warehouse"
-525 -1853 -15 @
-627 -84 -15 @
-530 -1610 168 @
-1615 -2812 -15 "Warehouse Hallway"
-2268 -2001 -15 @
-192 -2045 260 "Warehouse Ventilation"
-393 -1602 260 @
-1499 2654 -15 "West Hallway"
-630 99 -15 @
-457 622 -15 @
-554 1197 -15 @
