/////////////////////////////////////////////////////////
// Map name       Sandheli01b                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2220 -132 -359 "Ammo Cabinet"
4964 458 -367 "Arches Yard"
5019 1087 -333 @
4339 1021 -367 @
4341 352 -353 @
8701 -671 -207 "Axis Bunker"
8244 -698 -207 @
8722 -1154 -183 @
8265 -1144 -207 @
8241 -1471 -167 @
7777 -1486 -167 "Axis Bunker Exit"
7533 -1501 -196 "Axis Hill"
7658 -746 -219 @
7619 -59 69 @
7224 -327 -247 @
7231 -1168 -286 @
7245 -1686 -276 @
7250 -2208 -271 @
7338 -2500 -240 @
3889 516 -345 "Broken Stairs"
3992 838 -239 @
4169 834 -230 @
4823 -1895 -615 "Bunker"
4654 -2327 -615 @
4659 -2044 -615 @
4520 -1948 -573 "Bunker Barrier"
3863 -1957 -367 "Bunker Entrance"
5158 -2247 -527 "Bunker Ladders"
5179 -2257 24 "Bunker Roof"
5356 -2539 -359 "Bunker Storage"
5366 -2235 -359 @
5351 -1973 -359 @
5385 -2340 -359 @
5398 -2171 -359 @
4480 -1235 -239 "Command Post"
7303 655 -363 "Dead End"
7304 281 -363 "Dead End Alley"
2905 -823 -363 "Desert Town"
2926 -330 -365 @
2490 -227 -327 @
2366 -665 -367 @
1921 -926 -367 @
2413 -1167 -367 @
2761 -1661 -367 @
2845 -2166 -367 @
3653 -2378 -367 @
3628 -1598 -367 @
3805 -971 -367 @
3773 -331 -365 @
3719 94 -365 @
3318 -50 -365 @
2754 467 -367 @
3030 778 -367 @
3702 743 -367 @
3715 413 -367 @
4107 302 -363 @
4501 -448 -287 @
4566 -939 -299 @
4166 -1289 -147 @
4383 -1568 -167 @
4372 -2206 -154 @
4239 -2509 -44 @
4881 -2398 -14 @
6788 -1337 -301 "Helicopter"
6797 -1173 -301 @
6987 -46 -349 "Helicopter Yard"
6541 43 -367 @
6260 -222 -367 @
6253 -881 -367 @
6253 -1174 -367 @
6279 -1515 -366 @
6120 -1510 -351 @
6135 -1024 -367 @
7029 -234 -365 @
7038 -644 -361 @
7018 -1084 -367 @
7044 -1417 -367 @
7030 -1760 -367 @
7023 -2067 -357 @
7010 -2442 -358 @
6839 -2703 -352 @
6343 -2749 -367 @
6137 -2539 -346 @
6230 -2254 -350 @
6257 -1991 -347 @
6534 -1372 -367 @
6526 -1053 -351 @
6280 -657 -215 @
6170 18 -359 @
6093 314 -363 "Locker Room"
6613 291 -363 @
6072 680 -363 @
6628 705 -363 @
7009 507 -363 @
6979 146 -363 "Locker Room Exit"
6899 623 -183 "Locker Room Roof"
6914 442 -183 @
6923 196 -183 @
7174 205 -183 @
5270 -870 -367 "North Barrier"
6041 -379 -255 "North Wall"
5897 -700 -367 "North Wall Crates"
1606 117 -269 "North West Corner"
2155 -588 -215 "Roof MG42"
5126 -1350 40 "Rooftop"
4813 -1734 184 "Sniper Hill"
6042 -2098 -255 "South Wall"
6138 -1731 -365 "South Wall House"
6090 -1684 -143 @
1560 -2589 -367 "South West Corner"
6247 506 -123 "Stove"
6192 289 -123 "Stove Room"
6397 425 -123 @
6637 457 -123 "Stove Room Balcony"
6773 208 -123 @
2728 772 -367 "Supply Cabinets"
6042 -1543 -239 "The Wall"
6041 -1273 -239 @
6040 -955 -239 @
6039 -721 -239 @
6037 -70 -239 @
6046 -2565 -239 @
6046 -2313 -239 @
4140 855 -363 "Under Broken Stairs"
5192 -2198 -119 "Upper Bunker"
5944 -66 -367 "Walls Yard"
5478 -51 -367 @
5362 -489 -367 @
5434 -1151 -367 @
5404 -1700 -367 @
5720 -363 -355 @
5929 -1069 -367 @
5539 -887 -310 @
5941 -1492 -367 @
5884 -1741 -367 @
5971 -2554 -367 @
5397 -2817 -355 @
5559 -2524 -367 @
5553 -2288 -367 @
5572 -2022 -367 @
5979 -2686 -367 "Walls Yard Door"
3075 -591 -161 "Watch Tower"
2975 -596 -365 @
5840 528 -348 "Water Drop Caves"
5285 522 -351 @
2285 -1877 -311 "Water Purifier"
1802 -2184 -351 @
1712 -1315 -367 @
2257 -1386 -367 @
