/////////////////////////////////////////////////////////
// Map name       Snatch 2                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    06-09-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-849 -1750 228 "^1Allied Command Post"
-163 1275 336 "^1Axis Command Post"
828 2505 336 "^1Balcony MG"
830 384 340 "^1Bridge"
459 377 340 @
-960 -1299 202 "^1MG42"
380 2244 205 "^1Main Entrance"
-2279 1626 488 "^1Radar Parts"
-2235 1367 300 "^1Radio Wall"
-2397 1295 325 @
-1301 1452 247 "^1Truck Barrier #1"
1371 -1147 66 "^1Truck Barrier #2"
2303 2431 256 "^2Allied House"
2556 2141 256 @
2302 2145 256 @
196 2374 448 "^2Base Spawn"
-95 2375 448 @
-95 2029 448 @
-1005 -1709 228 "^2Forest House"
-722 -1810 228 @
-733 -2163 228 @
-992 -2137 228 @
1749 1472 312 "^3Allied Road"
1736 -1152 66 @
2550 2012 244 @
2180 2426 244 @
2292 2028 246 @
2169 2110 245 @
572 2544 336 "^3Balcony"
1105 2461 336 @
811 2687 408 @
64 1127 336 "^3Base Bunker"
-68 1846 200 @
56 1420 336 @
-1294 1731 217 "^3Base Courtyard"
-1018 1422 320 @
-583 1477 320 @
-1739 2287 204 @
-1608 1434 320 @
-2002 1417 320 @
-2003 1658 288 @
-1097 2608 202 @
-946 2608 202 @
-1235 2277 204 @
-825 2284 204 @
-604 1793 204 @
-269 2021 202 @
-229 2370 204 @
922 -1095 68 "^3Base Road"
850 375 114 @
473 384 112 @
850 627 142 @
844 1077 202 @
438 1090 202 @
441 542 118 @
605 1891 204 @
573 2450 202 @
834 2386 202 @
1116 2379 202 @
984 1304 202 @
193 2485 400 "^3Base Stairwell"
300 2628 336 @
-60 2510 268 @
-263 2028 456 "^3Base Terrace"
-595 1793 404 @
-239 2369 456 @
-940 2610 488 @
-1238 2600 488 @
-1759 2605 488 @
-1872 2269 488 @
-2375 2037 488 @
-2367 1887 488 @
-2433 1409 488 @
-2249 1376 488 @
-2098 1392 488 @
-2125 1657 488 @
-2460 1617 488 @
953 623 336 "^3Bridge"
-2353 -322 352 "^3Cave"
-1744 445 352 @
-2362 -440 328 "^3Cave Entrance"
-2493 -851 232 @
1194 575 336 "^3East Bridge Balcony"
960 1088 336 @
-1602 447 340 "^3Forest Road"
-724 71 460 @
-1315 1062 288 @
-997 1287 258 @
-548 1293 332 @
-1593 1298 257 @
-1997 1292 257 @
-1735 810 363 @
-1763 -408 243 @
-2484 -992 232 @
-2284 -900 227 @
-1323 -1257 207 @
-1072 -966 206 @
-660 -1209 206 @
-1102 -2131 208 @
-1001 -2272 202 @
-718 -2270 198 @
-624 -1810 208 @
-1098 -1684 202 @
-254 437 336 "^3Health and Ammo Cabinets"
1355 1374 336 @
-664 2735 208 @
-815 2611 208 @
330 2005 202 "^3Main Entrance"
-55 2354 204 @
-61 1972 202 @
-2140 1654 288 "^3Radio Room"
-2106 1414 336 @
-2443 1417 288 @
-2373 1891 288 @
1611 1468 336 "^3Shortcut Tunnel #1"
1466 1134 336 @
1333 575 336 @
-39 320 336 "^3Shortcut Tunnel #2"
-327 230 336 @
-578 59 496 @
-195 1057 336 "^3Storage"
-88 829 336 @
-2362 2033 252 "^3Warehouse"
-1890 2262 208 @
-1242 2617 208 @
-1748 2619 208 @
73 326 336 "^3West Bridge Balcony"
70 999 336 @
333 1073 336 @
48 833 336 @
309 509 336 @
