/////////////////////////////////////////////////////////
// Map name       Special Delivery TE                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    20-05-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1107 1339 152 "^1Axis Gold"
1665 3558 128 "^1Door Controls"
1454 4327 -145 "^1Getaway Trucks"
211 -2903 -39 "^3Allied East Corridor"
588 -2610 -39 @
-526 -2917 -39 "^3Allied West Corridor"
-940 -2602 -39 @
2683 1947 128 "^3Axis Spawn"
2651 1558 128 @
266 742 72 "^3Barracks"
535 1013 72 @
351 1228 72 @
700 1414 72 @
333 1375 -55 "^3Barracks Stairs"
226 1273 -135 @
1696 3421 128 "^3Door Controls Room"
1301 3323 128 @
131 -1993 176 "^3East Ramp"
480 -2055 22 @
461 -676 72 "^3East Tower"
429 -478 72 "^3East Wall"
196 -41 72 @
799 -2372 -79 "^3Eastern Field"
988 -2061 -79 @
824 -1616 -79 @
276 -1445 -80 @
116 -1080 -94 @
209 -732 -88 @
1525 2717 -135 "^3Elevator"
1522 2721 128 @
2087 2616 14 "^3Elevator Shaft"
30 436 72 "^3Flag Room"
-412 435 72 @
-411 161 72 @
-230 116 112 @
27 212 72 @
-417 585 72 "^3Flag Room Catwalk"
-415 1158 72 @
33 570 72 @
39 1153 72 @
35 748 72 @
-203 1422 152 @
-183 -55 72 "^3Forward Wall"
-334 -35 72 @
-16 -34 72 @
1241 2632 128 "^3Generator Room"
-923 1347 152 "^3Gold Storage"
-633 737 72 "^3Gold Storage Lobby"
-966 751 72 @
2125 3668 -135 "^3Loading Bay"
2101 3293 -135 @
1085 3322 -135 @
1943 2838 -135 @
1172 3619 -135 @
1569 3626 -135 @
1328 3637 -135 @
1457 4084 -135 @
1679 3680 72 @
1698 2846 -135 "^3Lower Corridors"
1697 2712 -135 @
1693 2390 -135 @
1689 1947 -135 @
1352 1953 -135 @
1175 2379 -135 @
506 2011 -135 "^3Lower Office"
498 2053 -135 @
395 2083 -135 @
611 2087 -135 @
548 1762 -135 @
-204 -1979 202 "^3Mountain Lookout"
-772 -3382 104 "^3Mountain Tunnel"
-706 -2419 160 @
1687 2793 128 "^3Office Hallway"
1707 2432 128 @
2160 2398 128 @
2211 1977 128 @
2233 1561 128 @
1750 1792 128 @
1696 2182 128 @
2370 1942 128 @
2371 1561 128 @
1698 3276 128 @
1679 1732 -55 "^3Office Stairs"
1937 1539 104 @
-615 1001 -158 "^3Railroad Ladder"
-192 -2125 -55 "^3Railroad Tracks"
-192 -1755 -55 @
-191 -1390 -78 @
-191 -1031 -106 @
-190 -668 -134 @
-190 -295 -162 @
-190 71 -187 @
-189 424 -187 @
-189 792 -187 @
-188 1133 -187 @
-188 1493 -187 @
-187 1895 -187 @
1305 2906 128 "^3Storage Room"
1375 3144 128 @
-186 -3561 0 "^3The Train Cars"
-330 -2972 -39 @
-15 -2921 -39 @
197 1831 -135 "^3Train Bay"
-15 1825 -135 @
-13 2179 -135 @
-21 3037 -135 @
184 2948 -135 @
224 2506 -135 @
213 2226 -135 @
216 1992 -135 @
571 1738 138 "^3Tunnel"
66 1649 154 @
1206 1988 128 "^3Upper Office"
1169 2366 128 @
1522 2327 128 @
1518 2015 128 @
1149 2166 128 @
985 1737 -135 "^3Warehouse"
743 1757 -135 @
761 2087 -135 @
998 2185 -135 @
990 2359 -135 @
909 2535 -135 @
978 2753 -135 @
943 3202 -135 @
949 3529 -135 @
637 3630 -103 @
394 3599 -135 @
358 2950 -135 @
360 2437 -135 @
499 2226 -135 @
354 2229 -7 @
814 2175 120 @
752 1740 128 "^3Warehouse Catwalk"
1005 1782 128 @
1001 1963 128 @
1015 2386 128 @
1024 2176 128 @
1025 2501 -21 "^3Warehouse Ladder"
-1019 -2032 -33 "^3West Ramp"
-508 -1990 190 @
-835 -661 72 "^3West Tower"
-525 3 72 "^3West Wall"
-822 -477 72 @
-520 -1305 -85 "^3Western Field"
-1123 -1515 -79 @
-1203 -2257 -79 @
-478 -969 -106 @
-561 -749 -100 @
