/////////////////////////////////////////////////////////
// Map name       Stalingrad                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1877 1819 80 "Allied Command Post"
-1084 -484 63 "Allied River Spawn"
-294 -498 65 @
1035 8642 -183 "Axis Command Post"
1167 8632 -185 "Axis Command Post Yard"
1162 8384 -183 @
1428 8383 -187 @
1450 8706 -174 @
1631 8799 -169 "Axis Rear Spawn"
2051 8819 -183 @
2643 9492 -186 @
1597 8720 -177 @
84 7857 -183 "Axis Spawn Road"
193 8203 -181 @
289 7847 -183 @
489 7802 -175 @
1400 7839 -178 @
1842 7834 -180 @
1598 7853 -181 @
2179 7851 -183 @
4215 7836 -167 @
4217 8394 -175 @
4153 8134 -191 @
4210 9074 -183 @
4220 9283 -183 @
1126 8226 -183 @
1467 8249 -183 @
1887 8251 -189 @
1617 8337 -189 @
2701 8469 -95 @
3669 8526 -183 @
3676 8965 -179 @
3950 9052 -183 @
654 8225 -181 @
979 8688 64 "Axis Spawn Road Overlook"
994 8460 64 @
603 8348 64 @
3753 8956 0 "Axis Spawn Road Roof"
4242 8972 0 @
3979 8969 0 @
4261 8630 8 @
3768 8495 128 @
1576 6136 -177 "Church Yard"
1372 6139 -175 @
1719 6150 -173 @
1381 7711 -172 @
1660 7712 -166 @
1870 7709 -181 @
2189 7704 -178 @
1916 6533 -183 @
850 5620 -136 "Church Yard Alley"
858 5952 -173 @
1383 6014 -174 @
1560 5999 -170 @
1744 6018 -165 @
2131 6529 -183 "Church Yard Arch"
1528 585 96 "Damaged East Bridge"
1539 -86 82 @
1544 248 96 @
1548 1212 88 @
3005 2695 86 "Dead End"
2704 2702 88 "Dead End Alley"
2518 3047 163 @
1916 3037 72 @
1215 -325 66 "East Bridge Entrance"
1646 -326 60 @
982 -606 102 @
1569 4565 71 "East Bridge Road"
1572 4921 72 @
1741 4297 88 @
1287 3725 72 @
1285 3230 81 @
1278 2636 72 @
1455 2227 48 @
1736 1828 72 @
1713 1394 72 @
1808 2097 72 @
1814 2584 72 @
1749 3011 58 @
1236 1174 64 "East Bridge Stairs"
921 1132 48 @
645 1129 -111 @
627 1322 -111 @
4783 9103 -181 "East Tank"
5333 9097 -194 @
4449 9218 -188 "East Tank Barrier"
4453 8935 -189 "East Tank MG Nest"
4340 7224 -183 "East Tank Road"
4729 7215 -181 @
4735 8133 -183 @
4366 7758 -179 @
4338 7932 -187 @
4332 8348 -182 @
4336 8612 -183 @
4620 8695 -183 @
4339 8140 -191 @
5356 8778 176 "East Tank Roof"
4728 8760 176 @
4745 8249 176 @
5338 8264 176 @
5106 8200 190 @
5309 8095 224 "East Tank Roof Access"
5695 8141 224 @
5261 8116 32 @
5331 7983 -127 @
4939 7976 -164 @
3389 -41 -127 "Frozen River"
2926 -2 -121 @
2470 53 -116 @
2079 74 -89 @
1500 184 -121 @
1483 767 -127 @
1450 475 -127 @
3268 635 -127 @
2881 800 -127 @
2165 789 -127 @
1176 35 -104 @
786 77 -84 @
135 177 -127 @
-355 131 -127 @
-805 17 -126 @
-1124 -45 -127 @
-1090 328 -127 @
-1112 761 -127 @
-663 941 -127 @
-190 943 -127 @
-81 1350 -127 @
529 1279 -111 @
