/////////////////////////////////////////////////////////
// Map name       MLB Starbase BETA                    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    24-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1663 -710 -559 "Ammo Cabinet"
1210 4284 -663 @
926 743 -567 @
-930 4875 -663 @
-4656 202 -575 "Axis Ship"
1291 642 -1007 "Base Controls"
-337 976 -1006 "Base Controls Hallway"
659 977 -1015 @
928 1479 -1015 @
924 2509 -1015 @
-2067 2205 -255 "Base Storage"
-1756 3453 -255 @
-1787 3828 -255 @
-2560 3125 -255 @
-2262 3482 -255 @
-2557 3488 -255 "Base Storage Teleports"
-8 2214 -631 "Cargo Hall"
-936 2200 -647 @
-738 2695 -631 @
-1119 2680 -631 @
-1840 2215 -631 @
-1840 2215 -263 "Cargo Hall Catwalk"
-936 2200 -237 @
-1119 2680 -263 @
-738 2695 -263 @
-8 2214 -263 @
357 2218 -255 "Cargo Hall Elevator"
923 907 -571 "Control Center"
867 1757 -571 @
1348 1886 -571 @
1117 743 -571 @
1339 2040 -591 "Control Center Lobby"
685 1748 -575 @
855 2123 -578 @
357 2205 -639 @
-4420 192 -583 "Docking Bay"
-4398 -834 -327 @
-4159 191 -567 "Docking Bay Tunnel"
-3563 187 -567 @
-4212 -833 -311 @
-3631 -829 -311 @
58 -702 -735 "Forward Spawn"
1327 4569 -239 "Generator Room"
545 5618 -755 "Gravitational Processor"
545 5618 -501 @
545 5618 -188 @
544 6086 -815 "Main Hall"
544 6446 -255 @
1456 5625 -255 @
1146 5625 -815 @
534 5144 -815 @
527 4710 -255 @
-389 5592 -255 @
-17 5598 -815 @
970 4285 -671 @
965 3394 -671 @
965 3394 -255 @
46 4281 -255 @
1372 4990 -255 @
884 4551 -255 @
543 3168 -671 @
546 3176 -255 @
33 3398 -255 @
36 3384 -671 @
36 4280 -671 @
542 3003 -664 "Main Hall Elevator"
542 3003 -246 @
-254 3388 -255 "Navigation Hall"
-264 4273 -255 @
-1602 3838 -255 @
-1609 3458 -255 @
-1132 2960 -255 @
-748 2950 -255 @
-930 3429 -671 @
-935 3753 -927 @
-260 3389 -671 @
-239 4289 -671 @
-925 4511 -671 @
-378 -320 -575 "Round Hall"
58 -702 -541 @
627 -316 -575 @
64 267 -575 @
64 -225 -719 @
925 2729 -1007 "Spiral Stairs Hall"
1158 3393 -671 @
1142 3382 -255 @
1979 3462 -255 @
-3317 194 -559 "Starbase Blast Door"
-3323 -834 -303 @
-723 -331 -575 "Starbase Entrance Barrier"
-2962 200 -575 "Starbase Entrance Hallway"
-2563 -185 -575 @
-2557 -228 -303 @
-2916 -832 -303 @
-2359 -181 -575 "Starbase Entrance Lobby"
-1412 -319 -575 @
-1571 -545 -575 @
-2189 -571 -303 @
-2174 146 -311 @
-2361 -221 -311 @
-1571 -700 -575 "Starbase Entrance Stairs"
-2194 -752 -303 @
-1281 -319 -575 "Starbase Entrance Tunnel"
-1030 -312 -575 @
61 418 -575 "Starbase Tunnels"
694 906 -583 @
-337 976 -558 @
1459 -317 -575 "Supplies Room"
1661 -524 -575 @
1659 -118 -575 @
1665 131 -567 "Supplies Room Teleport"
768 -318 -575 "Supplies Room Tunnel"
1326 -316 -575 @
-2175 2210 -631 "Teleport Exit"
1805 4511 -231 @
2331 3455 -247 @
-930 3429 -951 @
-2797 3143 -255 "Ventilation System"
-2821 620 -255 @
-2180 285 -303 "Ventilation System Exit"
