/////////////////////////////////////////////////////////
// Map name       Steelplant 2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1290 -2475 192 "Allies Spawn"
-1520 -2319 192 @
1266 -2530 192 @
-871 740 128 "Axis Spawn"
-1146 538 270 @
-1146 486 384 "Axis Spawn Corridor"
-1148 -654 384 @
-1 16 448 "Command Post"
834 188 448 "Command Post Corridor"
1110 505 448 @
343 -83 448 "Command Post Room"
173 201 448 @
502 200 448 @
621 406 448 @
709 197 448 @
-325 -78 448 @
-177 205 448 @
-627 410 448 @
-710 -60 448 @
-664 113 128 "Defence Sentry"
1246 691 128 "East Axis Spawn"
877 732 128 @
713 2098 79 "East Water Tunnel"
1274 2106 66 @
1250 1685 -100 @
1242 1108 -117 @
1237 792 -102 @
-574 733 128 "Entrance Corridors"
-743 737 128 @
-642 334 128 @
-328 123 128 @
1 -19 128 @
522 739 128 @
718 742 128 @
570 382 128 @
419 204 128 @
-1098 -2478 192 "Factory Yard"
-1489 -2050 192 @
-387 -1686 384 @
404 -1769 384 @
-41 -1473 128 @
-492 -1753 144 @
-215 -1894 144 @
-439 -2032 192 @
-11 -2384 192 @
1460 -2115 192 @
1159 -831 128 @
-5 -188 128 @
-513 -394 86 @
-762 -386 256 @
-361 -185 128 @
349 -180 128 @
-1156 -739 384 @
-1154 -801 128 @
-13 -154 384 @
-30 -809 128 @
873 -382 74 @
-333 -157 384 @
331 -161 384 @
-700 -160 384 @
1116 -2532 192 @
-13 -154 661 "Factory Yard Net"
-22 -154 571 @
132 -1856 384 "Fan"
-51 -1737 420 @
-64 -1558 470 @
0 -74 758 "Fan Entrance Way"
-59 -979 635 "Flying..."
-27 -425 639 @
-62 -1381 530 @
329 373 768 "Health and Ammo Cabinets"
-311 378 768 @
-489 -1902 144 @
4 1067 776 "North Elevator"
4 1067 986 @
6 2645 976 "Prototype"
1 2477 976 @
-444 747 128 "Ramp Room"
-13 833 120 @
442 760 128 @
399 379 128 @
-396 372 128 @
0 362 256 @
399 402 448 @
369 826 448 @
26 826 448 @
-368 842 448 @
-372 377 448 @
-13 231 456 "South Elevator"
13 228 778 @
529 1291 128 "Steelplant"
-531 1280 128 @
12 1445 128 @
507 2118 90 @
376 2354 109 @
214 2469 112 @
487 2477 128 @
416 2633 128 @
7 2680 128 @
-414 2626 128 @
-494 2497 128 @
-391 2379 127 @
-245 2472 118 @
-528 2118 87 @
2 2110 161 @
-353 2619 976 "Steelplant Catwalk"
-494 2501 976 @
-434 2278 976 @
-436 1695 976 @
-355 1319 976 @
0 1261 976 @
399 1318 976 @
445 1684 976 @
456 2264 976 @
499 2477 976 @
378 2611 976 @
2 2339 976 @
9 2911 976 @
1 998 120 "Steelplant Corridors"
-434 1039 128 @
-697 1237 128 @
457 1039 128 @
696 1242 128 @
-397 2276 776 "Steelplant Crane"
-19 2280 776 @
371 2275 792 @
407 1698 776 @
52 1689 776 @
-400 1694 792 @
22 1633 448 "Steelplant Crates"
376 2493 973 "Steelplant Elevator"
376 2493 499 @
376 2493 159 @
-372 2506 133 @
-372 2506 456 @
-372 2506 982 @
-378 2491 761 @
382 2481 777 @
2 1267 560 "Steelplant Pipes"
388 1246 593 @
-407 1241 600 @
-323 2698 445 "Steelplant Tanks"
316 2686 444 @
-335 516 768 "Upper Ramp Room"
-10 389 768 @
362 501 768 @
349 800 768 @
-2 874 768 @
-331 796 768 @
-935 -380 80 "Well Grate"
-1173 -378 80 "West Water Tunnel"
-1244 0 47 @
-1235 369 -114 @
-1239 972 -110 @
-1242 1316 84 @
-1245 1846 88 @
-726 2103 90 @
1046 -380 69 "^1h4x0r"
