/////////////////////////////////////////////////////////
// Map name       Storage Facility FP                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    07-08-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1450 -1314 -255 "Allied Bunker"
-1823 -984 32 @
-903 -1835 -213 @
-303 -1332 -255 @
-132 -1018 -255 @
-649 -1021 -255 @
-347 -861 -255 @
351 -956 -415 @
1343 -6922 -71 "Axis Bunker"
1729 -5940 -79 @
1343 -6922 -353 "Cave Corridors"
419 -6069 -362 @
-2124 -4882 -207 @
-103 -5976 -351 @
77 -5671 -351 @
-1214 -5528 -468 @
353 -1107 -415 "East Bunker Corridor"
79 -2471 -463 @
-256 -3759 -411 "Elevator Cave"
40 -2931 -519 @
-368 -2938 -595 @
-541 -3338 -411 @
40 -3339 -411 @
-241 -3373 -131 "Elevator Shaft"
-1440 -3620 63 "Forward Bunker"
-1839 -3255 64 @
-2127 -3915 64 @
-1762 -3863 68 @
-2355 -3889 -127 "Generator"
-1209 -4584 -127 "Health and Ammo Cabinets"
-341 -1017 -255 "Health and MP40 Racks"
-2133 -4685 -127 "Main Bunker"
-1826 -4873 -127 @
-2135 -4037 48 @
-1934 -4066 -127 @
-699 -4923 -127 @
283 -4024 -127 @
398 -4930 -127 @
-88 -5102 -127 @
-194 -5553 -95 @
-520 -5212 -127 @
-1644 -4068 -127 @
-113 -2099 -255 @
-509 -2876 -127 @
-1143 -3604 -127 @
-1119 -4275 -126 @
-905 -4673 -127 @
-685 -4590 -127 @
-242 -3614 -127 @
27 -3342 -127 @
-517 -3386 -127 @
170 -4332 -127 @
33 -4164 -127 @
-885 -2327 -303 "Main Bunker Stairwell"
-960 -2851 -143 @
930 -5414 -226 "Main Generator"
1724 -5765 -79 "Main Generator Area"
1313 -5112 -79 @
930 -5414 -79 @
411 -5451 -75 @
409 -5119 -79 @
-1832 -3088 87 "North Hills"
-1802 -2479 81 @
-2193 -2055 108 @
-1453 -1561 -236 "North Valley"
-1957 -984 36 @
-884 -2125 -269 @
-900 -1937 -243 @
-298 -1468 -233 @
-626 -1829 -230 @
-1798 -2348 -204 @
-2063 -2059 -200 @
-112 -1924 -221 @
-254 -5108 -351 "Radio Station"
-112 -5844 -351 @
-61 -5670 -351 @
97 -988 -255 "Secret Documents"
-494 -2927 -574 "Small Cave"
-918 -2928 -531 @
-1440 -3620 -127 "Storage Room"
-2132 -3819 -127 @
-1935 -3960 -123 @
-1644 -3961 -123 @
-252 -4973 -351 "Tank Garage"
-243 -3921 -398 @
-530 -4919 -127 @
-85 -4971 -127 @
-557 -4593 -351 @
-557 -4593 -127 @
33 -4332 -127 @
1448 -4333 -79 "Transmitter"
420 -4021 -139 "Transmitter Valley"
1459 -4342 -392 @
1317 -4993 -103 @
1038 -4477 -237 @
