/////////////////////////////////////////////////////////
// Map name       Operation Storehouse                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    12-02-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3794 -5987 369 "Allied Spawn"
1748 5238 1438 "Are You Feeling Lost?"
3483 3647 1488 @
3701 3142 1526 @
3728 3436 1493 @
3343 5130 1532 @
-2534 4454 1608 "Axis Spawn"
-2535 4034 1608 @
-3288 4054 1633 @
-3290 4455 1608 @
-3021 -5197 856 "Barrack"
-3343 -5197 856 @
-3390 -5711 856 @
-3051 -5482 856 @
-3086 -5671 1028 @
812 -5732 565 "Barrack Hill Path"
279 -6400 768 @
-839 -6381 1019 @
-2261 -6347 991 @
-782 5839 1421 "Behind Storehouse"
-2038 5601 1442 @
900 -3276 628 "Bunker Entrance"
-2661 530 1744 "Bunker Spawn"
-3131 522 1744 @
-3160 850 1744 @
-3086 -5671 856 "Command Post"
-1220 2044 1648 "Documents"
-1532 2091 1664 "Documents Room"
-1215 2309 1664 @
-832 2274 1872 "Documents Room Hallway"
-828 2675 1872 @
-843 2083 1760 "Documents Room Stairs"
534 -2936 628 "Forward Bunker"
311 -2702 628 @
332 -1855 628 @
725 -1850 628 @
529 -2492 628 @
821 -1846 1258 "Forward Bunker Elevator"
828 -1846 635 @
332 -1851 1256 "Forward Bunker Exit"
539 -1572 1256 @
733 -1848 1256 @
524 -1461 1240 "Forward Bunker Exit Area"
549 -180 1260 @
1061 9 1388 @
362 -3448 800 "Forward Bunker Roof"
602 -3431 802 @
691 -3146 832 @
900 -3275 820 @
611 -3433 628 "Forward Bunker Spawn"
359 -3441 628 @
528 -3069 628 @
683 -3136 628 @
211 -1855 632 "Forward Bunker Stairwell"
202 -1856 1256 @
676 -2488 628 "Generator"
565 -88 1624 "Guard Tower"
479 340 1624 @
740 309 1624 @
1061 9 1660 "Guard Tower Bridge"
479 446 1592 "Guard Tower Stairs"
62 -2574 628 "Health and Ammo Cabinets"
-836 3175 1872 @
-739 2948 1872 @
-3424 -2370 1512 "Hill MG Nest"
-2947 -1183 1528 "Hills"
-3400 -2071 1612 @
-2681 -2152 1606 @
-3432 -2485 1370 @
-3343 -3316 1070 @
-2484 -2833 1156 @
-3091 -3364 961 "Hills Gate"
-2534 4454 1448 "Lower Axis Spawn"
-2535 4034 1448 @
-3288 4054 1448 @
-3290 4455 1448 @
-2146 253 1424 "Main Entrance"
-3444 276 1744 "Main Entrance Bridges"
-3916 304 1744 @
-2149 242 1744 @
-2531 439 1712 @
-1847 273 1744 @
-1206 269 1744 @
-2684 433 1744 "Main Entrance Bunker"
-3127 405 1744 @
-3230 519 1744 @
-3237 851 1744 @
-2992 107 1744 @
-3308 276 1744 @
-1729 270 1744 @
-1324 267 1744 @
-1541 91 1744 @
-1521 240 1424 "Main Entrance Door"
-3179 924 1424 "Main Entrance Garage"
-2531 605 1600 "Main Entrance Stairs"
-3464 751 1568 @
-483 3145 1508 "Offices"
75 3147 1508 @
255 3913 1508 @
463 3915 1508 @
625 3431 1508 @
403 2965 1508 @
594 3664 1508 @
83 3784 1508 @
