/////////////////////////////////////////////////////////
// Map name       -=OC=- Sub Base                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    06-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2449 2038 -95 "Allied Barracks"
2588 1755 -95 @
256 -563 40 "Allied Bunker Defences"
4311 -2702 -175 "Axis Hut"
4112 -2908 -175 @
4112 -2908 -39 @
4278 -2684 -39 @
3977 -2993 -175 @
4202 -2701 -39 "Axis Hut Balcony"
4190 -2472 -39 @
4111 -2820 -39 @
4202 -2701 -175 "Axis Hut Courtyard"
4188 -2472 -203 @
4111 -2820 -175 @
3887 -2992 -181 @
3019 -3560 -175 @
4035 -3804 -181 @
-397 -1984 -79 "Base Courtyard"
-11 -2164 -87 @
378 -2204 -89 @
1283 -1590 -49 @
1052 -2190 -87 @
839 -2372 -87 @
831 -2077 -87 @
102 -1080 14 @
324 -965 24 @
540 -566 40 @
1341 -440 56 @
1169 -802 56 @
1035 -564 32 @
-444 -993 32 @
-454 -1175 40 @
-696 -1391 2 @
-631 -2144 -16 @
649 -1052 2 @
-157 -1874 -87 @
-1069 -1751 -39 @
-916 -1990 -31 @
516 -890 25 "Base Courtyard MG42"
1579 -2687 -87 "Bridge"
1411 -2548 -87 @
1187 -2324 -87 @
713 -2272 -87 "Bridge House"
634 -2390 -232 @
480 -2248 -85 @
2812 -3552 -173 "Bridge Road"
2172 -3239 -147 @
1762 -2875 -98 @
1710 -3492 176 "Bridge Watchtower"
1712 -3500 -87 @
2197 682 -343 "Command Post"
-1711 -2861 -15 @
2388 999 -365 "Crane Room"
2486 648 -375 @
2858 1407 -375 @
2487 1373 -375 @
2588 1755 -231 "Crane Room Stairwell"
2855 1618 -375 @
397 622 -271 "Electronics Room"
702 620 -271 @
1717 2497 -355 "Enigma Machine"
1199 1182 -271 "Facility Control Room"
431 -567 40 "Facility Entrance"
259 -867 40 @
97 -971 40 @
-266 -713 40 @
-265 -512 40 @
-619 -801 40 @
-568 -1172 40 @
-597 -989 40 "Facility Entrance MG42"
-266 180 -223 "Forward Spawn"
-708 219 -103 @
-278 -373 40 @
157 1219 -342 "Generator Room"
383 1498 -343 @
92 1514 -343 @
-303 -2357 -63 "Health and Ammo Cabinets"
-1262 -1749 -39 "Main Entrance"
-3039 -1643 -399 "Ocean"
-2416 -837 -398 @
-1962 435 -369 @
-1349 946 -406 @
-886 1634 -418 @
-568 1940 -409 @
-544 2551 -407 @
-738 2794 -432 @
-717 2238 -398 @
-714 1686 -390 @
-566 1776 -409 @
-561 2103 -411 @
-556 2397 -406 @
-547 2708 -404 @
4457 -1806 -39 "Pier"
3729 -1785 -39 @
4463 -1935 -39 "Pier Tunnel"
4451 -2339 -39 @
-183 2245 -343 "Rear Entrance"
1579 -2687 -224 "River"
1411 -2548 -215 @
1187 -2324 -212 @
1843 -2065 -202 @
3704 -1603 -190 @
4484 -1605 -213 @
2232 -2018 -219 @
714 -2464 -215 @
869 -3389 -225 @
-24 -2918 -218 @
2373 -2295 -34 "River Bank"
1098 -3500 -91 @
-62 -2594 15 @
479 -2454 -15 @
-1955 -1751 -39 "Storage Area"
-859 228 -103 @
-2846 -1821 -59 @
-2203 -897 -138 @
-1769 88 -137 @
-1076 972 -273 @
-830 1461 -331 @
-513 1354 -327 @
-1793 -2267 -39 @
-1669 -2447 1 @
-2018 -2691 -24 @
-1886 -2441 -47 @
-922 -2108 -31 "Storage Area Corridor"
-1660 -2263 -31 @
2081 1533 -343 "Sub Pen"
1990 2245 -343 @
2074 2780 -305 @
1687 2803 -343 @
1568 2500 -350 @
1705 2540 -572 @
1697 2208 -343 @
996 2232 -343 @
474 2236 -343 @
96 2239 -343 @
81 2555 -364 @
-157 2829 -343 @
58 1975 -381 @
1218 1522 -343 @
1636 1622 -343 @
926 1768 -518 @
2196 1544 -243 "Sub Pen Catwalk"
2196 2246 -243 @
2195 2789 -243 @
261 -404 40 "Sub Pen Entrance"
682 247 -207 @
1186 429 -248 @
210 267 -127 @
21 506 -326 @
-192 274 -241 @
-219 1955 -381 "Sub Pen Gate 1"
-192 2572 -364 "Sub Pen Gate 2"
697 2234 -343 "Sub Pen Gate Switch"
-545 2840 -343 "Sub Pen Rear"
-266 2833 -343 @
-564 2236 -343 @
-553 1651 -343 @
2347 2253 -239 "Sub Pen Stairwell"
2442 2152 -95 @
916 1467 -343 "Sub Pen Storage"
498 1497 -343 @
159 1097 -343 @
771 1174 -343 @
1177 818 -271 @
1472 656 -275 @
1185 553 -271 @
838 624 -271 @
281 626 -294 @
117 610 -343 @
933 1592 -338 @
-398 -2127 -63 "Supplies Bunker"
-170 -2171 -63 @
1643 1227 -343 "Tracks Room"
2129 1349 -343 @
2206 986 -365 @
1901 672 -375 @
1599 649 -343 @
1517 931 -343 @
1294 -813 64 "Transmitter"
1342 -554 64 @
-1645 -2692 -15 "West Bunker"
-1891 -2688 -15 @
