/////////////////////////////////////////////////////////
// Map name       Summer Palace B1                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
32 -3023 656 "Allied Side"
566 -2949 656 @
965 -2933 656 @
1859 -3002 656 @
1287 -3036 656 @
1538 -3797 656 @
1534 -4127 656 @
565 -4127 656 @
567 -3815 656 @
-350 -2992 656 @
-916 -2981 656 @
-1333 -2979 656 @
-1861 -2977 656 @
-615 -3111 656 @
41 -3506 656 @
303 -3884 656 @
-228 -3941 656 @
1411 -3830 656 "Allied Spawn"
1409 -4137 656 @
700 -3823 656 @
688 -4142 656 @
-1773 -337 664 "Axis Spawn"
-1674 320 664 @
-1778 478 664 @
-1552 321 664 "Axis Spawn Hallway"
-546 205 664 @
836 1859 1000 "Balcony Entrance"
688 1863 1000 @
43 -2427 656 "Bridge"
34 -2880 656 @
-1200 180 176 "Catacombs"
-1082 -1376 109 @
-1760 -2452 210 @
-1436 -2464 208 @
398 208 656 "Command Post"
-1091 1862 675 "East Radar Parts"
34 -3826 656 "Getaway Truck"
-941 -1375 77 "Lower Catacomb Tunnels"
-40 -1404 -175 @
-40 493 -367 @
1756 512 -367 @
1743 1643 -127 @
780 1702 -63 @
1870 -2885 361 "Moat"
1781 -2530 324 @
1454 -2536 320 @
1080 -2418 389 @
603 -2446 339 @
22 -2453 314 @
1113 -2887 349 @
708 -2902 344 @
35 -2826 289 @
-409 -2831 273 @
-902 -2845 231 @
-1240 -2887 210 @
-1871 -2893 212 @
-1767 -2621 208 @
-1444 -2638 208 @
-1193 -2433 220 @
-866 -2431 268 @
-461 -2409 315 @
-919 -2902 556 "Moat Ladder"
-498 -2898 544 @
772 1851 -63 "North East Cellars"
1114 2148 140 @
-1531 1006 664 "North East Hallway"
-1779 605 664 @
1118 2017 152 "North East Stairs"
953 1857 1000 @
-1195 338 176 "North West Cellars"
-1199 822 176 @
-1382 1013 640 "North West Stairwell"
-1202 952 160 @
-1092 1377 640 @
32 -1097 699 "Obelisk"
33 229 656 "Palace Arches"
197 198 656 @
229 74 656 @
40 78 656 @
-145 79 656 @
-345 81 656 @
-427 209 656 @
-1181 -1085 656 "Palace Courtyard"
-1103 -514 656 @
-352 -66 656 @
-151 -66 656 @
28 -69 656 @
235 -72 656 @
428 -75 657 @
1173 -1531 656 @
620 -2291 656 @
697 -1746 656 @
32 -2306 656 @
-475 -2317 656 @
-886 -2315 656 @
-1344 -2478 656 @
-1855 -2503 656 @
-289 -1085 656 @
19 -1380 656 @
328 -1085 656 @
40 -790 656 @
983 -2324 632 @
1384 -2492 656 @
1852 -2506 656 @
-559 -522 656 @
-787 1855 640 "Palace Dining Room"
-1090 1495 640 @
-1096 2021 640 @
-1286 1857 640 @
-1087 1731 640 @
-650 1857 640 "Palace Garden"
-379 1156 640 @
518 1200 640 @
516 2326 640 @
-589 2332 640 @
-95 2309 640 @
515 1819 640 @
-53 1636 642 @
137 1763 642 @
-278 1814 640 @
-57 2046 642 @
517 1861 1000 "Palace Garden Balcony"
499 2317 1000 @
13 2310 1000 @
-624 2295 1000 @
-609 1812 1000 @
-594 1192 1000 @
-143 1203 1000 @
512 1211 1000 @
29 360 656 "Palace Main Entrance"
-384 995 656 @
-1332 -1085 664 "Palace West Entrance"
-934 -191 656 "Water Pump 1"
991 -2037 656 "Water Pump 2"
-1467 -1085 664 "West Hallway"
-1773 -451 664 @
-51 1866 642 "West Radar Parts"
