/////////////////////////////////////////////////////////
// Map name       Svarvadel                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1862 84 64 "Ammo Cabinets"
119 38 0 "Ammo Crates"
-708 1715 120 "Cannon Ammo"
-877 1656 -30 "Cannon Ammo House"
-499 3035 75 "Cannon Area"
-1736 2992 112 @
-1871 2713 -41 @
-2127 2460 -42 @
-2163 2064 -47 @
-1769 1747 -44 @
-1427 1262 -22 @
-761 1222 23 @
-1188 1341 -11 @
-768 1319 7 @
-2370 2756 112 @
-1187 2368 -55 @
-1244 1752 -37 @
2232 104 66 "Church Ruins"
3463 -1517 104 @
3870 -499 283 @
3704 -35 344 @
2866 392 193 @
2674 378 142 @
2110 346 64 @
2414 -1821 171 @
1996 -1350 80 @
2387 -784 67 @
2451 -263 80 @
522 1464 64 "Citadel Alley"
499 974 64 "Citadel Area"
504 -263 64 @
-340 -312 64 @
-397 864 98 @
-41 702 43 @
-210 379 64 @
531 260 64 @
-28 1057 41 "Citadel Barrier"
1259 1454 64 "Citadel Guard House"
1920 304 176 "Citadel Hotel"
1891 708 176 @
1669 248 64 @
1866 108 176 @
2010 -803 53 "Citadel Hotel Area"
2044 -247 64 @
1114 -667 53 @
914 -981 64 @
850 -185 64 @
857 498 64 @
864 1149 64 @
874 1450 64 @
1442 541 64 @
1390 1001 64 @
1380 112 64 @
1624 -110 64 @
2464 986 203 "Citadel Hotel Back"
2583 557 140 @
2071 589 128 @
2018 915 196 @
1647 599 176 "Citadel Hotel Balcony"
1615 1103 176 "Citadel Hotel Exit"
-1011 978 64 "Citadel Tunnel"
-607 989 64 @
-524 123 -15 @
-516 -265 -15 @
-535 -392 64 @
-516 418 64 "Citadel Tunnel Exit"
598 1767 36 "Command Post"
750 2189 121 "Command Post Area"
762 1807 44 @
411 1768 29 @
210 1328 41 @
-270 1369 14 @
-315 1732 -11 @
-348 2141 -5 @
-2417 2767 256 "Gun Control"
-2083 2872 112 "Gun Control Ladder"
-5296 1792 424 "Lake Area"
-4475 1110 -47 @
-2554 1108 -47 @
-2635 2797 -21 @
-2643 2146 -47 @
-3388 2645 -37 @
1362 2490 362 "North East Hills"
2043 1546 247 @
1709 1332 94 @
796 2591 248 @
-2923 3144 61 "North Hillside"
-1409 3331 68 @
-2354 3296 60 @
-1733 3338 67 @
-798 3327 174 @
51 3397 417 @
-393 3341 305 @
-3477 2911 12 @
-930 1944 -47 "The Scaffolding"
-3808 -608 -95 "Village"
-3428 651 -131 @
-1653 749 -51 @
-930 -998 -47 @
-726 -108 -64 @
-767 670 6 @
