/////////////////////////////////////////////////////////
// Map name       SW Cathedral B7                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    15-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3435 -782 552 "^1Command Post"
5378 -714 352 "^1East Radar Module"
2773 -1550 96 "^1Main Door"
2894 -756 552 "^1Side Door"
4555 -2802 312 "^1West Radar Module"
-1387 1255 88 "^3Allied Start"
-1114 940 80 @
-1108 1364 80 @
-1432 1559 87 @
5704 -1654 200 "^3Axis Spawn"
6308 -2055 284 @
5959 -2070 284 @
6725 -1775 200 @
3264 -3665 440 "^3Barracks"
3409 -3868 440 @
3411 -4124 440 @
836 1441 -191 "^3Catacomb Stairs"
777 956 48 @
-1432 1559 -223 "^3Catacombs"
-1411 1258 -223 @
-62 1655 -255 @
837 1586 -255 @
-1118 735 80 "^3Central Nave"
-1186 -602 80 @
-796 -1628 80 @
-358 -2062 80 @
-55 -2050 80 @
357 -1642 80 @
479 -856 80 @
855 696 80 @
450 1853 80 @
-188 1943 80 @
-860 1887 80 @
-870 1378 80 @
-178 -1076 112 @
-208 -272 112 @
-192 309 80 @
-175 1130 80 @
470 881 80 @
876 -483 80 @
3455 -411 552 "^3Command Post Hallway"
3798 -594 552 @
3168 -977 552 "^3Command Post Room"
3239 -613 552 @
5961 -2595 448 "^3Convention"
5960 -2780 448 @
6315 -2592 448 @
6317 -2350 404 "^3Convention Stairs"
4331 -4047 168 "^3Courtyard"
3416 -1729 552 @
3263 -3508 440 @
3244 -3145 424 @
4229 -2793 254 @
4330 -3037 273 @
4567 -3119 236 @
4801 -3031 235 @
4908 -2800 224 @
4804 -2586 262 @
4573 -2466 237 @
4345 -2570 249 @
4530 -4046 168 @
5077 -4055 200 @
5228 -3832 200 @
3665 -4068 88 @
3643 -3539 88 @
3231 -3317 88 @
2772 -3338 88 @
3495 -2944 88 @
3520 -2497 88 @
4357 -1718 552 @
4581 -1823 200 @
4868 -1672 200 @
5777 -3807 200 @
5515 -3782 200 @
5787 -3409 200 @
5784 -3008 200 @
5768 -2635 200 @
5755 -2356 208 @
5535 -2232 200 @
5564 -2001 200 @
5540 -1621 200 @
5034 -1042 200 @
5082 -902 200 @
5047 -679 200 @
5629 -715 200 @
5406 -498 200 @
5385 -933 320 @
3991 -603 552 @
4351 -1323 552 @
3408 -2895 424 @
3489 -1848 88 @
5978 -1638 448 "^3Courtyard Lookout"
5738 -1653 464 @
5957 -3833 448 @
5962 -3439 448 @
5970 -2953 448 @
5965 -2373 448 @
5955 -2071 448 @
4325 -4837 176 "^3Courtyard Spawn"
4313 -4263 168 @
4588 -4847 168 @
638 -2706 80 "^3Forward Spawn"
671 -2020 80 @
354 -1920 80 @
-658 1985 848 "^3Gallery"
-659 562 848 @
275 2040 848 @
293 558 848 @
1016 504 848 @
1035 -412 848 @
260 -414 848 @
267 -1682 848 @
-660 -1637 848 @
-678 -632 848 @
1106 -2416 80 "^3Gazebo"
1119 -1961 80 @
1127 -1537 80 @
1105 -913 80 @
1830 -904 80 @
2634 -930 80 @
2656 -1325 80 @
2637 -1746 80 @
2685 -2455 80 @
2438 -1529 96 @
2040 -2514 96 @
660 -2819 96 "^3Gazebo Corridor"
2042 -2658 96 @
1395 -2936 96 @
913 -2386 96 "^3Gazebo Hallway"
898 -2048 96 @
3263 -1547 88 "^3Main Door Corridor"
3486 -1672 88 @
2948 -2379 88 "^3Main Door Hallway"
2950 -1741 88 @
3247 -1924 96 @
3246 -2385 96 @
3245 -2988 96 @
2948 -2565 138 "^3Main Door Stairs"
3011 -2897 360 @
3191 -3036 424 @
850 -1521 80 "^3Nave Hallway"
676 -853 80 @
5747 -1464 448 "^3North Stairs"
5732 -1169 320 @
1956 6 80 "^3Side Door Corridors"
1750 -707 80 @
1045 -472 80 @
1260 -747 552 "^3Side Door Hallway"
2015 -468 552 @
2515 -749 552 @
1980 -332 552 "^3Side Door Stairwell"
1964 -132 104 @
4715 -4847 168 "^3South Corridor"
5407 -4452 344 @
3417 -4288 432 "^3South Hallway"
3862 -4290 432 @
4358 -4296 432 @
4751 -4300 432 @
5217 -4292 432 @
5414 -3974 360 @
5967 -4038 360 @
5401 -4335 360 @
5747 -1898 416 "^3South Stairs"
5748 -2210 272 @
4487 -1335 552 "^3Study"
4715 -1340 552 @
4723 -1637 552 @
4515 -1662 552 @
-180 -2238 80 "^3Supply Cabinets"
