/////////////////////////////////////////////////////////
// Map name       SW Gold Rush                         //
// Locations by   RivrStyx                             //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    15-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
144 -624 -144 "^3Alley"
608 -624 -240 @
944 -664 -288 @
-3608 -160 0 "^3Allied Start"
-3136 264 0 @
-2976 -768 0 @
-2264 384 0 @
-1904 -824 0 "^3Allied Start MG"
-1528 -1584 0 @
-1096 -1800 0 @
2648 -864 -328 "^3Axis Spawn"
2952 -880 -336 @
2952 -1536 -368 "^3Axis Spawn Arch"
1520 -2080 -280 "^3Bank"
2008 -2080 -320 @
2504 -2080 -320 @
2048 -2448 -320 @
2544 -2448 -320 @
1512 -2384 -280 @
1288 -2144 -336 @
1696 -2088 -280 @
1688 -2392 -280 @
896 -2144 -320 "^3Bank Arch"
1072 -2488 -360 @
1808 -120 -328 "^3Bank Courtyard"
2144 -448 -352 @
2120 -952 -328 @
2176 -1600 -328 @
1568 -1592 -328 @
936 -1664 -328 @
1104 -1072 -328 @
1416 -632 -328 @
1568 -1016 -328 @
1424 -2680 -328 "^3Bank Rear"
1704 -2680 -320 @
2016 -2776 -320 @
2256 -2792 -320 @
2656 -2792 -360 @
2992 -2432 -400 @
1568 -2648 -328 @
2944 304 -264 "^3Bridge"
2648 88 -80 @
2192 32 64 @
1552 48 56 @
1832 -112 72 @
1224 384 264 "^3Command Post Room"
1344 400 8 @
-2192 1312 208 "^3Depot Main"
-1864 1696 208 @
-1152 1088 360 @
-1168 1752 400 @
-792 1760 392 @
-1216 2128 408 @
792 872 144 "^3Depot Rear"
784 1416 264 @
680 1936 288 @
40 1960 328 @
-1176 488 296 "^3Depot Side"
-600 440 280 @
-592 736 344 @
-560 920 344 @
-96 944 344 @
-120 1280 344 @
-712 1256 344 @
288 944 168 "^3Forward Spawn"
392 944 176 @
-768 -1640 -40 "^3H and A Courtyard"
-752 -1000 -16 @
-104 -872 -96 @
-216 -1568 -88 @
-144 -464 -64 @
-1144 -840 112 @
-336 1960 344 "^3Tank Depot"
-680 2720 376 @
-96 2592 344 @
88 3368 424 @
-344 3544 424 @
-616 2408 416 @
8 -192 392 "^3Tower Bridge"
488 -184 384 @
992 -160 376 @
1400 696 -8 "^3Truck Courtyard"
1808 368 -320 @
2240 992 -264 @
2936 880 -280 @
32 -40 56 "^3Tower"
512 -32 8 @
952 -8 -8 @
800 600 48 @
448 488 48 @
-48 448 136 @
