/////////////////////////////////////////////////////////
// Map name       SW Gold Rush TE                      //
// Locations by   RivrStyx                             //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    10-10-2010                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1362 352 224 "^1Command Post"
1120 314 224 @
2482 -2244 -315 "^1Gold Bars"
778 326 25 "^1Tank Barrier"
1822 30 -351 "^1Truck Barrier"
-3501 -215 -49 "^2Allied Spawn"
2703 -850 -395 "^2Axis Spawn"
108 707 120 "^2Forward Spawn"
466 883 176 @
-61 2991 360 "^2Tank Depot Spawn"
-647 3515 426 @
4 3667 432 @
2952 -1536 -368 "^3Axis Spawn Arch"
41 -179 288 "^3Balcony"
513 -175 272 @
1015 -171 224 @
1113 93 224 @
-138 0 204 "^3Balcony Stairs"
2008 -2080 -320 "^3Bank"
2048 -2448 -320 @
2283 -2247 -311 @
2485 -2507 -311 @
2473 -1981 -311 @
474 -385 -234 "^3Bank Alley"
144 -624 -144 @
824 -674 -322 @
2127 -2773 -348 "^3Bank Alleyway"
3029 -2151 -399 @
1072 -2488 -360 "^3Bank Arch"
1031 -2123 -351 @
2120 -952 -328 "^3Bank Courtyard"
1416 -632 -328 @
1806 -504 -351 @
1114 -714 -351 @
1591 -1577 -348 @
1074 -1767 -343 @
1984 -1757 -349 @
1599 -1867 -287 "^3Bank Doors"
1688 -2392 -280 "^3Bank Lobby"
1478 -2346 -311 @
1605 -2074 -287 @
1511 -2544 -351 "^3Bank Rear"
1686 -2543 -351 @
1326 -2345 -319 "^3Bank Side Room"
1210 -2128 -319 @
2944 304 -264 "^3Bridge"
1391 21 -14 @
1822 30 -31 @
2242 49 -67 @
1113 93 1 "^3Bridge Arch"
1307 1976 261 "^3Cart"
-129 -356 12 "^3Colonnade Stairs"
-1152 1088 360 "^3Depot Main"
-1168 1752 400 @
-2887 288 -20 "^3Depot Road"
-2264 384 0 @
-1864 1696 208 @
-2192 1312 208 @
-2235 1764 219 @
-1176 488 296 "^3Depot Side"
-600 440 280 @
-560 920 344 @
-96 944 344 @
-764 1757 380 "^3Depot Yard"
40 1960 328 @
-96 2592 344 @
-680 2720 376 @
-120 1280 344 @
-752 -1000 -16 "^3H and A Courtyard"
-216 -1568 -88 @
-1144 -840 112 @
-99 -565 -63 @
92 -960 -151 @
-689 -1671 -55 @
-331 -1881 -147 "^3Health and Ammo"
-1917 2083 216 @
41 -179 76 "^3Lower Colonnade"
508 -175 56 @
1015 -171 8 @
1362 352 -31 "^3Lower Ladder Room"
1120 314 -23 @
474 -385 64 "^3Mezzanine"
1019 -372 8 "^3Mezzanine Access"
-1284 -443 136 "^3Narrow Alley"
-1292 72 200 @
-1622 533 112 @
2648 88 -80 "^3North East Path"
2936 880 -280 @
1278 682 -78 "^3North Stairs"
1393 -172 -91 "^3South Stairs"
487 1989 298 "^3Tank Road"
784 1416 264 @
792 872 144 @
448 488 48 "^3Tower"
100 521 105 @
30 0 84 @
-116 343 127 @
517 -27 49 @
931 76 4 @
1808 368 -320 "^3Truck Courtyard"
2240 992 -264 @
1727 1132 -336 @
-3310 -1196 -31 "^3Truck Escape"
-1904 -824 0 "^3Truck Path"
-1528 -1584 0 @
-1096 -1800 0 @
-2869 -789 -27 @
-1922 -1329 33 @
-1781 -1757 156 "^3Truck Path MG42"
