/////////////////////////////////////////////////////////
// Map name       TC Base                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 23                //
// Last edited    20-10-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
892 -57 384 "^1Command Post"
120 2406 400 "^1North Radar [01]"
502 431 400 "^1South Radar [02]"
-2592 -960 368 "^2Allied Spawn"
-2708 -358 384 @
-2599 -718 368 @
-2732 -1493 368 @
-2687 -1248 368 @
3144 2145 128 "^2Axis Spawn"
3120 1731 128 @
2645 1741 128 @
-2553 -591 144 "^3Allied Crates"
-2608 -1273 120 @
-1577 1407 128 "^3Allied Supply Cabinets"
2830 1972 64 "^3Axis Crates"
2802 2252 64 @
2581 2193 64 @
2026 3024 64 "^3Axis MG42"
1755 3084 128 "^3Axis Supplies"
1379 3059 400 "^3Axis Supplies Roof"
1789 3112 400 @
1384 3038 128 "^3Axis Supply Cabinets"
2434 2567 64 "^3Axis Warehouse"
2831 2535 64 @
-2137 32 96 "^3Bridge"
-2119 695 96 @
-2344 1860 80 "^3Bridge Bunker"
-2349 2325 80 @
-1953 2397 80 @
-1836 2260 180 "^3Bridge Bunker Stairs"
-2157 2190 288 "^3Bridge MG42"
-2125 1131 72 "^3Bridge Road"
-1967 1738 72 @
-1656 1916 72 @
969 2629 128 "^3Bunker Entrance"
-535 -719 96 "^3Lower Office"
1456 2024 384 "^3Middle Bunker"
1761 2204 384 @
1002 1384 384 "^3Middle Bunker Crates"
930 1629 384 @
614 1663 384 @
1745 1764 384 "^3Middle Bunker Terrace"
1634 1375 384 @
1266 1163 384 @
1186 1814 384 @
1433 1706 384 @
789 2775 384 "^3North Radar Entrance"
-173 2323 384 "^3North Radar Hideout"
31 2693 384 @
559 2991 232 "^3North Radar Ramp"
461 3012 337 @
436 2422 384 "^3North Radar Terrace"
878 2383 384 @
1011 2666 384 @
1180 2881 384 @
-167 -633 96 "^3Office Hallway"
58 -312 96 @
551 -660 96 @
620 -155 96 @
-1 -1118 156 "^3Office Stairs"
36 -832 324 @
1377 356 384 "^3Radar Hallway"
1649 750 384 @
1574 1046 384 @
450 2664 384 "^3Radio Equipment"
-28 1984 72 "^3Service Road"
310 1979 72 @
845 1997 72 @
1100 2211 72 @
1505 2468 72 @
1932 2414 72 @
2084 1826 72 @
1957 1394 72 @
1569 1013 72 @
1268 777 128 @
1032 399 72 @
1024 -111 72 @
1733 2779 64 @
2061 2672 64 @
2400 1960 64 @
2317 2202 64 @
956 733 64 @
609 1980 392 "^3Service Road Bridge"
-1128 1981 72 "^3Service Tunnel"
-557 1991 72 @
-1341 2005 72 "^3Service Tunnel Gate"
427 146 384 "^3South Radar Hideout"
555 806 320 "^3South Radar Stairs"
752 643 144 @
774 329 384 "^3South Radar Terrace"
1113 329 384 @
652 652 384 @
-914 -565 360 "^3Upper Hallway"
-331 -575 360 @
-82 -518 360 @
497 -522 360 @
904 -395 360 @
-1125 -1108 360 "^3Upper Office"
-904 -915 360 @
-2212 -1398 96 "^3Warehouse"
-2136 -885 96 @
-1445 -1010 96 @
-1440 -1375 96 @
-1189 -1336 96 "^3Warehouse Hallway"
-843 -1233 96 @
-817 -835 96 @
-1595 556 -361 "^3Water"
-2103 483 -285 @
-2811 538 -229 @
