/////////////////////////////////////////////////////////
// Map name       TC Venice RC2                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-800 1471 -47 "AT Gun"
-2104 -521 -167 "Allied Command Post"
-4279 -909 -103 "Allied Spawn"
-3605 -1004 -103 @
-3991 -606 -103 @
-2579 -1246 -175 @
-2286 -1436 32 @
4291 895 -175 "Axis Command Post"
3630 2451 -175 "Axis Pier"
3603 1876 -175 @
3608 1452 -175 @
3619 905 -175 @
2195 -1883 -175 @
2777 -1558 -175 @
3345 -1113 -175 @
3504 -643 -175 @
3592 -184 -175 @
3606 422 -175 @
1828 -1742 -175 @
3088 -1362 -175 @
2509 -1688 -175 @
1966 -2148 -175 "Axis Pier Hallway"
3262 -2183 -175 @
2593 -2223 -175 @
3451 -1328 -175 "Axis Pier Square"
3050 -1657 -175 @
2710 -1835 -175 @
3295 -1931 -175 @
2866 -1721 -175 @
4754 1698 -159 "Axis Spawn North"
4347 2070 -127 @
2585 -2492 -175 "Axis Spawn South"
4238 1517 -175 "Boiler Room"
4040 1206 -175 "Boiler Room Hallway"
3852 1533 -175 @
4145 763 -175 @
3846 333 -175 @
3826 -535 -175 @
3869 -177 -175 @
3763 -698 -175 @
712 801 -63 "Broken Stairs"
3164 3619 -319 "Canal"
3199 3122 -294 @
3232 2501 -319 @
3229 1795 -280 @
3225 1067 -274 @
3222 399 -276 @
3209 -244 -273 @
3112 -798 -290 @
2715 -1146 -268 @
2224 -1389 -289 @
789 -2237 -319 @
1301 -1563 -313 @
1176 -1075 -286 @
1179 -641 -310 @
1168 -202 -319 @
1159 336 -283 @
1153 819 -284 @
1127 1102 -319 @
1087 1669 -319 @
1085 2168 -319 @
1370 3033 -317 @
1531 3522 -279 @
1618 3791 -319 @
3118 -469 -319 @
2030 4725 -319 @
2501 4730 -305 @
3261 4701 -266 @
3234 4331 -288 @
3229 3956 -266 @
1839 -1452 -319 @
1579 -633 -23 "Canal House"
1499 -1009 -39 @
2333 -791 84 @
1973 -792 44 @
2605 -607 -71 @
2502 -352 -55 @
2546 -761 84 "Canal House Balcony"
1845 -1446 -83 "Canal House Bridge"
1473 -1224 -71 "Canal Pier"
2180 -1084 -103 @
2506 -874 -103 @
2843 -764 -103 @
2876 -370 -159 @
2855 76 -159 @
1835 -1209 -103 @
-246 -2224 -31 "Church Alley"
-250 -1443 -31 @
986 -260 -27 "Church Bridge"
1313 -258 -31 @
1463 432 -103 "Church Bridge Pier"
1462 1103 -159 @
1340 1490 -159 @
850 -786 57 "Church Ladder"
887 -863 -95 "Church Pier"
974 -741 -195 @
550 -622 8 "Church Square"
-349 -358 -31 @
38 -6 -31 @
270 -801 8 @
-73 -886 8 @
130 -710 8 "Church Square MG"
541 -917 8 "Church Square Radio"
263 -1012 8 "Church Square Supplies"
857 -693 184 "Church Window"
1614 2566 -159 "Foot Bridge"
1211 2778 -149 @
817 3779 -159 "Forward Flag"
2128 4113 -175 "Forward Flag Alley"
2501 3893 -159 @
2491 4498 -159 @
1015 4381 -164 @
1832 4715 -159 @
922 2960 -159 "Forward Flag Pier"
1101 3527 -159 @
1232 4079 -159 @
1809 4096 -159 @
4867 4560 -151 "Library"
4954 4984 -151 @
4858 5185 -151 @
4665 5337 -151 @
4488 5196 -151 @
4501 4768 -131 @
4739 4965 -151 @
4494 4482 -135 @
4184 4554 -151 @
4072 4820 -151 @
4045 5109 -135 @
4295 5184 -151 @
4274 4910 -135 @
5052 4601 -151 @
4528 5512 -103 "Library Back Stairs"
4177 5490 -15 @
4825 5541 -15 @
2966 2801 -103 "Library Bridge"
3377 2822 -79 @
4499 4045 -143 "Library Doors"
4755 2617 -159 "Library MG"
4015 4751 96 "Library Side Wall"
3661 2821 -159 "Library Square"
4376 2806 -159 @
5340 2659 -159 @
5285 4033 -159 @
4797 3912 -159 @
4463 3789 -159 @
4163 3971 -159 @
3706 4354 -159 @
3758 3961 -159 @
3679 3370 -159 @
