/////////////////////////////////////////////////////////
// Map name       Escape 2                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    27-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2405 778 0 "Barracks"
-4228 732 180 "Bridge"
-4740 728 120 @
-4249 867 -32 "Bridge Ladder"
-4852 1569 -103 "Castle Cellars"
-4748 2269 -103 @
-5328 1998 -23 @
-5188 2262 -23 @
-5843 2421 120 "Castle Cellars Stairwell"
-5344 2284 -23 @
-5244 733 120 "Castle Courtyard"
-5283 1349 -7 @
-5173 233 152 @
-5988 294 120 @
-5644 1311 200 @
-5969 1301 264 @
-5527 1302 -7 @
-4730 1557 -103 "Castle Entrance Yard"
-4506 695 -263 @
-4617 375 -259 @
-4615 943 -263 @
-4286 1002 -199 @
-4245 259 -231 @
-4226 1618 -231 @
-5998 2017 264 "Castle Spawn"
-5773 1846 264 @
-5638 1604 264 "Castle Spawn Exit"
-5663 1836 264 @
-5278 1443 264 "Castle Terrace"
-5640 1485 264 @
-5967 1451 264 @
-5463 1867 160 "Castle Ventilation"
-5283 1626 184 @
-5655 1299 -7 "Castle Wolfenstein"
-6146 874 -135 @
-6490 850 -135 @
-6442 2005 -135 @
-6216 2438 -75 @
-5995 2424 120 @
-6001 2152 232 @
-3311 1305 192 "Command Post"
-2335 1040 0 "Health and Ammo Cabinets"
-5828 -234 -119 "Holy Grail"
-5039 733 136 "Main Gate"
-1283 1156 291 "North Wall"
-1990 1346 240 @
-3794 507 192 "Outer Castle"
-2625 -247 192 @
-2297 310 192 @
-2499 314 192 @
-2624 346 416 @
-2510 94 416 @
-3321 1038 192 @
-3344 309 192 @
-3800 650 192 "Outer Castle Courtyard"
-4076 728 188 @
-3503 1209 192 @
-3566 1018 184 @
-3953 1487 184 @
-4126 258 -231 "Outer Castle Stairwell"
-3798 178 192 @
-6241 1607 -23 "Secret Exit"
-1045 -106 512 "South Wall"
-1503 -148 212 @
-2627 -377 208 @
-2138 -341 416 @
-2011 -567 208 @
-2303 -350 416 @
-943 -47 512 "The Tower"
-1217 597 512 @
-1168 1092 304 @
-1211 316 320 @
-1350 216 64 @
-1498 218 64 "Tower Courtyard"
-2155 1165 0 @
-1363 994 -63 @
-2158 310 176 @
-2133 -210 96 @
-1543 -33 192 @
-2120 834 -63 @
-2299 -173 416 "Tower Courtyard Terrace"
-2496 345 416 @
-2262 311 416 @
-2278 1153 416 @
-4669 699 -251 "Tunnel Door"
-4970 701 -299 "Tunnels"
-5245 483 -328 @
-5444 506 -391 @
-6337 500 -391 @
-5841 519 -391 @
-5841 519 -199 "Tunnels Bridge"
-6596 847 -170 "Tunnels Exit"
-6461 494 -391 @
-4967 452 -327 "Tunnels Stairwell"
-5040 228 152 @
-5837 706 -199 "Tunnels Storage"
-6147 755 -135 @
-5544 683 -199 @
-5833 301 -199 @
-5449 2004 -23 "Wine Cellar"
-5965 1604 -23 @
-5495 1876 -23 @
