/////////////////////////////////////////////////////////
// Map name       Desert Temple Final                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1476 2594 1056 "Allied Side"
-1228 1619 1344 @
-1262 2533 1344 @
-1254 3147 1344 @
-1251 3942 1344 @
-1267 4742 1344 @
-1245 5436 1344 @
-1253 6128 1344 @
-1523 5442 1046 @
-1437 4989 1087 @
-1423 5807 1048 @
-1255 5063 1344 @
-1242 5757 1344 @
-1264 4290 1344 @
-1283 3466 1344 @
-1274 2736 1344 @
-1237 5391 1048 "Allied Side North Arch"
-1245 2601 1058 "Allied Side South Arch"
-1030 2901 1069 "Allied Side Village"
-1034 3355 1248 @
-1010 3941 1284 @
-1085 4780 1278 @
-1071 5094 1134 @
-886 5372 1064 @
-1076 5783 1206 @
-1038 4299 1252 @
-122 5860 1159 @
462 5420 1060 @
250 4717 1044 @
170 3928 1034 @
-215 3689 1057 @
-617 3421 1101 @
-518 3171 1046 @
-309 3005 1055 @
-98 2462 1052 @
-561 2705 1054 @
67 1752 1035 @
-1088 2192 1085 @
-518 1376 979 @
-1006 1324 1198 @
-1012 1708 1089 @
-373 1818 1053 @
-765 1929 1054 @
1445 1575 1042 "Axis Side"
2124 1500 1194 @
2301 1338 1236 @
2513 1267 1253 @
2657 1072 1254 @
2945 1063 1251 @
3060 1254 1257 @
3002 2107 1237 @
2675 2167 1208 @
2524 1957 1180 @
2188 1950 1040 @
2244 2475 1066 @
2268 3023 1049 @
2195 3441 1040 @
2293 3972 1029 @
2415 4398 1033 @
2345 4932 1050 @
2970 4865 1225 @
3478 4601 1559 @
3246 4595 1550 @
3158 4498 1547 @
3143 4296 1557 @
3327 4109 1590 @
3554 4235 1568 @
3587 4494 1563 @
4784 3187 1430 @
4432 2663 1343 @
1412 2605 1014 @
1329 3184 1037 @
1456 3607 966 @
1566 4255 1028 @
1605 4864 1031 @
1808 5408 1043 @
1600 5853 1050 @
2124 5559 1067 @
2651 5791 1169 @
4266 5097 1256 @
3809 4953 1355 @
5027 3151 1433 "Axis Side Arch"
5015 3555 1656 "Axis Spawn"
4982 4446 1600 @
5025 3393 1656 "Axis Spawn Wall"
5032 2717 1656 @
5019 3100 1656 @
-1042 758 256 "Canyon"
-81 1000 305 @
712 1509 286 @
843 2239 307 @
528 3182 313 @
946 4228 302 @
971 4938 312 @
1025 5412 298 @
509 6165 275 @
-495 6398 274 @
1181 5154 349 @
3251 4509 1555 "Canyon Hut"
3472 4485 1563 @
3431 4349 1568 @
3246 4347 1584 @
-296 3334 1056 "Canyon Rope Bridge"
968 3238 980 @
497 3233 971 @
167 2110 1041 "Canyon Tank Bridge"
674 2018 1044 @
1062 2012 1044 @
1459 2020 1044 @
1183 5134 123 "Canyon Tunnel"
1600 5084 131 @
1022 5135 143 "Canyon Tunnel Entrance"
2921 1293 1264 "Church Ruins"
2689 1289 1264 @
2323 1545 1218 @
2658 1974 1218 @
2934 1961 1247 @
2563 1753 1242 @
2776 1295 868 "Church Ruins Ladder"
2776 1295 1063 @
3328 4260 1576 "Command Post"
-3029 -1450 669 "Escape Caves"
-2015 -1543 704 @
-948 -1401 784 @
341 -1217 840 @
-496 -1763 832 @
-78 -1818 856 @
401 -1823 832 @
1198 -532 836 @
1675 15 816 @
2242 418 828 @
2798 1047 810 @
2990 1337 832 @
3533 979 804 @
3461 271 879 @
3962 -150 856 @
4230 -767 1008 @
-713 -1262 792 "Escape Caves Scaffolding"
-151 -1544 792 @
-38 -1337 792 @
-523 -1761 1024 "Floor Breach to Escape Caves"
6794 3489 1060 "Fort"
7586 3404 1075 @
6797 3567 1312 @
7659 3544 1312 @
6399 3533 1312 @
6416 2877 1312 @
6375 2334 1312 @
6378 1767 1312 @
6891 1765 1312 @
7420 1765 1312 @
7248 1753 1111 @
6652 2335 976 @
6628 3048 985 @
7337 3959 1110 "Fort Desert"
7405 4403 1198 @
6216 4336 1348 @
6410 4586 1414 @
7186 5216 1294 @
7294 4701 1259 @
6939 5642 1268 @
6520 5967 1274 @
5645 3493 1215 @
5219 2808 1535 @
5232 3128 1480 @
5316 3480 1605 @
5644 3133 1241 @
5466 2658 1456 @
6608 897 1184 @
-3809 -2348 1045 "Gold Bars"
3969 5872 1254 "Health and Ammo Cabinets"
1437 -3466 1160 @
5924 5772 1253 "Tank Barrier #1"
5265 -550 1348 "Tank Barrier #2"
6603 -753 1376 "Tank Barrier #2 Ruins"
6075 -794 1376 @
5652 -785 1376 @
-1003 2506 1061 "Tank Road - Allied Side"
-555 2236 1047 @
-177 2056 1055 @
1681 2002 1047 "Tank Road - Axis Side"
1815 2448 1040 @
1852 3014 1034 @
1887 3507 1045 @
1921 3990 1041 @
2002 4505 1043 @
2099 4966 1050 @
2348 5300 1112 @
2920 5369 1186 @
3315 5388 1259 @
3785 5458 1249 @
4303 5511 1254 @
4117 5892 1252 @
4769 5785 1256 @
5358 5779 1250 @
3924 5709 1249 @
6352 5591 1249 "Tank Road - Fort"
6688 5163 1251 @
6837 4661 1249 @
6880 4156 1173 @
6855 3933 1159 @
6453 3817 1154 @
6093 3783 1236 @
5990 3095 1228 @
5980 2533 1242 @
6003 2061 1236 @
6163 1580 1256 @
6737 1382 1170 @
7069 993 1166 "Tank Road - Temple"
6995 540 1149 @
6708 68 1187 @
6383 -282 1229 @
5897 -374 1258 @
-2255 -2847 1032 "Temple"
-2238 -1884 1032 @
-764 -1753 1032 @
-496 -2043 1032 @
-374 -2496 1032 @
-512 -2840 1024 @
-890 -3026 1032 @
-3232 -2909 1032 @
-3109 -2361 1032 @
-3229 -3359 1032 @
-2030 -3087 1360 @
-1058 -3075 1360 @
-331 -2491 1400 @
-3217 -1477 1032 "Temple Caves Access"
-3165 -1764 1064 "Temple Caves Access Breach"
-567 -3411 1032 "Temple Corridor"
-866 -3236 1032 @
1027 -3519 1144 @
-568 -3125 1068 "Temple Corridor Wall Crack"
4735 -458 1352 "Temple Desert"
4910 -948 1259 @
4232 -1118 1028 @
4424 -1529 1018 @
3753 -1124 1070 @
3189 -1134 1193 @
2641 -1270 1189 @
2154 -1323 1025 @
4250 -719 1352 @
4164 189 1447 @
1717 -2500 1160 "Temple Doors"
2011 -1927 1160 "Temple Entrance"
1927 -1338 1160 @
1979 -2502 1160 @
1916 -2901 1160 @
1884 -3411 1160 @
1213 -3521 1160 @
1401 -3178 1160 @
