/////////////////////////////////////////////////////////
// Map name       CTF The Station                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    30-03-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3 511 82 "^1Red Flag"
1534 2558 153 "^3East Alley"
1163 2504 153 @
1541 2739 155 "^3East Storage"
1175 2828 155 @
-893 1795 155 "^3The Station"
-1361 2228 155 @
-1251 1795 155 @
-1254 1233 155 @
-1234 2401 155 @
-885 2399 155 @
-876 1192 155 @
-1487 2229 155 "^3Ticket Sale"
-1354 1794 156 @
-1527 1232 155 @
-748 1794 153 "^3Trainyard"
-1240 2524 153 @
-770 2400 153 @
-875 2530 153 @
-873 1046 153 @
-743 1200 153 @
-270 513 61 @
9 751 64 @
282 503 61 @
3 339 82 @
-259 3078 61 @
290 3096 61 @
18 2809 61 @
11 3266 82 @
1254 1060 153 @
881 2515 153 @
775 2414 153 @
820 2830 151 @
899 1065 153 @
793 1173 153 @
768 1784 153 @
1529 2370 155 "^3Warehouse"
1259 1183 155 @
886 2424 155 @
1167 2417 155 @
902 1181 155 @
916 1782 155 @
-1258 1011 153 "^3West Alley"
-1515 993 153 @
-1258 787 153 "^3West Storage"
-1513 830 155 @
9 3078 82 "^4Blue Flag"
