/////////////////////////////////////////////////////////
// Map name       The Rock B1                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    07-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1537 -2036 467 "^1Breach Wall"
65 -1922 671 "^1Command Post"
-650 1548 890 "^1Documents"
410 -1757 349 "^1Green Mile"
-330 -252 507 "^1Ladder"
-320 -273 828 @
-2593 -889 304 "^2Allied Spawn"
694 -422 516 "^2Cell Block D"
24 -1204 563 @
441 -559 516 @
-883 -2479 509 "^2Forward Spawn"
-426 -2477 509 @
-418 -2910 509 @
494 -2800 284 "^3Boiler Room"
923 -1373 321 "^3Bunker Corridors"
1499 940 321 @
1213 -89 321 @
471 1224 293 @
438 2081 293 @
-658 1850 293 @
-376 1861 293 @
1220 -893 321 @
-86 -2711 298 "^3Caves"
-1078 -1390 265 @
-600 -2608 286 @
-1742 -1376 128 @
-2585 -1401 23 @
698 -334 516 "^3Cell Block D Entrance"
442 -209 516 @
740 241 516 @
433 -59 516 @
-548 871 343 "^3Cellar"
494 -2800 525 "^3East Courtyard"
861 -1820 507 @
1385 -419 507 @
1499 940 500 @
969 -236 507 @
1462 1185 507 @
1220 -893 507 @
1698 278 507 @
-368 -795 320 "^3Electric Chair"
-228 -782 335 "^3Electric Chair Switch"
-2852 27 229 "^3Escape Dinghy"
-226 -1228 313 "^3Execution Chamber"
-370 -916 313 @
-533 -786 335 @
-210 -919 313 @
-144 -1228 313 "^3Execution Chamber Hallway"
364 -1225 313 @
-567 2190 507 "^3Generator Room"
-658 1850 507 @
587 -1752 337 "^3Green Mile"
829 -1380 313 @
449 -1222 313 @
-425 -1049 828 "^3Guard Barracks"
-232 -795 828 @
-233 -1266 828 @
138 -1389 828 @
-106 -1051 828 @
-319 -354 828 @
-399 -1494 563 "^3Guard Barracks Stairs"
135 -1500 828 @
574 1516 699 "^3Health and Ammo Cabinets"
731 -393 343 "^3Isolation Chambers"
-860 727 509 "^3Kitchen"
-548 871 509 @
-3311 3778 410 "^3Lighthouse"
6 590 343 "^3Lower Corridors"
623 -394 343 @
105 1427 508 "^3Lower Offices"
-130 1274 508 @
-421 1184 522 @
-654 1297 508 @
-650 1548 508 @
-390 1542 508 @
-536 -1139 563 "^3Main Entrance Courtyard"
-731 -1457 507 @
-729 -813 507 @
-803 -1062 507 @
-990 -1062 507 "^3Main Entrance Door"
-237 -1051 828 "^3Main Entrance Door Switch"
-400 -1406 563 "^3Main Entrance Lobby"
-66 -1205 563 @
-473 -1139 563 @
-285 -1001 563 @
-1169 -1062 507 "^3Main Entrance Pier"
-1276 -685 507 @
-1467 -721 507 @
-1643 -1066 507 @
-527 521 509 "^3Mess Hall"
-860 679 509 @
-500 68 553 @
438 2081 507 "^3North Courtyard"
-463 2197 507 @
1009 245 507 @
738 346 507 @
935 907 507 @
1399 1283 507 @
-423 525 507 @
-640 -256 507 @
-732 -725 507 @
-461 65 507 @
-394 871 507 @
-420 1075 507 @
-108 1170 507 @
-376 1861 507 @
-394 1722 532 @
77 1664 556 @
-1247 871 507 @
-1507 12 507 @
-1275 -565 516 @
-2852 27 151 "^3Ocean"
-2614 -6 186 @
-2605 -348 182 @
-2846 -334 224 @
-3070 10 226 @
-2849 271 226 @
-2620 261 226 @
-2336 8 230 @
-3323 -952 215 @
-3357 -1380 227 @
-2937 -1721 210 @
-2499 -2025 227 @
-3305 2226 210 @
-4597 3459 214 @
-3826 4896 223 @
-2315 4273 221 @
-2128 -2484 208 @
-1976 -2884 215 @
-1615 -3552 211 @
-658 -4348 194 @
632 -4966 222 @
2126 -2700 215 @
1938 -1904 227 @
2277 -1086 211 @
2919 -815 175 @
3159 467 200 @
2395 1419 216 @
813 3041 201 @
2116 2458 193 @
-272 4235 226 @
-1365 1953 220 @
-1998 1351 226 @
-1134 3294 212 @
995 -4154 218 @
1699 -3432 227 @
574 1516 507 "^3Office Barracks"
574 1275 699 @
207 1429 701 @
207 1429 508 @
-2614 -6 304 "^3Pier"
-2605 -348 304 @
-2926 -1411 285 @
-3053 -909 304 @
-2556 -1664 304 @
-2123 -1397 304 @
-2197 -649 304 @
-2585 -1401 316 "^3Pier Storage Bunker"
-2583 -1404 499 "^3Pier Storage Bunker Roof"
341 -215 516 "^3Shower Room"
192 -884 516 @
-1325 -2038 507 "^3South Courtyard"
-732 -1534 507 @
-888 -2349 507 @
-300 -2465 507 @
-417 -2363 507 @
338 -1805 507 @
-322 -2908 507 @
-580 -1979 507 @
65 -1922 509 "^3Storage"
65 -1922 349 @
-502 -1982 509 @
-140 -1940 671 @
-331 -3382 515 "^3The Rock"
-1181 -2987 511 @
-513 -3126 554 @
-1524 -2662 354 @
476 -3669 477 @
1200 -2728 408 @
1649 -1855 328 @
2065 -1021 321 @
2219 -533 430 @
2320 315 462 @
1859 1096 483 @
613 2449 491 @
1456 1913 514 @
-294 2828 563 @
-1058 1977 338 @
-1404 1471 497 @
-1501 933 383 @
-1736 18 443 @
-1471 -635 514 @
-1759 -383 430 @
105 1427 701 "^3Upper Offices"
-421 1184 716 @
-654 1297 701 @
-650 1548 701 @
-390 1542 701 @
-77 -756 563 "^3Visitors Check Room"
-282 -944 567 @
-80 -322 516 "^3Visitors Hallway"
-77 -670 563 @
358 -58 516 "^3Visitors Room"
235 -211 516 @
-80 -228 516 @
-421 1184 900 "^3Warden's Room"
-654 1297 894 @
-390 1542 894 @
