/////////////////////////////////////////////////////////
// Map name       Thief city                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    26-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1912 -1925 80 "^1Allied Gold"
185 724 -223 "^1Axis Truck"
-190 -285 192 "^1Command Post"
1462 -445 64 "^1North Wall"
1911 -1746 128 "^1Safe Barrier"
1776 -1739 128 @
1700 -1902 128 @
1777 -1907 128 "^1Safe Door"
209 -1147 64 "^1West Wall"
1506 -715 96 "^2Cheque Processing"
1686 -614 96 @
1946 -919 96 @
1636 -942 96 @
-1312 1056 64 "^2Village Entrance"
728 -1692 96 "^3Bank"
1761 -1629 256 @
1217 -1626 128 @
1607 -1608 160 @
1551 -1904 128 @
907 949 80 "^3Chapel"
414 717 80 @
346 973 80 @
941 666 80 @
-199 -557 128 "^3Church"
-517 -283 192 @
-517 -557 128 @
-199 -557 496 "^3Church Roof"
-517 -283 512 @
-517 -557 496 @
-481 -157 300 "^3Church Roof Ladder"
-190 -285 512 "^3Church Tower"
-190 -285 688 @
1686 -546 64 "^3Courtyard"
1418 -733 64 @
1636 -1038 192 @
422 -1328 96 @
1217 -1525 128 @
438 -1126 64 @
707 -1470 64 @
608 -1194 64 @
1599 -1522 134 @
706 -707 64 @
1730 -1038 256 "^3Courtyard Catwalk"
1762 -1535 256 @
-703 723 80 "^3Getaway House"
-114 730 -47 @
115 -1728 96 "^3Health and Ammo"
-39 -1544 96 @
1637 1679 64 @
1045 1666 80 "^3North House"
1045 1666 200 @
1268 1720 208 @
1453 1688 80 @
1453 1688 208 @
1506 -715 256 "^3Rooftop MG Nest"
1686 -614 256 @
1636 -942 256 @
-1291 224 96 "^3Town Hall"
-1805 225 96 @
1795 -449 390 "^3Village Rooftops"
-245 -1563 256 @
-49 -533 246 @
-607 -277 308 @
-598 -135 263 @
1719 -111 327 @
1562 657 256 @
-212 -1179 256 @
-506 -1251 256 @
-640 -1499 256 @
-1093 -1389 256 @
-940 -184 263 @
-634 -547 308 @
-756 252 251 @
-703 723 288 @
-114 730 256 @
-701 1053 256 @
-160 1053 256 @
907 949 425 @
414 717 384 @
346 973 368 @
941 666 368 @
578 196 440 @
-153 140 379 @
205 358 288 @
425 488 256 @
1045 1666 251 @
1268 1720 387 @
957 1667 256 @
1453 1688 313 @
1522 1689 277 @
552 1566 288 @
113 1561 288 @
-16 -268 64 "^3Village Streets"
-528 -134 64 @
-197 -127 64 @
1475 -147 64 @
1471 653 88 @
1649 1457 64 @
-35 -1459 96 @
-75 -1152 64 @
-196 -628 64 @
-48 -650 64 @
-517 -623 64 @
-210 -1069 64 @
-525 -1055 64 @
-660 -1246 64 @
-1095 -1269 64 @
-1019 -185 64 @
-631 -636 64 @
-754 323 112 @
185 724 94 @
-800 725 72 @
-704 594 80 @
-113 574 16 @
-684 485 64 @
-695 1170 64 @
-160 1122 64 @
-1162 1563 64 @
632 -306 64 @
1036 955 64 @
895 1091 64 @
242 972 64 @
344 1059 64 @
1013 665 64 @
940 568 64 @
818 200 64 @
-264 153 144 @
-1203 225 96 @
-1265 -152 64 @
-1295 598 64 @
1458 1597 64 @
1043 1598 78 @
551 1510 64 @
114 1520 64 @
213 -1729 96 "^3Waiting Lobby"
421 -1398 96 @
610 -1691 96 @
631 -1470 96 @
