/////////////////////////////////////////////////////////
// Map name       Tounine B2                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    05-09-2011                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-5485 -3653 768 "^1Command Post"
-521 -5623 20 "^1Secret Documents"
-2778 -3958 352 "^1Tank Barrier"
-3482 -3949 352 "^1Transmitter"
-2873 -5997 224 "^2Bunker Spawn"
-2480 -6074 224 @
-2472 -6352 224 @
159 -160 475 "^2Hill Spawn"
-2922 -1019 256 "^2Village Spawn"
-2921 -1038 416 @
-2686 -1333 256 @
-2886 -1543 256 @
-2877 -5866 240 "^3Bunker Hallways"
-2876 -5452 448 @
-2421 -5250 448 @
-2333 -6066 224 @
-2319 -6353 224 @
-1642 -6356 128 @
-1987 -7200 224 @
-805 -7208 128 @
-1779 -5583 304 @
-2263 -4363 334 "^3Bunker Road"
-1575 -4971 158 @
-2879 -5334 448 "^3Bunker Storage"
-2540 -5245 448 @
-3106 -4816 448 @
-5102 -3644 768 "^3CP Path"
-4044 -4645 592 @
-1665 -2479 256 "^3Cave Entrance"
325 -4594 256 "^3Cave Exit"
-672 -540 512 "^3East Passage"
-742 -1772 512 @
-651 -1128 512 @
-1006 -2186 192 @
-2801 -274 260 "^3Garage"
-1502 -6355 128 "^3Lower Bunker"
-1250 -5999 128 @
-4099 -2280 433 "^3Mountain Path"
-4630 -359 352 "^3North Passage"
-2592 606 192 @
-979 386 421 @
-1705 -1288 275 "^3Northern Cave"
-899 -1741 512 @
-3475 -4149 363 "^3Outside Bunker"
-3101 -4596 439 @
-438 -5340 288 "^3Radar"
-129 -5636 304 @
-521 -5623 281 @
-464 -5945 304 @
-749 -5612 288 @
315 -4810 256 "^3Radar Courtyard"
-438 -5185 128 @
-4 -5631 164 @
-460 -6092 185 @
-897 -5610 128 @
-1345 -5130 139 @
-1151 -5998 128 @
-1201 -5825 128 @
-997 -6616 128 @
-240 -6232 50 @
-3483 -3368 352 "^3Radio Bunker"
-3483 -3368 656 "^3Radio Bunker Roof"
-3483 -3959 656 @
-1661 -2769 256 "^3Southern Cave"
-1041 -3722 261 @
15 -3906 192 @
326 -4394 239 @
-3005 -2824 257 "^3Tank Road"
-3494 -2951 425 @
-2750 -3472 339 @
-2807 -582 256 "^3Village"
-2922 -928 256 @
-3654 -1091 256 @
-2690 -1542 256 @
-2387 -1300 256 @
-1982 -1310 256 @
-2308 -1857 283 @
-2105 -2144 256 @
-2892 -2074 256 @
-3786 -2265 256 @
-4102 -1088 289 "^3Village Tunnel"
-2308 -1857 -130 "^3Well"
-4566 -1088 326 "^3West Passage"
-4972 -2106 576 @
-5437 -3019 665 @
-4948 -2950 672 @
-211 -5611 32 "^7TLR Bunker"
-465 -5897 32 @
-749 -5612 132 @
-476 -5330 36 @
