/////////////////////////////////////////////////////////
// Map name       Tower and Slider (CTF)               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 10                //
// Last edited    08-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
439 448 64 "Level 01"
-439 -448 64 @
-439 448 64 @
439 -448 64 @
0 0 64 @
439 448 208 "Level 02"
-439 -448 208 @
-439 448 208 @
439 -448 208 @
0 0 208 @
439 448 336 "Level 03"
-439 -448 336 @
-439 448 336 @
439 -448 336 @
0 0 336 @
439 448 464 "Level 04"
-439 -448 464 @
-439 448 464 @
439 -448 464 @
0 0 464 @
439 448 592 "Level 05"
-439 -448 592 @
-439 448 592 @
439 -448 592 @
0 0 592 @
439 448 720 "Level 06"
-439 -448 720 @
-439 448 720 @
439 -448 720 @
0 0 720 @
439 448 848 "Level 07"
-439 -448 848 @
-439 448 848 @
439 -448 848 @
0 0 848 @
439 448 1232 "Level 08"
-439 -448 1232 @
-439 448 1232 @
439 -448 1232 @
0 0 1232 @
439 448 1744 "Level 09"
-439 -448 1744 @
-439 448 1744 @
439 -448 1744 @
0 0 1744 @
439 448 2256 "Level 10"
-439 -448 2256 @
-439 448 2256 @
439 -448 2256 @
0 0 2256 @
439 448 2768 "Level 11"
-439 -448 2768 @
-439 448 2768 @
439 -448 2768 @
0 0 2768 @
439 448 3280 "Level 12"
-439 -448 3280 @
-439 448 3280 @
439 -448 3280 @
0 0 3280 @
439 448 3792 "Level 13"
-439 -448 3792 @
-439 448 3792 @
439 -448 3792 @
0 0 3792 @
439 448 4304 "Level 14"
-439 -448 4304 @
-439 448 4304 @
439 -448 4304 @
0 0 4304 @
439 448 4408 "Level 15"
-439 -448 4408 @
-439 448 4408 @
439 -448 4408 @
0 0 4408 @
439 448 5808 "Level 16"
-439 -448 5808 @
-439 448 5808 @
439 -448 5808 @
0 0 5808 @
439 448 6104 "Level 17"
-439 -448 6104 @
-439 448 6104 @
439 -448 6104 @
0 0 6104 @
439 448 6320 "Level 18"
-439 -448 6320 @
-439 448 6320 @
439 -448 6320 @
0 0 6320 @
439 448 6536 "Level 19"
-439 -448 6536 @
-439 448 6536 @
439 -448 6536 @
0 0 6536 @
439 448 6656 "Level 20"
-439 -448 6656 @
-439 448 6656 @
439 -448 6656 @
0 0 6656 @
439 448 7324 "Level 21"
-439 -448 7324 @
-439 448 7324 @
439 -448 7304 @
0 0 7324 @
