/////////////////////////////////////////////////////////
// Map name       Town Square (Final)                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1072 4176 24 "Allied Spawn"
1310 4406 24 "Allied Truck"
3022 -853 216 "Axis Spawn"
2236 -785 -247 "Catacomb Stairs"
2147 -648 -7 @
1833 222 -183 "Catacombs"
1613 596 -217 @
2472 20 -255 @
2364 -513 -287 @
1700 482 24 "Church"
1776 736 24 @
2715 762 24 @
2911 468 48 @
2739 196 24 @
1799 198 24 @
2279 438 24 @
2211 274 224 @
2591 221 224 @
1541 481 24 "Church Door"
2553 -33 224 "Church Door Hallway"
2085 975 96 "Church Stairs"
2083 -62 96 @
2371 1314 288 "Command Post"
2368 2868 24 "Command Post Route"
2623 2696 48 @
2873 2504 168 @
2365 2490 288 @
2366 1957 288 @
2377 1556 288 @
2645 1273 224 @
2584 1016 224 @
1441 3492 16 "Construction MG"
1581 4319 16 "Main Road"
2482 4310 16 @
2467 3154 16 @
1344 3151 16 @
1771 3443 16 @
1304 2526 16 @
1288 1375 20 @
1305 2009 16 @
883 -949 24 "Palace"
1146 -918 24 @
1158 -1422 24 @
646 -1448 24 @
653 -928 24 @
1373 -1187 24 "Palace Back"
2359 -1165 24 @
2345 -819 56 @
2704 -680 144 "Palace Back Stairs"
2343 -597 216 @
903 -590 24 "Palace Door"
1664 2013 24 "Side Alley"
2224 2030 -51 @
2818 1796 -35 @
3079 1358 0 @
3081 804 24 @
3070 285 -23 @
2952 -330 24 @
2482 -253 24 @
1842 -353 24 @
2210 -290 24 @
2939 -341 216 "Side Alley Lookout"
2592 -280 216 @
2299 -331 216 @
987 4628 16 "Supplies Road"
161 4587 -95 @
140 4030 -159 @
-674 3752 -128 @
-960 3388 -99 @
-753 2906 -31 @
-413 2169 -15 @
-14 1378 0 @
-995 3741 -127 "Supply Cabinets"
1246 1089 -2 "Town Square"
231 1146 0 @
87 -393 0 @
891 -336 24 @
1512 -348 26 @
1337 477 0 @
2341 223 -23 "Trap Door"
