/////////////////////////////////////////////////////////
// Map name       Transmitter                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
761 -7274 -798 "Allied Base"
775 -7462 -807 @
644 -7188 -807 @
774 -7061 -754 @
874 -7183 -761 @
658 -7670 -783 @
447 -7573 -822 @
453 -7325 -834 @
-970 -7578 -826 @
-795 -7419 -721 @
-526 -6904 -888 @
-837 -7037 -873 @
-1180 -7272 -845 @
-1643 -7801 -815 @
-1458 -7583 -815 @
-1635 -7418 -845 @
629 -7455 -819 "Allied Base MG"
768 -7178 -787 "Allied Base Toilet"
-1678 -7622 -815 "Allied Bunker MG"
-202 -2386 -184 "Allied Castle MG"
-723 -191 280 "Antenna"
716 -953 -79 "Axis Castle MG"
1071 -1018 -87 "Back Gate"
-638 -3379 -415 "Barricade Path"
-1074 -3436 -479 @
-1487 -3401 -521 @
0 -3412 -324 @
1275 -3328 -350 @
544 -3443 -310 @
1635 -3357 -383 "Barricade Supplies"
-385 -3075 -383 "Barricade Tunnel"
-253 -2818 -383 @
781 -7165 -1063 "Base Toilet Sewer"
797 -6519 -1079 @
-483 -6616 -903 "Bridge"
-473 -5963 -901 @
-481 -6267 -887 @
-477 -6425 -887 @
-489 -6150 -887 @
-948 -7298 -833 "Bridge MG"
1000 -5180 -833 "Bridge Path"
-416 -5701 -888 @
-24 -5330 -841 @
465 -5230 -843 @
1059 -763 -87 "Castle"
891 -870 -87 @
447 383 88 @
635 147 88 @
456 -64 90 @
193 136 114 @
-524 -105 254 @
-1012 -101 208 @
-649 -76 136 @
-2117 556 0 @
-1948 683 0 @
-1792 493 16 @
-1989 409 -71 @
-2266 438 -39 @
-2266 668 0 @
-2488 515 0 @
-797 28 176 @
1067 -961 104 @
698 -1038 304 @
-721 -1229 160 @
-1904 -646 -97 @
-1645 -804 -71 @
-1935 -838 192 @
-1402 -355 -79 @
-96 -1268 160 @
1423 -1918 -111 "Castle Bridge"
1156 -1292 -95 @
1280 -1526 -95 @
-1213 -344 -126 "Castle Dungeon"
-672 -330 -159 @
-1900 -818 -98 "Castle Entrance"
-1711 -1061 -98 @
-2015 -1214 -105 @
-1966 577 0 "Castle MG"
-1646 -1617 -358 "Castle Moat"
-712 -1590 -359 @
6 -1798 -359 @
1184 -1474 -329 @
830 -1896 -359 @
-1120 -1954 -359 @
155 -2173 -344 @
-439 -2029 -319 @
-525 -2377 -163 "Castle Path"
-1295 -2193 -116 @
-1974 -2041 -98 @
130 -2539 -207 @
475 -2972 -252 @
-2004 -1369 -99 @
-2281 564 0 "Castle Supplies"
718 -1175 -98 "Castle Walls Path"
-675 -1272 -98 @
-1468 -1372 -105 @
-144 -1280 -98 @
2256 -5666 -815 "Cave"
1670 -5000 -821 @
2427 -4031 -871 @
1377 -4992 -807 "Cave Entrance"
2277 -5963 -854 "Cave Ladder"
2278 -6085 -1075 @
5529 -4129 -391 "Command Post"
2888 -4612 -767 "Forest"
3126 -4401 -727 @
2861 -3703 -415 @
5405 -1346 -429 @
5224 -1152 -431 @
5151 -1350 -463 @
5257 -1477 -482 @
5266 -2303 -451 @
5531 -3700 -586 @
5667 -3843 -586 @
5657 -4179 -569 @
4917 -3843 -653 @
4880 -4330 -672 @
5336 -4481 -587 @
2470 -1084 -283 @
4707 -2357 -393 @
3507 -1887 -579 @
2588 -4026 -855 "Forest Entrance"
2886 -4398 -791 @
5517 -3850 -575 "Forest Hut"
5018 -3849 -559 @
5011 -4382 -519 @
5391 -4130 -391 @
5593 -3963 -391 @
5354 -4388 -367 @
5322 -4386 -575 @
5525 -4156 -575 @
5017 -3835 -391 @
5005 -4402 -327 @
5263 -1345 -427 "Forest Supplies"
5249 -2295 -207 "Forest Tower"
-1657 -4208 -519 "Forward Hut"
-1651 -4486 -519 @
-2009 -4208 -495 @
-1817 -4090 -519 @
-1696 -4086 -519 "Forward Hut MG"
1006 -4915 -831 "Forward Hut Path"
503 -4843 -749 @
-152 -4801 -676 @
-1501 -4085 -542 @
-1198 -3710 -586 @
-1537 -4221 -569 @
-1505 -4558 -667 @
-1643 -3923 -544 @
-1495 -3689 -558 @
-504 -6146 -1071 "Frozen River"
-489 -6418 -1091 @
770 -6364 -1094 @
1244 -6309 -1097 @
1320 -6228 -1101 "Frozen River Tunnel"
2031 -6116 -1075 @
2006 -775 -295 "Grate Door"
2380 -976 -284 "Grate Door Tunnel"
2218 -778 -295 @
1877 -1048 -289 @
1582 -1992 -126 @
-328 -3399 -368 "Serpentine Barricade"
-383 -3220 -367 @
447 111 88 "Transmitter"
