/////////////////////////////////////////////////////////
// Map name       Tutorialjump 2                       //
// Locations by   PALE                                 //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    06-08-2008                           //
/////////////////////////////////////////////////////////
2014 -2241 -110 "Allies Start"
2014 -1438 -110 @
1180 -1446 48 @
1180 -2233 48 @
2113 -374 72 "Axis Start"
2113 -905 72 @
1262 -905 72 @
1262 -374 72 @
2877 -339 72 @
2877 -940 72 @
2854 -646 127 @
-1013 2690 305 "Axis Jump 1"
-1013 3397 185 @
243 3397 169 @
245 2690 161 @
4024 1213 1896 "Axis Jump 10"
3826 2877 1280 @
5454 2836 1520 @
5301 1527 1857 @
3826 1828 1321 @
5188 2845 1528 @
-702 -2818 -63 "Axis Jump 11"
-1325 -2770 -69 @
-1325 -3400 264 @
-1481 -2786 264 @
494 -5473 800 "Axis Jump 12"
654 -4390 711 @
1873 -4358 784 @
1872 -4961 784 @
-109 -8267 360 "Axis Jump 13"
1005 -8267 324 @
1005 -8758 350 @
-109 -8758 360 @
1002 3678 330 "Axis Jump 14"
1002 4707 294 @
2316 4729 496 @
1985 3679 405 @
1019 4079 450 @
-849 1458 -394 "Axis Jump 15"
145 1458 -478 @
-849 2447 -341 @
-84 2179 -251 @
-3437 -7826 428 "Axis Jump 16"
-3437 -8941 441 @
-650 -7826 306 @
-650 -8941 389 @
-2270 -7840 371 @
-569 -8413 368 @
-4401 2929 986 "Axis Jump 17"
-3038 2929 733 @
-3038 150 1116 @
-4401 150 896 @
-3038 2716 710 @
-3038 1830 686 @
-3038 1290 660 @
-3038 682 676 @
-3716 150 660 @
-2218 4219 403 "Axis Jump 18"
-2218 3509 419 @
-3457 3531 595 @
-3169 4302 680 @
-2719 3599 686 @
-4030 -6598 -167 "Axis Jump 19"
-4030 -7465 -135 @
-4953 -7465 -135 @
-4945 -6614 -243 @
-4030 -7386 -135 @
-4030 -6958 -135 @
3265 2494 382 "Axis Jump 2"
2346 3382 560 @
2326 2934 560 @
3265 3417 272 @
-2745 3324 670 "Axis Jump 20"
-2764 2748 632 @
-1349 2757 668 @
-1354 3347 662 @
-2209 3337 463 @
-2002 -3729 288 "Axis Jump 21"
-2002 -3258 288 @
-2945 -3272 324 @
-2941 -3729 324 @
-3061 4762 544 "Axis Jump 22"
-3061 6309 317 @
-2130 4762 342 @
-2143 6278 344 @
-2137 5665 304 @
-31 3797 272 "Axis Jump 3"
667 4001 482 @
-243 4906 482 @
-703 4469 480 @
5877 5341 536 "Axis Jump 4"
5877 3282 380 @
4315 4080 564 @
4314 5341 800 @
5051 5341 568 @
5221 3293 979 @
2038 1523 16 "Axis Jump 5"
1147 1499 -235 @
1217 3460 -335 @
2121 3463 -443 @
2134 2574 -211 @
3741 3759 1088 "Axis Jump 6"
3102 3915 1115 @
3833 4922 1189 @
3032 4859 1216 @
-1869 4168 -55 "Axis Jump 7"
-1880 3785 -367 @
-722 3785 -154 @
-1082 4153 50 @
-3730 6197 -192 "Axis Jump 8"
-3731 4773 -328 @
-4941 4770 -442 @
-4909 5941 -415 @
-3889 6382 87 @
2681 1494 350 "Axis Jump 9"
2674 2093 444 @
3699 2103 577 @
3707 1482 664 @
3258 2074 420 @
3688 1718 931 @
-1685 -9538 2832 "Battlefield"
-1685 -11997 2832 @
865 -11997 2830 @
865 -9538 2832 @
-577 -1278 -415 "Bug 1"
-577 -1701 -482 @
153 -1270 -291 @
153 -1701 -291 @
-677 -4828 -464 "Bug 2"
-683 -4353 -433 @
-210 -4353 -454 @
-212 -4828 -473 @
-1134 -7329 -351 "Bug 3"
-1134 -6598 -351 @
-2176 -6598 -349 @
-2177 -7329 -340 @
-1134 -6720 -351 @
-1159 -6606 -94 @
-2153 -6987 -351 @
-1049 -7705 -394 "Bug 4"
214 -7697 -304 @
-1025 -6613 -112 @
12 -6738 145 @
-518 -7699 170 @
-1027 -7326 -354 @
-1049 -6715 -340 @
-2262 -7585 -324 "Bug 5"
-2262 -6598 -318 @
-3335 -7585 -228 @
-3158 -6762 -98 @
-2267 -7339 -334 @
-2262 -6997 -361 @
-3279 -7388 -208 @
-3876 -6954 -276 "Bug 6"
-3422 -7385 -284 @
-3945 -7385 -215 @
-3857 -6770 -271 @
-3422 -6598 -484 @
-2010 -1172 -349 "Door Jump"
-1946 -1357 -575 @
-1946 -994 -575 @
-2377 -994 -511 @
-2407 -1341 -447 @
-2353 2335 64 "Ending Room"
-1487 2346 64 @
-1410 1558 176 @
-2429 1558 176 @
11930 -11489 -3841 "Engijump"
15687 -11482 -3845 @
15709 8429 -5959 @
11906 8429 -5959 @
15567 -6209 -4676 @
15425 -1987 -5145 @
11998 5548 -5721 @
12019 2577 -5584 @
11991 -10514 -4074 @
11996 -9426 -4331 @
12092 -5546 -4707 @
11992 -3699 -4948 @
12080 -2089 -5099 @
12021 -4540 -4602 @
12004 -7171 -4861 @
12012 -5626 -4226 @
-1085 445 248 "Fence Jump"
-1085 -605 257 @
789 -605 260 @
789 445 248 @
11453 5197 -2935 "Gamma 1"
7962 5197 -2935 @
11336 -9555 -4594 @
8085 -9549 -4481 @
9674 -7149 -8138 @
11431 1183 -3212 @
11414 -2162 -3533 @
8003 -5545 -3769 @
11453 -4517 -3895 @
11411 -7180 -4861 @
11337 -5653 -4226 @
5614 427 1856 "Gamma 2"
5614 -343 1856 @
13397 162 810 @
13397 -78 810 @
7396 -227 1400 @
5503 47 472 @
11325 -23 857 @
8906 -179 1292 @
10391 -130 1025 @
2543 714 314 "Gamma 3"
2541 1272 314 @
-2985 758 88 @
-2985 1225 88 @
2017 1298 262 @
1172 1317 160 @
44 1317 19 @
-795 1317 -47 @
-1414 1303 134 @
-2423 1296 85 @
-1791 707 11 @
-1099 717 217 @
797 699 246 @
11485 -11363 -2727 "Gamma 4"
11485 -10273 -2727 @
-6199 -11731 -4343 @
-6194 -9938 -4343 @
9137 -10869 -2933 @
6186 -11553 -3358 @
2421 -11683 -3619 @
-1761 -9945 -3913 @
10696 -10848 -4002 @
7757 -11074 -4119 @
6473 4757 1718 "Gamma 5"
6569 2793 1708 @
15133 3977 1506 @
14873 1995 1477 @
9209 4900 1271 @
10430 4788 1173 @
11487 4691 1031 @
9159 2265 1311 @
11528 2161 1065 @
13505 1736 1223 @
4551 5545 396 "Gamma 6"
4571 6376 352 @
-635 5521 -317 @
-603 6381 -439 @
93 6399 -531 @
-367 6447 -550 @
4789 5944 360 @
3392 5446 320 @
2202 5442 -111 @
1000 5472 -294 @
2722 6421 -62 @
-6237 8225 -43 "Gamma 7"
-6237 6554 29 @
17138 8226 -1220 @
17137 6554 -1224 @
13867 6646 -1292 @
11586 6632 -1156 @
7995 6617 -1546 @
6080 6629 -997 @
6132 6647 -610 @
5093 6596 -862 @
2818 6623 -1049 @
120 6665 -1065 @
-375 6662 -911 @
-713 6594 -902 @
-2053 6611 -347 @
-2941 6583 -241 @
-3963 6599 -109 @
-5148 6695 101 @
-5668 6635 267 @
4894 321 864 "Gammajump"
