/////////////////////////////////////////////////////////
// Map name       [UJE]Valley Escort                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    19-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3075 2275 628 "^1Allied Command Post"
-8134 -1456 64 "^1Axis Command Post"
-4384 -402 83 "^1Barrier"
642 -63 99 "^1Generator #1"
1797 925 239 "^1Generator #2"
494 -266 92 "^1Generator Door"
-3494 -818 66 "^1Minecart"
1560 996 237 "^1Tower Door"
-11305 774 68 "^2Axis Start"
4134 1497 355 "^2Base Spawn"
4151 1912 310 @
4362 2492 307 @
-2451 -55 360 "^2Valley Spawn"
2827 1841 338 "^3Base Balcony"
2154 357 416 "^3Base Catwalks"
1382 1211 248 @
1213 1444 248 @
880 1366 296 @
1377 1012 208 @
2579 102 444 @
2945 133 444 @
3053 418 416 @
3026 1059 416 @
3252 1065 416 @
3268 1356 220 @
733 -513 64 "^3Base Courtyard"
916 -65 64 @
899 131 64 @
913 649 64 @
895 1124 64 @
880 1366 64 @
1256 1203 64 @
1213 1444 128 @
1803 646 227 @
1275 333 64 @
1145 -214 64 @
3800 1551 73 @
3761 1908 63 @
2154 357 64 @
1767 496 64 @
1269 1016 92 @
2576 412 64 @
3157 136 64 @
2945 133 178 @
3053 418 64 @
3026 1059 64 @
3269 1417 64 @
3539 1585 64 @
3568 1965 95 @
3535 1750 64 @
3194 1742 64 @
3197 2046 60 @
2984 2060 64 @
3003 1959 64 @
2944 1809 64 @
2794 1540 64 @
2393 1080 64 @
2080 922 224 @
2721 1155 88 @
2579 102 71 "^3Base Courtyard Barrels"
3402 1962 289 "^3Base East House"
3388 1752 289 @
3402 1962 439 "^3Base East House Roof"
3388 1752 439 @
662 653 64 "^3Base Gate"
2724 2306 341 "^3Base Mountain Path"
2723 2088 323 @
3080 2891 737 @
2720 3157 543 @
2559 2637 652 @
1278 -249 526 "^3Base Rooftops"
1406 307 524 @
1756 362 499 @
2722 2003 534 @
2601 1747 537 @
2657 1546 344 @
2510 1450 383 @
2146 1249 466 @
2827 1841 469 @
2721 1155 477 @
3535 1750 248 "^3Base Scaffoldings"
3539 1585 220 @
3568 1965 289 @
3761 1908 301 @
3800 1551 354 @
3307 2269 476 @
3197 2046 279 @
2984 2060 288 @
3157 136 456 "^3Base South Tower"
3157 136 625 @
2525 1969 344 "^3Base Stairway Path"
2546 1746 272 @
2653 1651 216 @
2796 1649 144 @
1278 -249 288 "^3Base Terrace"
1407 307 288 @
1756 362 192 "^3Base Terrace Stairs"
1797 925 406 "^3Base Tower"
1959 1272 458 "^3Base Tower Path"
2471 2108 552 @
1916 1815 518 @
1797 925 676 "^3Base Tower Roof"
1382 1211 64 "^3Base Tunnel"
2801 1807 64 @
1799 1210 64 @
2531 1801 64 @
1916 1815 64 @
662 653 328 "^3Base Wall"
653 128 335 "^3Base Wall Towers"
657 1349 273 @
311 1329 104 @
311 1337 273 @
311 1337 487 @
654 1132 491 @
724 1370 104 @
654 1132 335 "^3Base Wall Towers MG42"
3003 1959 265 "^3Base Water Tower"
